ЖИТЬЕ И ХОЖЕНЬЕ ДАНИЛА РУСЬСКЫЯ ЗЕМЛИ ИГУМЕНА	ЖИТИЕ И ХОЖДЕНИЕ ИГУМЕНА ДАНИИЛА ИЗ РУССКОЙ ЗЕМЛИ
Се азъ недостойный игуменъ Данил Руския земля, хужши во всѣх мнисѣх, съмѣреныый грѣхи многими, недоволенъ сый во всяком дѣлѣ блазѣ, понужен мыслию своею и нетрьпѣнием моимъ, похотѣхъ видѣти святый град Иерусалимъ и Землю обѣтованную. И благодатию Божиею доходихъ святаго града Иерусалима и видѣх святаа мѣста, обиходих всю земьлю Галилѣйскую и около святаго града Иерусалима по святымъ мѣстом, куда же Христос Богъ нашь походи своима ногама и велика чюдеса показа по мѣстом тѣмъ святым. И то все видѣх очима своима грѣшныма. Безлобивый показа ми Богъ видѣти, его же жадах много дний мыслию моею.	Вот я, недостойный игумен Даниил из Русской земли, худший из всех монахов, отягченный грехами многими, неспособный ни к какому делу доброму, будучи понуждаем мыслью своею и нетерпением моим, захотел видеть святой город Иерусалим и Землю обетованную. И, благодатью Божьею, дошел я до святого города Иерусалима, и видел святые места, обошел всю землю Галилейскую и около святого города Иерусалима святые места, куда Христос Бог наш ходил своими ногами и где, по местам тем святым, он показал великие чудеса. И то все видел я глазами своими грешными. Незлобивый Бог показал мне, чтобы я видел то, чего желал я много дней мыслью моею.
Братиа и отци, господие мои, простите мя грѣшьнаго и не зазрите худоумью моему и грубости, еже писахъ о святѣмъ градѣ Иерусалимѣ, и о земли той блазѣй, и о пути еже к святымъ мѣстом. Иже бо кто путемъ симъ ходил съ страхом Божиимъ и смѣреньем, не погрѣшить милости Божия николи же. Аз же неподобно ходих путем симъ святым, во всякой лѣности и слабости и во пьяньствѣ и вся неподобная дѣла творя. Но обаче надѣяся на милость Божию и на вашу молитву, да ми простить Христос Богъ моихъ грѣховъ бещисленых, да си исписах путь си и мѣста сии святаа, не возносяся ни величаяся путем симъ, яко что добро створивъ на пути семъ, не буди то: ничтоже бо добра створих на пути сем; но любве ради святых мѣстъ сихъ исписах все, еже видѣхъ очима своима, дабы не в забыть было то, еже ми показа Богъ видѣти недостойному. Убояхся оного раба лѣниваго, скрывшаго талантъ господина своего и не створившаго прикупа им,[1] да сие написах вѣрных ради человѣкъ. Да кто убо, слышавъ о мѣстѣх сихъ святыхъ, поскорблъ бы ся душею и мыслию къ святым симъ мѣстом, и равну мзду приимуть от Бога с тѣми, иже будуть доходили святыхъ сих мѣстъ. Мнози бо, дома суще в мѣстѣх своих, добрии человѣци мыслию своею и милостынею убогых, добрыми своими дѣлы, достигають мѣстъ сихъ святых, иже болшую мзду приимуть отъ Бога Спаса нашего Исуса Христа. Мнози бо, доходивше святых сих мѣстъ и святый град Иерусалимъ и възнесшеся умом своим, яко нѣчто добро створивше, и погубляють мьзду труда своего, от них же пръвый есмь азъ. Мнози бо, ходивше святаго града Иерусалима, поидуть опять, многа добра не видѣвши, тщаще опять вскорѣ. А сего пути нелзѣ въскорѣ створити ни истоком тог... щ... и вся святаа та мѣста и въ градѣ и внѣ града.	Братья и отцы, господа мои, простите меня, грешного, и не попрекните за скудоумие и грубость того, что написал я о святом городе Иерусалиме, о земле той благой и о пути, ведущем к святым местам. Ведь кто совершает этот путь со страхом Божиим и смирением, никогда не погрешит против милости Божией. Я же неподобающе ходил путем тем святым, во всякой лености, слабости, пьянствуя и всякие неподобающие дела творя. Но, надеясь, однако, на милость Божию и на вашу молитву — что простит мне Христос Бог мои грехи бесчисленные, описал я этот путь и места те святые, не возносясь, не величаясь этим путем, будто что-нибудь доброе сотворил на этом пути, — да не будет того: никакого ведь добра не сотворил я на пути том, — но по любви к святым тем местам описал я все, что видел глазами своими, дабы не забыто было то, что дал Бог видеть мне, недостойному. Убоялся я осуждения раба того ленивого, скрывшего талант господина своего и не получившего на него прибыли, и написал это для верных людей. Может, кто-нибудь, слыша о местах этих святых, потянется душой и мыслью к этим святым местам и равную мзду примет от Бога с теми, кому удается дойти до этих святых мест. Ибо многие добрые люди, находясь дома, в своих местах, мыслью своею и милостыней к убогим, добрыми своими делами, достигают святых этих мест, и большую мзду примут они от Бога Спаса нашего Иисуса Христа. Многие же, дойдя до мест этих святых и до святого города Иерусалима и вознесшись умом своим, будто нечто доброе сотворили, теряют награду за свой труд, из них же первый есть я. Многие же, сходив в святой город Иерусалим и многого хорошего не увидев, опять идут, стараясь опять пройти быстро. А этим путем нельзя пройти быстро и смочь толком рассмотреть все те святые места в городе и вне города.
О ЕРУСАЛИМѢ, О ЛАВРѢ	О ИЕРУСАЛИМЕ, О ЛАВРЕ
Азъ недостоин игуменъ Данил, пришед въ Иерусалимъ, пребых мѣсяць 16 в мѣстѣ в лаврѣ святаго Савы, и тако могох походити и испытати вся святая си мѣста. Невозможно бо без вожа добра и безь языка испытати и видѣти всѣхъ святыхъ мѣстъ, и что имѣя в руку моею худаго мего добыточка, то от того все подавах вѣдущиимь добрѣ вся святаа мѣста в градѣ и внѣ града, да быша ми указали все добрѣ; яко же и бысть. И пригоди ми Богъ налѣсти в лаврѣ мужа свята и стара деньми, и книжна вельми; тому святому мужеви вложи Богъ въ сердце любити мя худаго, и тъи указа ми добрѣ вся святаа та мѣста: и въ Иерусалимѣ и по всей земли той поводи мя, и до Тивириадъскаго моря поводи мя, и до Фаворы, и до Назарефа, и до Хеврона, и до Иордана, и по всѣмъ тѣмъ мѣстом поводи мя, и потрудися со мною любве ради. И ина святаа мѣста видѣх многа, яже послѣди скажу.	Я, недостойный игумен Даниил, придя в Иерусалим, пробыл шестнадцать месяцев на одном месте, в лавре святого Саввы, и потому смог обойти и рассмотреть все святые эти места. А так как невозможно без хорошего проводника и без знания языка разыскать и увидеть все святые места, то я, что имел под рукой из бедного моего добыточка, все для того подавал знающим хорошо все святые места в городе и вне города, — чтобы показали мне все хорошо; как оно и было. И помог мне Бог встретить в лавре мужа святого и старого днями, и очень книжного; тому святому мужу вложил Бог в сердце любить меня, худого, и он показал мне хорошо все святые те места: и в Иерусалиме, и по всей земле той поводил меня, и до Тивериадского моря проводил меня, и к Фавору, и в Назарет, и до Хеврона, и до Иордана, и по всем тем местам поводил меня, и потрудился со мною, движимый любовью. И другие святые места я видел многие, о чем после скажу.
О ПУТИ В ИЕРУСАЛИМ	О ПУТИ В ИЕРУСАЛИМ
А се есть путь къ Иерусалиму. От Царяграда по лукоморию ити 300 верстъ до Великаго моря.[2] До Петалы острова[3] 100 верстъ; то есть 1 островъ на узьцѣм мори,[4] и ту есть лимен добръ, и ту есть град Ираклия Великаа.[5] И противу тому граду святое миро выходит из глубины морьскыа: ту святии мученици погружени суть мнози от мучителевъ.[6] От Петалы острова до Калиполя[7] 100 верстъ, а от Калиполя до Авида града[8] 80 верстъ. Противу тому граду лежить святый Еуфимие Новый.[9] А оттудѣ до Крита 20 верстъ, и ту есть на Великое море внити: на шюе въ Иерусалимъ, а на десно к Святѣй Горѣ,[10] и к Селуню,[11] и к Риму. А от Крита до Тенеда острова[12] верстъ 30. То есть 1 островъ на Велицѣм мори, и ту лежит святый Навгудимос мученикъ.[13] И противу тому острову на брезѣ град великъ был именем Троада, и ту есть Павелъ апостолъ приходил[14] и научил ту страну всю и крестил. А от Тенеда острова до Метании острова верстъ 100; и ту лежит святый митрополит Мелетиньскы.[15] А от Мелетинии[16] до Ахия острова[17] верстъ 100; и ту лежить святый мученикъ Исидоръ.[18] И в том островѣ ражаеться мастика, и вино доброе, и овощь всякий.	А вот каков путь к Иерусалиму. От Царьграда надо идти по морскому берегу триста верст до Великого моря. До Петалы-острова сто верст; это первый остров на узком море; там залив хороший, и там находится город Ираклия Великая. А против того города святое миро выходит из глубины морской: тут много святых мучеников утоплено мучителями. От Петалы-острова до Калиполя сто верст, а от Калиполя до города Авида восемьдесят верст. Против того города лежит святой Евфимий Новый. А оттуда до Крита двадцать верст, и там — выход в Великое море: налево — к Иерусалиму, а направо к Святой горе, к Солуни и к Риму. А от Крита до острова Тенеда верст тридцать. Это первый остров на Великом море, и там лежит святой Навгудимос-мученик. И против того острова на берегу был город большой, названием Троада, туда Павел-апостол приходил, и научил ту страну всю, и крестил. А от Тенеда-острова до острова Метании сто верст; там лежит святой митрополит Мелетинский. А от Мелетинии до острова Ахия сто верст; и там лежит святой мученик Исидор. И родится на том острове мастичная смола, и вино хорошее, и плоды всякие.
О ЕФЕСЪ ГРАДѢ	О ГОРОДЕ ЕФЕСЕ
А от Ахиа острова до Ефеса града[19] верстъ 60. И ту есть гроб Иоанна Богословца.[20] И исходит персть святаа из гроба того на паять его, и взямают вѣрнии человѣци персть ту святую на исцѣление всякого недуга. И свита Иоаннова ту лежит, в ней же ходил.	А от Ахия-острова до города Ефеса верст шестьдесят. Там находится гроб Иоанна Богослова. И исходит прах святой из гроба того в день памяти его, и собирают верные люди прах тот святой на исцеление всякого недуга. И плащ Иоанна тут лежит, в котором он ходил.
И ту есть близь пещера, идѣ же лежать тѣлеса 7-ми отрок, иже спали 300 и 60 лѣт:[21] при Декии цари[22] успоша, а при Феодосии цари[23] явишася. В той же пещерѣ 300 святых отець лежит; и святый Александръ[24] лежит ту, и гроб Магдалыни Марьи и глава ея; и святый апостолъ Тимофѣй, ученикъ святаго апостола Павла, в ветсѣмъ гробѣ лежить. И ту есть в ветсѣй церкви икона святыя Богородица, ею же святии препрѣша Несториа еретика.[25] И ту есть баня Диоскоридова, идеже работал Иоаннъ Богослов с Прохором у Романы. И видѣхом пристанище то, идеже Иоанна Богословца море изверже;[26] ту стояхом три дни; и зоветься пристанище то Мореморное. Ефесъ же град есть на сусѣ, от моря вдале 4 верст, в горах; обилен же есть всѣм добромъ. И ту поклонихомся святому гробу тому и, благодатию Божиею храними и молитвами святаго Иоанна Богословца, идохомъ, радующеся. А от Ефеса до Сама острова[27] верстъ 40. И в том островѣ рыбы многы всякы и обилен есть всѣм остров-от. А от Сама до Кария острова верстъ 20.	И там поблизости есть пещера, где лежат тела семи отроков, что спали триста шестьдесят лет: при Декии-царе уснули, а при Феодосии-царе явились. В той же пещере триста святых отцов лежат; тут и святой Александр лежит, и гроб Магдалины Марии, и голова ее; и святой апостол Тимофей, ученик святого апостола Павла, в древнем гробе лежит. И есть там в старой церкви икона святой Богородицы, с помощью которой святые переспорили Нестория-еретика. И есть там баня Диоскоридова, где работал Иоанн Богослов с Прохором у Романы. И видели мы ту пристань, где Иоанна Богослова море извергло; там стояли три дня; а называется та пристань Мраморная. Город же Ефес расположен на суше, в четырех верстах от моря, в горах; он изобилует всяческим добром. И мы поклонились там святому тому гробу и, хранимые благодатью Божией и молитвами святого Иоанна Богослова, шли, радуясь. А от Ефеса до Сама-острова верст сорок. На том острове много всякой рыбы, и всем изобилует этот остров. А от Сама до острова Кария двадцать верст.
О ПАТМѢ ОСТРОВѢ	ОБ ОСТРОВЕ ПАТМЕ
