В ЧЕТВЕРГ 3 НЕДѢЛИ ПОСТА СВЯТАГО ФЕОДОСИА СЛОВО О ТРЪПѢНИИ И О ЛЮБВИ И О ПОСТѢ	В ЧЕТВЕРГ ТРЕТЬЕЙ НЕДЕЛИ ПОСТА СЛОВО СВЯТОГО ФЕОДОСИЯ О ТЕРПЕНИИ, О ЛЮБВИ И ПОСТЕ
Господи, благослови!	Господи, благослови!
Многажды друзии отгоними мною искушениа ради, а не останутся, дондеже получать святый тьй даръ. То что створю, не вѣмъ, убогый! Аще бо умолчю вашего ради роптаниа, угождаа вамъ вашеа ради слабости, то камение възъпиеть. Не азъ бо то глаголю, но они свѣтила вселеныа всея, истиннии стлъпи, правыя вѣры всадители, наставници всему доброму благонравию, вожди истиннии и свѣтила негасущая. Нынѣ бо печалуемь и скорбимъ о инѣх богоувѣдѣнии, о нѣмже бы нам радоватися и хвалу въздати благому Владыцѣ, иже въ первый надесят час пришедшим не похули их опождениа, но тужде мъзду дарова имъ, юже изъутра дѣлавшим; ропщющим бо на винограднаго владыку, что бо рече: «Друже, не обижю тебе; не тако ли съвѣщах с тобою, и не лѣт ли ми въ своих, якоже хощу».[1]	Часто я обличаю других ради их искушения, но не останетесь без святых даров. И что мне делать, не ведаю, убогому! Если стану молчать из-за вашего ропота, угождая вам по вашей слабости, то камни возопят. Не я это говорю, но оные светила, истинные столпы всей вселенной, насадители правой веры, наставники всему доброму и благонравному, истинные вожди и неугасимые светила. Ныне мы печалимся и скорбим о богоуведении других, а подобало бы нам об этом радоваться и воздавать хвалу благому Владыке, который не похулил пришедших в одиннадцатый час за их опоздание, но даровал им ту же мзду, что и тем, кто трудился с утра; ропщущим же на хозяина виноградника сказал: «Друг, я не обижаю тебя; не так ли договаривался я с тобой, и не волен ли я в своих поступать, как хочу!»
Нынѣ же азъ, худый, въ умѣ приемъ заповѣд благаго Владыкы, се вѣщаю вамъ: лѣпо бо бяше намъ от трудовъ своих кръмити убогыа и странныя, а не празднымъ пребывати, прѣходити от келии въ келию. Слышасте бо Павла, глаголюща: «Яко нигдѣже туне хлѣба не ядох, но нощь дѣлахъ, а въ дне проповѣдах, и руцѣ мои послужиста си мнѣ и инѣмъ»,[2] и пакы: «Праздный да не ясть».[3] Мы же ничсоже того не створихомъ. Аще бы не благодать Божиа приспѣла на нас и кръмила боголюбивыми человѣкы, что быхом сътворили, на своя труды зряще, да аще речемъ: пѣниа ради нашего или поста ради или бдѣниа та намъ вся приносять, и за всѣх бо за приносящих ни единою поклонимся.	Ныне я, худой, приняв на ум заповедь благого Владыки, говорю вам: подобало бы нам от трудов своих кормить странствующих и убогих, а не пребывать в праздности, ходя из кельи в келью. Слышали ведь, как Павел глаголет: «Нигде не ел я хлеба втуне, но ночью трудился, а днем проповедывал, и руки мои работали и на меня и на других», и еще: «Кто не работает, пусть не ест». Мы же ничего из этого не сделали. Если б не снизошла к нам благодать Божия и не кормила бы нас через боголюбивых людей, что бы мы делали, на труды свои глядя, если говорим, что ради нашего пения или ради поста или бдения все это нам приносят, а сами ни разу не поклонимся ни за кого из приносящих.
Слышасте бо притчю о десяти дѣвахъ, мудрых а 5 несмысльных.[4] Вѣщеваеть бо святое Евангелие: мудрыя же дѣвьства съблюдоша, и свѣтилникы своя украсиша милостынями и вѣрою, и внидоша въ чрътогъ радостный, и никомуже не възъбраняющю им. Оны же буяя како нарѣкошася? Понеже дѣвьственую печать съблюдоша неразориму и в пощении и въ бдѣнии, въ молитвах стончиша плоть свою, масла же милостыни не принесоша въ свѣтилницѣх своих душь, и того ради изъгнани быша исъ чрътога; и тогда възыскаша продающих милостыня нищих, но не обрѣтоша, уже бо затворишася двери человѣколюбиа Божиа.	Слышали ведь вы притчу о десяти девах, о <пяти> мудрых и о пяти неразумных. Святое Евангелие возвещает: мудрые и девство сохранили, и светильники свои украсили милостынею и верой, и вошли в чертог радости, и никто не остановил их. А почему же другие были названы неразумными? Потому что девственную печать сохранили неразоренной и лощением, и бдением, и молитвами истончили плоть свою, а масла милостыни не принесли в светильниках душ своих, и потому изгнаны были из чертога; и тогда бросились искать продающих милостыню нищих, но не нашли их, ибо уже затворились двери Божьего человеколюбия.
Да не лѣпо нам есть, възлюблении, посылаемых от Бога на ползу душамъ и телесем нашимъ от боголюбивых человѣкъ удержати себе, но инѣмъ подаати трѣбующимъ. «Луче бо, — рече апостолъ, — даяти, нежели взимати»;[5] «Блаженъ, — рече, — разумѣваяй на нища и убога, въ день лютъ избавить ̀и Господь»;[6] и еще: «Блажени милостивии, яко ти помиловани будуть».[7]	Нехорошо нам, возлюбленные, то, что через боголюбивых людей посылает нам Бог на пользу душам и телам, удерживать себе, а хорошо подавать другим, нуждающимся. Ибо сказал апостол: «Лучше давать, чем брать»; «Блажен, — сказано, — думающий о нищих и убогих, в день скорби избавит его Господь», и еще: «Блаженны милостивые, ибо те помилованы будут».
Да не уподобимся онѣмъ роптивымъ, иже чрѣва ради падоша въ пустыни; ни помышляемь бѣсовскыих помышлений, иже всѣвають въ сердца наша неподобнаа, не дающе намъ хвалы въздати Богу о всѣхъ благодатех его, еже к намъ. Слышите бо, въ что изыде роптание онѣхъ.	Не станем уподобляться тем ропщущим, которые из-за своего чрева пали в пустыне; не станем помышлять бесовских помышлений, насаждающих в наши сердца непотребное, не давая нам воздать Богу хвалу за все его благодеяния к нам. Знаете ведь, к чему привело их роптание.
Не первѣе ли, егда ведяше я Моиси къ морю Чрьмному столпом огньнымъ облачномъ, и они, забывше онѣхъ казни и елико сътвори имъ Богъ в Египтѣ Моисѣом и Арономъ, не възпиша ли на Моисѣя: «Что извел ны еси сдѣ, да умрем нынѣ в пустыни сей; не луче ли да быша гроби наши въ Египтѣ были!»[8] Да егда проведе их Богъ сквозѣ Чрьмное море рукою Моисеовою и врагы их потопи,[9] приидоша въ Мерры и обрѣтоша ту горкыа воды, и пакы усъкориша и забыша дѣлъ Божиих, възропташа на Моисѣя, глаголюще: «Чьто пиемь! Се бо въвел ны еси въ пустыню сию безводную, нѣимущи никакояже утѣхы». И не ослади ли имъ Богъ горкых водъ?[10] То и ту не осташа в разумѣ, но по тѣх всѣх чюдотворных поклонишася тѣлцю.[11] Да аще бы не Моисѣй стал во сокрушении ко Богу о нѣх, то потрѣбилъ бы я Богъ от лица земли. И пакы воду имъ ис камени источи[12], и хлѣбы имъ съ небесе дарова.[13] То или похвалиша Бога, безъблагодатнии? Но начаша глаголати: «Егда подаваем от хлѣба иноязычникомъ?»	Сперва, когда вел их Моисей к Чермному морю с помощью столпа, огненного и облачного, не принялись ли они, забыв их наставления и все, что сотворил им Бог в Египте через Моисея и Аарона, вопить на Моисея: «Зачем ты привел нас сюда, чтобы мы умерли теперь в пустыне этой; не лучше ли б было, если б могилы наши в Египте были!» И когда провел их Бог сквозь Чермное море рукою Моисеевой и потопил их врагов, Пришли они в Мерры и обрели здесь горькие воды, и снова поторопились и забыли деяния Божий, возроптали на Моисея, говоря: «Что будем пить! Вот ты привел нас в эту безводную пустыню, где нет нам никакого утешения». И не осладил ли им Бог горьких вод? Но и тогда не пришли они в разум, и после всех тех чудотворений поклонились тельцу. И если б не встал Моисей, сокрушаясь, за них пред Богом, то истребил бы их Бог с лица земли. И снова воду им из камня источил, и хлеб им с небес даровал. Быть может, после этого воздали они Богу хвалу, безблагодатные? Нет, но принялись говорить: «Разве нам следует давать хлеб иноплеменникам?»
И не о всѣх ны слово сии есть, но о тѣх, иже тѣм болят и втайнѣ ропщущих. Но того дѣля глаголю то всѣмъ, да не вси приимуть яко квасъ злосрѣбролюбнаа. Глаголаше: «Почто гыбель сиа бысть? Можаше бо се миро роспродатися на мнозѣ и датися убогымъ»,[14] и послѣди же не продаст ли Июда учителя своего на 30-тех срѣбреницѣх, а самъ удавися. И како ми не стенати и не тужити, любимици мои, и та вся слышаще въ васъ. И аще бых моглъ, и възъглаголал ко вашей любви оно пророчьское слово: «Кто дасть главѣ моей камение и очима моима источникъ слезъ, да плачюся день и нощь дщере людий моих!»[15] Удалихом бо ся въ пустыню, по Писанию, и чаемь Бога, спасающаго насъ. И не изведе ли насъ, акы изъ Египта, от мира въ пустыню сию безводную, не рукою Моисѣовою, но благодатию Божиею. И что облиховани быхом, братиа моя и отци?! Что бо принесосте от имѣний своих на мѣсто се или что азъ трѣбовахъ от васъ, приимая въ обитель сию? И человѣколюбие Божие что насъ лиши?! Нѣ вся ли подасть намъ молитвами святыя Богородица?!	Эти мои слова не для всех, а для тех, кто тем болен и втайне ропщет. Но потому говорю это всем, чтоб вы не приняли в себя закваску сребролюбия. Говорил Иуда: «Зачем эта трата? Можно было это миро продать за большую цену и раздать нищим», а после не продал ли учителя своего за тридцать Серебреников, а сам удавился. И как мне не стенать и не тужить, возлюбленные мои, все это слыша от вас. Если б я мог, то проговорил бы к вашей милости пророческие те слова: «Кто даст главе моей камень и очам моим источник слез, чтоб плакал я день и ночь о дщери народа моего». Ушли мы в пустыню, по Писанию, и уповаем на Бога, спасающего нас. Не вывел ли он нас из мира, как из Египта, в сию пустыню безводную, не Моисеевой рукой, но благодатью Божией. И чем мы опечалены, братья мои и отцы?! Разве вы что-то принесли сюда из своего имения, или я что-нибудь требовал от вас, принимая в сию обитель? Или человеколюбие Божие чего-то нас лишило?! Не все ли дало оно нам молитвами святой Богородицы?!
Да тѣмъ молюся вамъ от всея душа моея, любимици мои, не прѣбываимъ въ дводушии, да не прогнѣваемъ благаго Владыкы, якоже и бни непокоривии. Но въздадимъ хвалу благому Владыцѣ, о иже тако о насъ смотрить и вся намъ изобилия подаваеть, не помня немощей наших; и длъжни есмы к нему глаголати оно Давыдово слово: «Что есмы грѣшнии, Господи мой, Господи, о иже ты и насъ изъбра и та вся намъ дарова! Смирихъ бо ся, — рече, — спаси мя»[16], и: «Въ смирении нашем помянул ны Господь»[17]. О Христѣ Исусѣ Господѣ нашем.	Поэтому молю вас всей душой моей, возлюбленные мои, не будем двоедушными, чтоб не прогневать благого Владыки подобно тем непокорным. Но воздадим хвалу благому Владыке за то, что так печется о нас и подает нам все в изобилии, не помня наших немощей; должны мы обращать к нему Давыдовы слова: «Что мы такое, грешные, Господи, Боже наш, что ты нас избрал и все это нам даровал! Смирился я, —сказано, — спаси мя», и: «Во смирении нашем помянул нас Господь». О Христе Исусе Господе нашем.
 	ПОУЧЕНИЕ О ТЕРПЕНИИ И СМИРЕНИИ
