О ЧУДЕСЕХ ПРЕСВЯТЫЯ БОГОРОДИЦА ВОЛОДИМИРЬСКОЙ ИКОНЫ	О ЧУДЕСАХ ВЛАДИМИРСКОЙ ИКОНЫ ПРЕСВЯТОЙ БОГОРОДИЦЫ
Яко бо солнце створи Богъ, не на едином мѣстѣ постави, егда свѣтить, обиходя всю вселеную, лучами освѣщаеть, тако же и сии образ образ Пресвятыя Владычица нашея Богородица Приснодевы Мария не на едином мѣстѣ чюдеса и дары исцелениа истачаеть, но обьходящи вся страны и мира просвѣщаеть и от недугь различьных избавляет.	Как Бог сотворил солнце, не на одном месте поставил его сиять; в своем движении оно всю Вселенную лучами освещает, — так и этот образ Пресвятой Владычицы нашей Богородицы и Приснодевы Марии не на одном месте чудеса и дары исцеления источает, но, обходя все страны, весь мир просвещает и от недугов различных избавляет.
Князю же Андрѣю хотящю княжити на Ростовьскую землю,[1] и нача бесѣдовати о иконах. Повѣдоша ему икону Вышѣгорода въ женьском манастыри Пресвятыя Владычица нашеа Богородица,[2] яко 3-жды ступила с мѣста. 1-е внидоша въ церковь и видѣша ю средѣ церкви особѣ стоящю, и поставиша ю на ином мѣстѣ. 2-е видиша ю, обратившюся къ олтареви лицемь, и ркоша, яко въ олтари хощеть стояти. Поставиша ю за тряпезою.[3] 3-е видѣша ю кромѣ тряпезы особѣ стоящю. И иных чюдес множество.	Когда князь Андрей захотел княжить в Ростовской земле, то начал расспрашивать об иконах. Рассказали ему об иконе в Вышеграде в женском монастыре Пресвятой Владычицы нашей Богородицы, которая трижды сходила с места. Впервые, когда вошли в церковь и увидели ее посреди церкви стоящую отдельно, то поставили ее на другое место; во второй раз видели ее, обратившуюся ликом к алтарю, и сказали, что в алтаре хочет стоять. Поставили ее за престолом. В третий раз видели ее отдельно стоявшую вне престола. И других чудес множество.
Се слышав, князь рад быть, и приде въ церковь и начать смотрити по иконам. Си же икона, яко прешла бѣ всѣхъ образовъ, видѣвъ ю, припаде на земли, моляся и глаголя: «О Пресвятая Богородице Мати Христа Бога нашего, аще хощеши ми заступница быти на Ростовьскую землю посѣти новопросвѣщеныя люди, да въ твоей вся си воли будуть».	Услышав об этом, князь рад был, и пришел в церковь, и начал осматривать иконы. Увидев же сию икону, которая превзошла все образы, припал к земле, молился и говорил: «О Пресвятая Богородица, матерь Христа Бога нашего, если хочешь мне заступницей быть в Ростовской земле, посети новопросвещенных людей, да будут все в твоей воле».
И тогда вземь икону поѣха на Ростовьскую землю, поимъ и крилось со собою. Ѣдущю же ему путемь, поя собѣ проводника, и приѣха к рѣцѣ Возузѣ,[4] и видѣвъ ю, наводнившюся, нужею посла человека въ рѣку пытать броду. И яко вниде в рѣку на кони и погрязе во дно. Князь же начать молитися ко иконѣ Пресвятыя Владычица нашеа Богородица и Приснодевици Марии, яко повиненъ есмь смерти его: «Госпоже, аще не ты избавиши». И се бысть намного молящюся ему, абие изиде среди рѣкѣ члък онъ[5] на кони, и батог в руцѣ, и приѣха на брег. Князь же радъ бысть видѣвый. И одаривъ, отпусти восвояси. Се же бысть первое чюдо Пресвятѣй Богородици.	И тогда взял икону и поехал в Ростовскую землю, взял и причт с собою. На время пути прихватил с собой проводника и приехал к реке Вазузе, и, увидев, что она полноводна, приказал послать человека искать броду в реке. Когда тот въехал на коне в реку, то погрузился на дно. Князь же начал молиться иконе Пресвятой Владычицы нашей Богородицы и Приснодевы Марии: «Виноват буду в смерти его, Госпожа, если ты не спасешь!» Горячо взмолился он, и случилось так, что тотчас появился посреди реки этот человек на коне с палкой в руке и выбрался на берег. Князь же, увидев его, обрадовался. И, одарив его, отпустил восвояси. И это было первое чудо Пресвятой Богородицы.
Чюдо 2-е.	Чудо 2-е.
Князю же сушу на Рогожьских полех,[6] се же Микулиная попадья ѣха на колѣхъ съ снохою своею. Бывшима же има на истоцѣ, и соидоста с колъ. Бѣ бо попадья Микулиная нетуня. Яко хотѣша минути конь, и нападе бѣсъ на конь. И зби повозника съ себе, и ногу ему изломи. И порази попадью Микулину передними ногами. И завертьшася ему копыта в корътлѣ,[7] и се на многъ час ядяшеть ю. Мнѣша бо ю мертву сущю и възвѣстиша попу Микули, яко: «Попадья твоя мертва есть». Он же, възрѣвъ на икону Пресвятыя Богородица, и рече: «Госпоже Пречистая Владычице, аще ты не избавиши ея от смерти, се уже мертва есть». Конь же истеръ нозѣ ис корьтля и бѣжа в лѣсь и завивъся и ста. Въспросиша ю о яденьи коня, и рече, яко сдрава есмь молитвами Пресвятыя Богородица, жал ми увисла же отлогъ,[8] еже изьѣде конь.	Когда князь был на Рогожских полях, жена попа Микулы ехала на повозке со своею снохою. Доехав до истока, сошли с повозки. А попадья Микулина была непраздна. Хотела она пройти мимо коня, и напал на коня бес. И сбросил повозника с себя и ногу ему сломал. И ударил попадью Микулину передними копытами. И запутались копыта в ее одежде, и он ее сильно покусал. Подумали даже, что она умерла, и сказали попу Микуле: «Попадья твоя умерла». Он же, обратившись к иконе Пресвятой Богородицы, сказал: «Госпожа Пречистая Владычица, если ты не избавишь ее от смерти, то будет она мертва». А конь выдернул копыта из одежды, убежал в лес, и запутался, и стал. Спросили ее об укусах коня, и ответила попадья, что: «По молитве Пресвятой Богородицы жива и здорова. Жаль мне только бахромы на накидке, изжеванной конем».
Приѣхав Володимерь благородный князь Андрѣй и созда церковь во имя Пресвятыя Богородица,[9] украсивъ ю всякимъ благочестиемь. И постави в ней чюдотворную икону Пресвятѣй Владичици нашей Богородици.	По приезде во Владимир, благородный князь Андрей создал церковь во имя Пресвятой Богородицы, украсив ее с подобающею честию. И поместил в ней чудотворную икону Пресвятой Владычицы нашей Богородицы.
Чюдо третьее.	Чудо 3-е.
По преходи же нѣколика времени человек нѣкто болѣ огненою болезнию. В той же болѣзни онѣми, и рука ему усше. Въстав же от болезни, начать помавати рукою здравою. Мняхуть, бо яко хочеть ко святому Николѣ, бѣ бо близь ту святый Никола церковь.[10] И привезоша ко святому Николи. И помаваше мимо церковь, и не уразумѣша. Онь же самъ правяше собѣ въ град къ Святѣй Богородици. И приде въ церковь Святыя Богородица на завътренюю. И ставъ въ церкви Святыа Богородица противъ олтаря и на конець завътренни паде. И мнѣша, яко лихою болестью палъся есть, извлекоша и въ притворъ,[11] и ту лежащю ему до обѣдни. И въставъ начать сказывати, како видѣ Святую Богородицю, идущю къ собѣ со мѣста, и рече: «видих ю близ себе и падохъ, и пакы не видѣхъ». А бѣ бо не знакомитъ человекъ той. И начаша литургию святую пѣти. Он же вниде въ церковь и нача молитися ко иконѣ Пресвятыи Богородица и яко хотѣ целовати икону Пресвятѣй Госпожи Владычици нашей Богородици. И стяжа ко иконѣ руку болную. Госпожа же Богородица Святая рукою своею яты и за руку его. Князю сущю Андрѣю и попу Нестеру и множьству людемь видящим въ церкви. Се же бысть от начала и до конца литургиа. Нестеръ же попъ съзва клирос и повелѣ облачитися в ризы имъ. Вземше же кресты обоидоша трижды церковь. Он же сѣдяше въ церкви простъ. Попъ же сътвори праздникъ позва к себѣ князя и бояре и исцелившаго одаривше и пустиша. И бысть радость велика въ градѣ Володимерѣ того дни.	Через некоторое время человек некий заболел горячкою. От болезни этой он онемел и рука его усохла. Оправившись от болезни, начал делать он знаки здоровой рукой. И подумали, что хочет ко святому Николе, потому что близко находилась церковь святого Николы. И привезли его ко святому Николе. И он дал знак рукой, чтобы ехали мимо церкви; и не поняли его. Он же сам направил лошадей в город ко святой Богородице. И прибыл в церковь святой Борогодицы к заутрене. И стал в церкви святой Богородицы напротив алтаря, и в конце заутрени упал. И подумали, что упал он от тяжелой болезни; вынесли его в притвор, и лежал он здесь до обедни. Придя в себя, он рассказал, что видел святую Богородицу, сошедшую с места к нему, и сказал: «Видел ее вблизи и упал, а больше не видел». А человек тот не был именит. И начали петь святую литургию. Он же вошел в церковь и начал молиться перед иконой Пречистой Богородицы и хотел поцеловать икону Пресвятой Госпожи Владычицы нашей Богородицы. И приложил к иконе больную руку. Владычица Святая Богородица своею рукою взяла его за руку. И это видели бывшие в церкви князь Андрей и поп Нестор и множество людей. И продолжалось сие от начала и до конца литургии. Поп Нестор созвал причт и повелел облачиться в ризы. Взяли кресты и трижды обошли церковь. Он же один сидел в церкви. Поп же сотворил праздник, позвал к себе князя и бояр, а исцелившегося одарили и отпустили. И была в тот день в городе Владимире великая радость.
Чюдо 4-е.	Чудо 4-е.
