ИЗ ИПАТЬЕВСКОЙ ЛЕТОПИСИ	ИЗ ИПАТЬЕВСКОЙ ЛЕТОПИСИ
Въ лѣто 6691. Мѣсяца февраля въ 23 въ 1-ю недѣлю поста придоша измалтяне[1] безбожнѣи половци на Русь воеватъ ко Дмитрову[2] съ оканьным Кончакомъ[3] и съ Глѣбомъ Тириевичемь, и Божьемь заступлениемь и не бысть пакости от нихъ. Князь же Святославъ Всеволодичь, сгадавъ со сватомъ своимъ Рюриком,[4] поидоша на половцѣ и сташа у Олжичь,[5] ожидающе Ярослава[6] и-Щернигова. И устрѣте я Ярославъ и рече имъ: «Нынѣ, братья, не ходите, но срекше веремя, оже дасть Богь, на лѣто поидемь». Святослав же и Рюрикъ, послушавша его, возвратишася. Святославъ же посла сыны своя с полкы своими полем ко Игореви, веля ему ѣхати в себе мѣсто, а Рюрикъ посла Володимѣра Глѣбовича[7] с полкы своими. Володимѣръ же Глѣбовичь посла ко Игореви,[8] прося у него ѣздити напереди полкомъ своимъ: князи бо русции дали бяхуть напередѣ ѣздити в Руской земли. Игорь же не да ему того. Володимерь же розгнѣвався и возъвратися. И оттолѣ идя, иде на севѣрьскиѣ городы,[9] и взя в них много добытокъ. Игорь же возвороти киевьскии полки и пристави к нимъ Олга, сыновца своего Святослава,[10] абы како довести полкъ цѣлъ, а самъ ѣха, поима со собою брата своего Всеволода,[11] и Святославича Всеволода, и Андрѣя с Романомъ, и нѣколко от черного клобука,[12] с Кулдюремь и с Кунътувдѣемь, и придоша к рѣцѣ к Хырии.[13] И бысть тоиѣ ночи тепло и дождь рамянъ, и умножися вода, и не бысть имъ куда переѣхати, а половцѣ, котории утягли переити вежами,[14] спасошася, а которѣи не утягли, а тѣхъ взяша; рекоша же, ако в ту рать вежѣ и кони и скоти мнози потопли суть в Хирии, бѣгаюче передъ русью[15] <...>	В год 6691 (1183). Месяца февраля в двадцать третий день, в первую неделю поста, измаилтяне, безбожные половцы, пришли войной на Русь, к Дмитрову, с окаянным Колчаком и с Глебом Тириевичем, но по Божьему заступничеству не принесли они беды. Князь же Святослав Всеволодич посоветовался со сватом своим Рюриком, и пошли они против половцев и остановились у Олжич, поджидая Ярослава из Чернигова. Встретил их Ярослав и сказал им: «Сейчас, братья, не ходите, но, сговорившись о времени, если Бог даст, пойдем на них летом». Святослав же и Рюрик, послушавшись его, возвратились. Святослав послал сыновей своих с полками своими степью к Игорю, велев ему ехать вместо себя, Рюрик же послал со своими полками Владимира Глебовича. А Владимир Глебович послал к Игорю, испрашивая у него разрешения выйти вперед со своим полком, ибо князья русские поручали ему передовые полки в Русской земле. Но Игорь не разрешил ему этого. Разгневался Владимир и возвратился. И идя оттуда, напал на города северские и захватил в них большую добычу. Игорь же повернул назад киевские полки и поставил над ними Олега и племянника своего Святослава, чтобы довели они войско без потерь, а сам поехал, взяв с собой брата своего Всеволода и Всеволода Святославича, и Андрея с Романом, и некоторое число воинов из черных клобуков с Кулдюрем и с Кунтувдеем, и пришли они к реке Хоролу. И было в ту ночь тепло, шел сильный дождь, и поднялась вода, и не удалось им найти брода, а половцы, которые успели переправиться со своими шатрами — те спаслись, а какие не успели — тех взяли в плен; говорили, что во время этого похода и бегства их от русских немало шатров, и коней, и скота утонуло в реке Хороле. <...>
Того же лѣта Богъ вложи въ сердце Святославу, князю киевьскому и великому князю Рюрикови Ростиславичю ... поити на половцѣ. И посласта по околниѣ князи, и совкупишася к нима Святославича Мьстиславъ и Глѣбъ, и Володимѣръ Глѣбовичь ис Переяславля, Всеволодъ Ярославичь из Лучьска с братомъ Мьстиславомъ, Романовичь Мьстиславъ, Изяславъ Давыдовичь и Городеньский Мьстиславъ, Ярославъ, князь пиньский с братомъ Глѣбомъ, из Галича от Ярослава[16] помочь, а своя братья[17] не идоша, рекуще: «Далече ны есть ити в низъ Днѣпра, не можемь своѣе землѣ пусты оставити: но еже поидеши на Переяславль, то совокупимся с тобою на Сулѣ».[18] Святослав же, не любуя на свою братью, поиде, поспѣшая путь свой и поущаемь Божиимъ промысломъ, тѣмь старѣйшии его сынове не утягоша от Черниговьской сторонѣ. Идущю же ему по Днепру, и ста ту, идеже нарѣцаеться Инжирь бродъ,[19] и ту перебродися на ратьную сторону Днѣпра и 5 дней искаша ихъ. Ту же отряди моложьшеѣ князѣ передъ своими полки: отряди же Володимера Переяславьского, и Глѣба, и Мьстислава, сына своего, и Романовича Мьстислава и Глѣба Гюрговича, князя дубровицьского, и Мьстислава Володимерича и берендѣевъ[20] с нимь было 2100. Половци же, узрѣвше Володимерь полкъ, крѣпко идущь на нихъ, и побѣгоша, гоними гнѣвомъ Божиимъ и святѣй Богородицѣ. Оним же, ѣхавшимъ по нихъ, не постигъше, возворотишася русь, и стояша на мѣстѣ, нарѣцаемемь Ерель, егоже русь зоветь Уголъ.[21]	В том же году побудил Бог Святослава, князя киевского, и великого князя Рюрика Ростиславича пойти войной на половцев. И послали они к соседним князьям, и собрались к ним Мстислав и Глеб Святославичи, и Владимир Глебович из Переяславля, Всеволод Ярославич из Лучьска с братом Мстиславом, Мстислав Романович, Изяслав Давидович и Мстислав Городенский, Ярослав, князь пинский с братом Глебом, и из Галича пришла помощь от Ярослава, а свои братья не пришли, говоря: «Далеко нам идти к низовьям Днепра, не можем свою землю оставить без защиты, но если пойдешь через Переяславль, то встретимся с тобой на Суле». Святослав же, рассердившись на братьев своих, поспешно отправился в путь, побуждаемый Божественным промыслом; потому-то старшие сыновья его и не поспели из Черниговщины. Двинулся он вдоль Днепра и достиг того места, которое называется Инжир-бродом, и тут перешел на вражеский берег Днепра и пять дней искал половцев. Тогда отправил младших князей перед своими полками: послал Владимира Переяславского, и Глеба, и Мстислава, сына своего, и Мстислава Романовича, и Глеба Юрьевича, князя дубровицкого, и Мстислава Владимировича, и берендеев было с ним две тысячи сто. А половцы, увидев отряд Владимира, смело идущий им навстречу, побежали, гонимые гневом Божьим и святой Богородицы. Русские, погнавшись за ними, не догнали, возвратились и остановились на месте, называемом Орель, которое на Руси зовется Угол.
Половецький же князь Кобякъ[22], мнѣвъ толко руси, возвратися и погна во слѣдъ ихъ. Идущим же имъ по нихъ, узрѣша полци рустѣи, начаша ся стрѣляти о рѣку и начаша межи собою перегонити, и бысть имъ того надолзѣ. Слышав же Святославъ и Рюрикъ и пустиста имъ болшиѣ полкы на помочь, а сама поидоста за ними поспѣвающа. Якоже узрѣша половци помочныя полкы и мнѣша ту Святослава и Рюрика, абье поскочиша. Русь же, приимше помощь Божию и въвѣртѣшася в нѣ, и начаша ѣ сѣчи и имати. И тако створи Господь милость хрестьяномъ, в тый же день возвеличи Богъ князя Святослава и Рюрика за вѣру ею.	Половецкий же князь Кобяк, решив, что это и есть все русское войско, возвратился и стал преследовать его. Когда половцы, преследуя, увидели полки русские, то начали перестреливаться через реку и старались обойти друг друга, и так продолжалось немалое время. Узнав об этом, Святослав и Рюрик отправили им на помощь основные силы, а сами спешно двинулись следом. Когда же половцы увидели полки, пришедшие на помощь, то решили, что с ними и Святослав и Рюрик, и тотчас же повернули назад. Русские же, укрепившись Божьей помощью, прорвали их строй и начали их сечь и пленить. И так проявил Господь милость свою христианам, в тот день возвеличил Бог Святослава и Рюрика за благочестие их.
И ту яша Кобяка Карлыевича со двѣима сынома, Билюковича Изая и Товлыя съ сыномъ, и брата его Бокмиша, Осалука, Барака, Тарха, Данила и Съдвака Кулобичкого яша жь, и Корязя Калотановича ту убиша и Тарсука, а инѣхъ бе-щисла. Створи же Богъ побѣду сю мѣсяца июля въ 30 в понедѣлникъ, в память святаго Ивана Воиника. Великий же князь Святославъ Всеволодичь и Рюрикъ Ростиславичь приемше от Бога на поганыя побѣду и возвратишася восвояси съ славою и честью великою.	И взяли в плен тогда Кобяка Карлыевича с двумя сыновьями, Билюковича Изая, и Товлыя с сыном, и брата его Бокмиша, Осалука, Барака, Тарха, Данила и Содвака Кулобичского также пленили, и Корязя Калотановича тут убили и Тарсука, а прочих — без счета. Даровал Бог победу эту месяца июля в тридцатый день, в понедельник, в день памяти святого Ивана Воиника. А великий князь Святослав Всеволодич и Рюрик Ростиславич, получив от Бога победу над погаными, возвратились по домам со славой и с честью великой.
Того же лѣта слышавъ Игорь Святославличь, оже шелъ Святославъ на половцѣ, призва к собѣ брата своего Всеволода и сыновця Святослава и сына своего Володимѣра, молвяшеть бо ко братьи[23] и ко всѣй дружинѣ: «Половци оборотилися противу рускимъ княземь, и мы без них кушаимся на вежах ихъ ударити». Да яко бысть за Мѣрломь,[24] и срѣтеся с половци, поѣхалъ бо бяше Обовлы Костуковичь в четырѣхъстѣхъ воеватъ к Руси, и ту абье пустиша к нимъ кони. Половци же побѣгоша Божьимь повеленьемь, и русь погнаша ѣ, и ту побѣдиша ѣ, и возвратишася восвояси.	В это же время Игорь Святославич, услышав, что Святослав отправился на половцев, призвал к себе брата своего Всеволода, и племянника Святослава, и сына своего Владимира и обратился к братии своей и ко всей дружине: «Половцы выступили против русских князей, и мы без них попытаемся напасть на их вежи». И когда переправились за Мерлу, встретились с половцами — ехал Обовлы Костукович с четырехстами воинами воевать на Русь, и тут помчались им навстречу на конях. Половцы же, по повелению Божьему, обратились в бегство, и русские погнались за ними, и победили их тут, и возвратились восвояси.
В то же время Володимеръ Ярославичь Галичький, шюринъ Игоревъ,[25] бяшеть у Игоря, зане выгнанъ бяшеть отцемь своим из Галича. То же Володимѣръ приде преже ко Володимѣру к Романови. Романъ, блюдяся отца его, не да ему опочити у себе. Оттолѣ же иде ко Инъгварови Дорогобужю, и тотъ, блюдяся отца его, и не прия его. И онъ оттолѣ ѣха ко Святополку Турову, и тый такоже отпусти его; ко Давыдови Смоленьску — Давыдъ же отпусти, в Суждаль ко Всеволоду, уеви своему[26]. Володимеръ же Галичькый ни тамо обрѣте собѣ покоя, приде к зяти своему Путивлю, ко Игореви Святославичю. Той же прия с любовью и положи на немь честь велику, и за двѣ лѣтѣ держа и́ у себе, и на третьее лѣто введе и́ в любовь со отцемь его и посла с нимъ сына своего, зятя Рюрикова, Святослава[27] <...>.	В это же время Владимир Ярославич Галицкий, шурин Игорев, находился у Игоря, так как был изгнан отцом своим из Галича. Тот Владимир прежде всего отправился во Владимир к Роману, но Роман, боясь его отца, не разрешил ему поселиться у себя. Оттуда направился к Ингварю в Дорогобуж, и тот, из страха перед отцом его, не принял Владимира. И он оттуда поехал в Туров, к Святополку, и тот также не пустил его, к Давиду в Смоленск — и Давыд его не пустил, в Суздаль к Всеволоду, дяде своему, но и там Владимир Галицкий не обрел покоя и пришел в Путивль, к зятю своему Игорю Святославичу. Тот же встретил его радушно и с честью великою и два года держал у себя, а на третий год примирил его с отцом и послал с ним сына своего, зятя Рюрикова, Святослава. <...>
Въ лѣто 6692.[28] Пошелъ бяше оканьный и безбожный и треклятый Кончакъ со мьножествомь половець на Русь, похупаяся, яко плѣнити хотя грады рускыѣ и пожещи огньмь, бяше бо обрѣлъ мужа такового бесурменина, иже стрѣляше живымъ огньмь[29]. Бяху же и у нихъ луци тузи самострѣлнии, одва 50 мужь можашеть напрящи. Но всемилостивый Господь Богъ гордымъ противиться и свѣты ихъ раздруши. Пришедъ бо, ста на Хоролѣ, послалъ же бяшеть с лестью ко Ярославу Всеволодичю, мира прося. Ярославъ же, не вѣды лѣсти ихъ, посла к нимъ мужъ свой Ольстина Олексича. Святославъ же Всеволодичь слашеть къ Ярославу, река: «Брате, не ими имъ вѣры, ни своего мужа шли, яз на ны поиду». Святославъ же Всеволодичь и Рюрикъ Ростиславичь со всими своими полкы, не стряпя, поиде противу имъ. Рюрикъ же и Святославъ отрядиста Володимѣра Глѣбовича, върядиша в наворопъ,[30] и Мьстислава Романовича, а самъ Рюрикъ и Святославъ поидоста задѣ ихъ. Ѣдущим же имъ, и устрѣтоста гости, идущь противу себе ис Половець, и повѣдаша имъ, яко половци стоять на Хоролѣ. Святослав же и Рюрикъ то слышавша и рада быста, и поидоста к нимъ. Володимѣръ же и Мьстиславъ, слышавше, придоша к мѣсту тому, идеже указаша гостье. Пришедши же на мѣсто то, идѣже стояли, и не видиша никогоже, шли бо бяхуть на ино мѣсто възлѣ Хоролъ. Наворопници же, перешедше Хоролъ, взиидоша на шоломя, глядающе, кдѣ узрять ѣ. Коньчакъ же стоялъ у лузѣ. Его же, ѣдуще по шоломени, оминуша, иныѣ же ватагы[31] узрѣвше, удариша на нихъ. Кончакъ же то видивъ, за нѣ утече чересъ дорогу, и мьншицю его яша и оного бесурменина яша, у негоже бяшеть живый огонь. То и того ко Святославу приведоша со устроенымъ, прочая же воя ихъ — онихъ избиша, а конѣ и оружья многое множество и ополонишася.	В год 6692 (1184). Двинулся окаянный и безбожный и трижды проклятый Кончак с бесчисленными полками половецкими на Русь, надеясь захватить и пожечь огнем города русские, ибо нашел он некоего мужа басурманина, который стрелял живым огнем. Были у них и луки-самострелы, едва пятьдесят человек могли натянуть у них тетиву. Но всемилостивый Господь Бог противится гордецам и козни их разрушает. Кончак же, придя, стал на Хороле и послал с хитростью к Ярославу Всеволодичу, предлагая ему мир. Ярослав же, не подозревая обмана, направил к половцам мужа своего Ольстина Олексича. А Святослав Всеволодич послал к Ярославу, говоря ему: «Брат мой, не верь им и своего мужа не посылай, я на них войной иду». Святослав Всеволодич и Рюрик Ростиславич со всеми полками своими без промедления двинулись на половцев. Рюрик и Святослав отрядили Владимира Глебовича в передовой полк и Мстислава Романовича с ним, а сами Рюрик и Святослав двинулись следом за ними. Когда они были в пути, встретились им купцы, шедшие навстречу из Половецкой земли, и сказали, что половцы стоят на Хороле. Святослав и Рюрик, услышав об этом, обрадовались и направились туда. А Владимир и Мстислав, узнав об этом, пришли на место, указанное купцами. Но когда пришли туда, где стояли половцы, то не увидели никого, ибо те перешли на другое место на берегу Хорола. Передовой же полк, переправившись через Хорол, поднялся на холм, чтобы оттуда заметить врага. А Кончак стоял в долине. И ехавшие по холмам миновали его, а другие полки половецкие — увидели и напали на них. Кончак же за их спиной бежал на ту сторону дороги, и лишь наложницу его захватили и того басурманина, у которого был живой огонь. И привели его к Святославу со всем устройством, а прочих воинов их кого перебили, а кого взяли в плен, с конями и со множеством всякого оружия.
Въ лѣто 6693.[32] Съдѣя Господь спасение свое — дасть побѣду князема рускыма — Святославу Всеволодичю и великому князю Рюрикови Ростиславичю мѣсяца марта в 1 день. Увѣдавъша же Кончака бѣжавша, посласта по немь Кунътугдыя въ 6000. Тот же, гнавъ, самого не обрѣте, бяшеть бо тала стопа за Хороломъ. Святослав же и великый князь Рюрикъ побѣду приемша молитвами святою мученику Бориса и Глѣба и поидоша когождо восвояси, славяще Бога во Троицѣ — Отца и Сына и Святаго Духа.	В год 6693 (1185). Даровал Господь избавление — дал победу русским князьям, Святославу Всеволодичу и великому князю Рюрику Ростиславичу, месяца марта в первый день. Узнав о бегстве Кончака, послали за ним следом Кунтугдыя с шестью тысячами воинов. Но тот, преследуя, не смог его догнать, ибо помешала распутица за Хоролом. Святослав же и великий князь Рюрик одержали победу по молитвам святых мучеников Бориса и Глеба и пошли каждый восвояси, славя Бога в Троице — Отца и Сына и Святого Духа.
Князь же Ярославъ Черниговьский не шелъ бяше с братомь, со Святославомъ, молвяшеть бо тако: «Азъ есмь послалъ к нимъ мужа своего Ольстина Олексича, а не могу на свой мужь поѣхати», тѣмь отречѣся брату своему Святославу. Игорь же молвяшеть Святославлю мужеви: «Не дай Богъ, на поганыѣ ѣздя, ся отрещи: поганы есть всимъ намъ обьчий ворогъ!». Потом же гада Игорь с дружиною, куды бы переѣхати полкы Святославлѣ. Рекоша ему дружина: «Княже, потьскы не можешь перелетѣти: се приѣхалъ к тобѣ мужь от Святослава в четвергъ, а самъ идеть в недѣлю ис Кыева, то како можеши, княже, постигнути?». Игореви же бяшеть нелюбо, оже ему тако молвять дружина, хотѣ же ѣхати полемь перекъ, возлѣ Сулу. И бяшеть серенъ великъ, якоже вои не можахуть зрѣима переити днемь до вечера,[33] тѣмь никуда же не може пути собѣ налѣсти ѣхати по Святославѣ.	А князь Ярослав Черниговский не пошел с братом своим Святославом, говоря так: «Я послал к половцам мужа своего Ольстина Олексича и не могу пойти войной на своего мужа»; этим и оправдался перед братом своим Святославом. Игорь же отвечал Святославову мужу: «Не дай Бог отказаться от похода на поганых: поганые всем нам общий враг!» Потом стал совещаться Игорь с дружиной: каким путем поехать, чтобы соединиться с полками Святослава. Отвечала ему дружина: «Князь наш, не сможешь ты перелететь, как птица: вот приехал к тебе муж от Святослава в четверг, а сам он идет из Киева в воскресенье, то как же ты сможешь, князь, догнать его?» Игорю не по душе пришлись эти слова дружины, хотел он ехать по степи прямиком, по берегу Сулы. Но была распутица, так что войско за целый день не смогло бы преодолеть и поля от края и до края, поэтому Игорь и не мог выступить со Святославом.
Тоѣ же веснѣ князь Святославъ посла Романа Нездиловича с берендичи на поганѣѣ половцѣ. Божиею помочью взяша вежѣ половецькѣи, много полона и коний, мѣсяца априля въ 21, на самый Великъ день[34]. Тогда же Святославъ князь иде въ вятичѣ хъ Корачеву[35] орудѣй дѣля своихъ.	А на ту же весну князь Святослав послал Романа Нездиловича с берендеями на поганых половцев. С Божьей помощью захватили вежи половецкие, много пленных и коней, двадцать первого апреля, на самый Великий день. В ту пору князь Святослав отправился по своим делам в землю вятичей, к Корачеву.
