СЛОВО О ПЛЪКУ ИГОРЕВѢ, ИГОРЯ, СЫНА СВЯТЪСЛАВЛЯ, ВНУКА ОЛЬГОВА[1]	СЛОВО О ПОХОДЕ ИГОРЕВОМ, ИГОРЯ, СЫНА СВЯТОСЛАВОВА, ВНУКА ОЛЕГОВА
Не лѣпо ли ны бяшетъ, братие, начяти старыми словесы трудныхъ повѣстий о пълку Игоревѣ, Игоря Святъславлича? Начати же ся тъй пѣсни по былинамь сего времени, а не по замышлению Бояню!	Не пристало ли нам, братья, начать старыми словами ратных повестей о походе Игоревом, Игоря Святославича? Начаться же этой песне по былям нашего времени, а не по обычаю Боянову!
Боянъ[2] бо вѣщий, аще кому хотяше пѣснь творити, то растѣкашется мыслию по древу, сѣрымъ вълкомъ по земли, шизымъ орломъ подъ облакы, помняшеть бо, рече, първыхъ временъ усобицѣ. Тогда пущашеть 10 соколовь на стадо лебедѣй, которыи дотечаше, та преди пѣснь пояше старому Ярославу[3] храброму Мстиславу, иже зарѣза Редедю[4] предъ пълкы касожьскыми, красному Романови Святъславличю.[5] Боянъ же, братие, не 10 соколовь на стадо лебедѣй пущаше, нъ своя вѣщиа пръсты на живая струны въскладаше, они же сами княземъ славу рокотаху.	Ведь Боян вещий, если кому хотел песнь слагать, то растекался мыслию по древу, серым волком по земле, сизым орлом под облаками, ибо помнил он, говорят, прежних времен усобицы. Тогда напускал он десять соколов на стаю лебедей, и какую лебедь настигал сокол — та первой и пела песнь старому Ярославу, храброму Мстиславу, зарезавшему Редедю перед полками касожскими, прекрасному Роману Святославичу. А Боян, братья, не десять соколов на стаю лебедей напускал, но свои вещие персты на живые струны возлагал, а они уже сами славу князьям рокотали.
Почнемъ же, братие, повѣсть сию отъ стараго Владимера[6] до нынѣшняго Игоря, иже истягну умь крѣпостию своею и поостри сердца своего мужествомъ, наплънився ратнаго духа, наведе своя храбрыя плъкы на землю Половѣцькую за землю Руськую,	Начнем же, братья, повесть эту от старого Владимира до нынешнего Игоря, который обуздал ум своею доблестью и поострил сердца своего мужеством, преисполнившись ратного духа, навел свои храбрые полки на землю Половецкую за землю Русскую.
О Бояне, соловию стараго времени![7] А бы ты сиа плъкы ущекоталъ, скача, славию, по мыслену древу,[8] летая умомъ подъ облакы, свивая славы оба полы сего времени, рища въ тропу Трояню[9] чресъ поля на горы!	О Боян, соловей старого времени! Если бы ты полки эти воспел, скача, соловей, по мысленному древу, взлетая умом под облака, свивая славы вокруг нашего времени, возносясь по тропе Трояновой с полей на горы!
Пѣти было пѣснь Игореви, того внуку:[10] «Не буря соколы занесе чресъ поля широкая — галици стады бѣжать къ Дону Великому». Чи ли въспѣти было, вѣщей Бояне, Велесовь внуче:[11] «Комони ржуть за Сулою[12] — звенить слава вь Кыевѣ!»	Так бы петь песнь Игорю, того внуку: «Не буря соколов занесла через поля широкие — стаи галок несутся к Дону великому». Или так пел бы ты, вещий Боян, внук Белеса: «Кони ржут за Сулой — звенит слава в Киеве!»
Трубы трубять въ Новѣградѣ, стоять стязи въ Путивлѣ,[13] Игорь ждетъ мила брата Всеволода.[14] И рече ему Буй Туръ[15] Всеволодъ: «Одинъ братъ, одинъ свѣтъ свѣтлый — ты, Игорю! Оба есвѣ Святъславличя! Сѣдлай, брате, свои бръзыи комони, а мои ти готови, осѣдлани у Курьска напереди. А мои ти куряни свѣдоми къмети: подъ трубами повити, подъ шеломы възлелѣяны, конець копия въскръмлени; пути имь вѣдоми, яругы имъ знаеми, луци у нихъ напряжени, тули отворени, сабли изъострени. Сами скачють, акы сѣрыи влъци въ полѣ, ищучи себе чти, а князю — славѣ».	Трубы трубят в Новгороде, стоят стяги в Путивле, Игорь ждет милого брата Всеволода. И сказал ему Буй-Тур Всеволод: «Один брат, один свет светлый — ты, Игорь! Оба мы Святославичи! Седлай же, брат, своих борзых коней, а мои готовы, уже оседланы у Курска. А мои куряне бывалые воины: под трубами повиты, под шлемами взлелеяны, с конца копья вскормлены; пути им ведомы, яруги известны, луки у них натянуты, колчаны открыты, сабли наточены. Сами скачут, как серые волки в поле, ища себе чести, а князю — славы».
Тогда Игорь възрѣ на свѣтлое солнце и видѣ отъ него тьмою вся своя воя прикрыты,[16] И рече Игорь къ дружинѣ своей: «Братие и дружино! Луце жъ бы потяту быти, неже полонену быти, а всядемъ, братие, на свои бръзыя комони да позримъ синего Дону». Спала князю умь похоти, и жалость ему знамение заступи искусити Дону Великаго. «Хощу бо, — рече, — копие приломити[17] конець поля Половецкаго; съ вами, русици, хощу главу свою приложити, а любо испити шеломомь Дону».	Тогда Игорь взглянул на светлое солнце и увидел, что от него тенью все его войско прикрыто. И сказал Игорь дружине своей: «Братья и дружина! Лучше убитым быть, чем плененным быть; так сядем, братья, на своих борзых коней да посмотрим на синий Дон». Страсть князю ум охватила, и желание изведать Дона великого заслонило ему предзнаменование. «Хочу, — сказал, — копье преломить на границе поля Половецкого, с вами, русичи, хочу либо голову сложить, либо шлемом испить из Дона».
Тогда въступи Игорь князь въ златъ стремень и поѣха по чистому полю. Солнце ему тъмою путь заступаше, нощь стонущи ему грозою птичь убуди, свистъ звѣринъ въста, збися Дивъ,[18] кличетъ връху древа, велитъ послушати земли незнаемѣ, Влъзѣ, и Поморию, и Посулию, и Сурожу, и Корсуню,[19] и тебѣ, Тьмутороканьскый блъванъ.[20] А половци неготовами дорогами побѣгоша къ Дону Великому: крычатъ телѣгы полунощы, рци, лебеди роспущени.	Тогда вступил Игорь-князь в золотое стремя и поехал по чистому полю. Солнце ему тьмой путь преграждало, ночь стенаниями грозными птиц пробудила, свист звериный поднялся, встрепенулся Див, кличет на вершине дерева, велит прислушаться земле неведомой: Волге, и Поморию, и Посулию, и Сурожу, и Корсуню, и тебе, Тмутараканский идол. А половцы непроторенными дорогами устремились к Дону великому: скрипят телеги в полуночи, словно лебеди встревоженные.
Игорь къ Дону вои ведетъ. Уже бо бѣды его пасетъ птиць по дубию, влъци грозу въсрожатъ по яругамъ, орли клектомъ на кости звѣри зовутъ, лисици брешутъ на чръленыя щиты.[21]	Игорь к Дону войско ведет. Уже гибели его ожидают птицы по дубравам, волки беду будят по яругам, орлы клекотом зверей на кости зовут, лисицы брешут на червленые щиты.
О Руская земле! Уже за шеломянемъ еси!	О Русская земля! Уже за холмом ты!
Длъго ночь мрькнетъ. Заря свѣтъ запала, мъгла поля покрыла, щекотъ славий успе, говоръ галичь убудися. Русичи великая поля чрьлеными щиты прегородиша, ищучи себѣ чти, а князю — славы.	Долго темная ночь длится. Заря свет зажгла, туман поля покрыл, щекот соловьиный затих, галичий говор пробудился. Русичи широкие поля червлеными щитами перегородили, ища себе чести, а князю — славы.
