ПОУЧЕНЬЕ	ПОУЧЕНИЕ
Азъ худый дѣдомъ своимъ Ярославомъ, благословленымъ, славнымъ, нареченый въ крещении Василий, русьскымь именемь Володимиръ,[1] отцемь възлюбленымь и матерью своею Мьномахы... и хрестьяных людий дѣля, колико бо сблюдъ по милости своей и по отни молитвѣ от всѣх бѣдъ! Сѣдя на санех,[2] помыслих в души своей и похвалих Бога, иже мя сихъ дневъ грѣшнаго допровади. Да дѣти мои, или инъ кто,[3] слышавъ сю грамотицю, не посмѣйтеся, но емуже люба дѣтий моихъ, а приметь è в сердце свое, и не лѣнитися начнеть, такоже и тружатися.	Я, худой, дедом своим Ярославом, благословенным, славным, нареченный в крещении Василием, русским именем Владимир, отцом возлюбленным и матерью своею из рода Мономахов... и христианских ради людей, ибо сколько их соблюл по милости своей и по отцовской молитве от всех бед! Сидя на санях, помыслил я в душе своей и воздал хвалу Богу, который меня до этих дней, грешного, сохранил. Дети мои или иной кто, слушая эту грамотку, не посмейтесь, но кому из детей моих она будет люба, пусть примет ее в сердце свое и не станет лениться, а будет трудиться.
Первое, Бога дѣля и душа своея, страх имѣйте Божий в сердци своемь и милостыню творя неоскудну, то бо есть начатокъ всякому добру. Аще ли кому не люба грамотиця си, а не поохритаються, но тако се рекуть: на далечи пути, да на санех сѣдя, безлѣпицю си молвилъ.	Прежде всего, Бога ради и души своей, страх имейте Божий в сердце своем и милостыню подавайте нескудную, это ведь начало всякого добра. Если же кому не люба грамотка эта, то пусть не посмеются, а так скажут: на дальнем пути, да на санях сидя, безлепицу молвил.
Усрѣтоша бо мя слы от братья моея[4] на Волзѣ, рѣша: «Потъснися к нам, да выженемъ Ростиславича[5] и волость ихъ отъимем; оже ли не поидеши с нами, то мы собѣ будем, а ты собѣ». И рѣхъ: «Аще вы ся и гнѣваете, не могу вы я ити, ни креста переступити».	Ибо встретили меня послы от братьев моих на Волге и сказали: «Поспеши к нам, и выгоним Ростиславичей, и волость их отнимем; если же не пойдешь с нами, то мы — сами по себе будем, а ты — сам по себе». И ответил я: «Хоть вы и гневаетесь, не могу я ни с вами пойти, ни крестоцелование преступить».
И отрядивъ ̀я, вземъ Псалтырю, в печали разгнухъ я́, и то ми ся выня: «Вскую печалуеши, душе? Вскую смущаеши мя?»[6] и прочая. И потомь собрах словца си любая, и складохъ по ряду, и написах. Аще вы послѣдняя не люба, а передняя приимайте.	И, отпустив их, взял Псалтырь, в печали разогнул ее, и вот что мне вынулось: «О чем печалишься, душа моя? Зачем смущаешь меня?» — и прочее. И потом собрал я эти полюбившиеся слова и расположил их по порядку и написал. Если вам последние не понравятся, начальные хоть возьмите.
«Вскую печална еси, душе моя? Вскую смущаеши мя? Уповай на Бога, яко исповѣмся ему».[7] «Не ревнуй лукавнующимъ, ни завиди творящимъ безаконье, зане лукавнующии потребятся, терпящии же Господа, — ти обладають землею».[8] И еще мало: «И не будеть грѣшника; взищеть мѣста своего, и не обрящеть. Кротции же наслѣдять землю, насладяться на множьствѣ мира. Назираеть грѣшный праведнаго, и поскрегчеть на нь зубы своими; Господь же посмѣется ему и прозрить, яко придеть день его.	«Зачем печалишься, душа моя? Зачем смущаешь меня? Уповай на Бога, ибо верю в него». «Не соревнуйся с лукавыми, не завидуй творящим беззаконие, ибо лукавые будут истреблены, послушные же Господу будут владеть землей». И еще немного: «И не будет грешника; посмотришь на место его и не найдешь его. Кроткие же унаследуют землю и многим насладятся миром. Злоумышляет грешный против праведного и скрежещет на него зубами своими; Господь же посмеется над ним, ибо видит, что настанет день его.
Оружья извлекоша грѣшьници, напряже лукъ свой истрѣляти нища и убога, заклати правыя сердцемь. Оружье ихъ внидеть в сердця ихъ, и луци ихъ скрушатся. Луче есть праведнику малое, паче богатства грѣшных многа. Яко мышца грѣшных скрушится, утвержаеть же праведныя Господь. Яко се грѣшници погыбнут; праведныя же милуя и даеть. Яко благословящии его наслѣдят землю, кленущии же его потребятся. От Господа стопы человѣку исправятся. Егда ся падеть, и не разбьеться, яко Господь подъемлеть руку его. Унъ бѣх, и сстарѣхся, и не видѣхъ праведника оставлена, ни сѣмени его просяща хлѣба. Весь день милует и в заимъ даеть праведный, и племя его благословлено будет. Уклонися от зла, створи добро, взищи мира и пожени, и живи в вѣкы вѣка».[9]	Оружие извлекли грешники, натягивают лук свой, чтобы пронзить нищего и убогого, заклать правых сердцем. Оружие их пронзит сердца их, и луки их сокрушатся. Лучше праведнику малое, нежели многие богатства грешным. Ибо сила грешных сокрушится, праведных же укрепляет Господь. Как грешники погибнут, — праведных же милует и одаривает. Ибо благословляющие его наследуют землю, клянущие же его истребятся. Господом стопы человека направляются. Когда он упадет, то не разобьется, ибо Господь поддерживает руку его. Молод был и состарился, и не видел праведника покинутым, ни потомков его просящими хлеба. Всякий день милостыню творит праведник и взаймы дает, и племя его благословенно будет. Уклонись от зла, сотвори добро, найди мир и отгони зло, и живи во веки веков».
«Внегда стати человѣкомъ, убо живы пожерли ны быша; внегда прогнѣватися ярости его на ны, убо вода бы ны потопила».[10]	«Когда восстали бы люди, то живыми пожрали бы нас; когда прогневалась бы на нас ярость его, то воды бы потопили нас».
«Помилуй мя, Боже, яко попра мя человѣкъ, весь день боряся, стужи ми. Попраша мя врази мои, яко мнози борющиися со мною свыше».[11] «Возвеселится праведник, и егда видить месть; руцѣ свои умыеть в крови грѣшника. И рече убо человѣкъ: аще есть плодъ праведника, и есть убо Богъ судяй земли».[12] «Измий мя от врагъ моихъ, Боже, и от встающих на мя отьими мя. Избави мя от творящих безаконье, и от мужа крови спаси мя; яко се уловиша душю мою».[13] «И яко гнѣвъ въ ярости его, и животъ в воли его; вечеръ водворится плачь, а заутра радость».[14] «Яко лучьши милость твоя, паче живота моего, и устнѣ мои похвалита тя. Тако благословю тя в животѣ моемь, и о имени твоемь въздѣю руцѣ мои»[15]. «Покры мя от соньма лукаваго и от множьства дѣлающих неправду».[16] «Възвеселитеся вси праведнии сердцемь. Благословлю Господа на всяко время, воину хвала его»,[17] и прочая.	«Помилуй меня, Боже, ибо попрал меня человек; всякий день нападая, теснит меня. Попрали меня враги мои, ибо много восстающих на меня свыше». «Возвеселится праведник и, когда увидит отмщение, руки омоет свои в крови грешника. И скажет человек: “Если есть награда праведнику, значит есть Бог, творящий суд на земле”». «Освободи меня от врагов моих, Боже, и от восстающих на меня защити меня. Избавь меня от творящих беззаконие и от мужа крови спаси меня, ибо уже уловили душу мою». «Ибо гнев в мгновение ярости его, а вся жизнь в воле его: вечером водворится плач, а наутро радость». «Ибо милость твоя лучше, чем жизнь моя, и уста мои да восхвалят тебя. Так благословлю тебя при жизни моей и во имя твое воздену руки мои». «Укрой меня от сборища лукавых и от множества делающих неправду». «Возвеселитесь все праведные сердцем. Благословлю Господа во всякое время, непрестанна хвала ему», и прочее.
Якоже бо Василий учаше,[18] собрав ту уноша: душа чисты, нескверньни, телеси худу, кротку бесѣду и в мѣру слово Господне: «Яди и питью бесъ плища велика быти, при старых молчати, премудрыхъ слушати, старѣйшимъ покарятися, с точными и меншиими любовь имѣти; без луки бесѣдующе, а много разумѣти; не сверѣповати словомь, ни хулити бесѣдою, не обило смѣятися, срамлятися старѣйших, к женам нелѣпымъ не бесѣдовати, долу очи имѣти, а душю горѣ, пребѣгати; не стрѣкати учить легкых власти, ни в кую же имѣти, еже от всѣх честь. Аще ли кто васъ можеть инѣмъ услѣти, от Бога мьзды да чаеть и вѣчных благъ насладится». «О Владычице Богородице! Отъими от убогаго сердца моего гордость и буесть, да не възношюся суетою мира сего» в пустошнѣмь семь житьи.	Ибо как Василий учил, собрав юношей: иметь душу чистую и непорочную, тело худое, беседу кроткую и соблюдать слово Господне: «Есть и пить без шума великого, при старых молчать, премудрых слушать, старшим покоряться, с равными и младшими любовь иметь, без лукавства беседуя, а побольше разуметь; не свиреповать словом, не хулить в беседе, не смеяться много, стыдиться старших, с нелепыми женщинами не беседовать, глаза держать книзу, а душу ввысь, избегать суеты; не уклоняться учить увлекающихся властью, ни во что ставить всеобщий почет. Если кто из вас может другим принести пользу, от Бога на воздаяние пусть надеется и вечных благ насладится». «О владычица Богородица! Отними от сердца моего бедного гордость и дерзость, чтобы не величался я суетою мира сего» в ничтожной этой жизни.
Научися, вѣрный человѣче, быти благочестию дѣлатель, научися, по евангельскому словеси, «очима управленье, языку удержанье, уму смѣренье, тѣлу порабощенье, гнѣву погубленье, помыслъ чистъ имѣти, понужаяся на добрая дѣла, Господа ради; лишаемъ — не мьсти, ненавидимъ — люби, гонимъ — терпи, хулимъ — моли, умертви грѣхъ». «Избавите обидима, судите сиротѣ, оправдайте вдовицю. Придѣте, да сожжемъся, глаголеть Господь. Аще будут грѣси ваши яко оброщени, яко снѣгь обѣлю я»,[19] и прочее. «Восияеть весна постная и цвѣтъ покаянья, очистимъ собе, братья, от всякоя крови плотьскыя и душевныя. Свѣтодавцю вопьюще рцѣмъ: “Слава тобѣ, Человѣколюбче!”»	Научись, верующий человек, быть благочестию свершителем, научись, по евангельскому слову, «очам управлению, языка воздержанию, ума смирению, тела подчинению, гнева подавлению, иметь помыслы чистые, побуждая себя на добрые дела, Господа ради; лишаемый — не мсти, ненавидимый — люби, гонимый — терпи, хулимый — молчи, умертви грех». Избавляйте обижаемого, давайте суд сироте, оправдывайте вдовицу. Приходите да соединимся, — говорит Господь. — Если будут грехи ваши как обагренные, — как снег обелю их», и прочее. «Воссияет весна поста и цветок покаяния; очистим себя, братья, от всякой крови телесной и душевной. Взывая к Светодавцу, скажем: “Слава тебе, Человеколюбец!”»
