ПРАВДА РОСЬКАЯ	РУССКАЯ ПРАВДА
1. Убьеть муж мужа,[1] то мьстить брату брата, или сынови отца, любо отцю сына, или братучаду, любо сестрину сынови; аще не будеть кто мьстя, то 40 гривенъ за голову;[2] аще будеть русинъ,[3] любо гридинъ,[4] любо купчина, любо ябетникъ,[5] любо мечникъ,[6] аще изъгои[7] будеть, любо словенинъ, то 40 гривенъ положити за нь.	1. Если убьет человек человека, то мстить брату за брата, или сыну за отца, или отцу за сына, или сыну брата, или сыну сестры; если кто не будет мстить, то князю 40 гривен за убитого; если это будет русин, или гридин, или купец, или ябетник, или мечник, или изгой, или словении, то назначить за него 40 гривен.
2. Или будеть кровавъ или синь надъраженъ, то не искати ему видока человѣку тому; аще не будеть на немъ знамениа никоторагоже, то ли приидеть видокъ; аще ли не можеть, ту тому конець; оже ли себе не можеть мьстити, то взяти ему за обиду 3 гривнѣ, а лѣтцю мъзда.[8]	2. Или кто будет избит до крови или до синяков, то не искать этому человеку свидетеля; если на нем не будет никакого признака ударов, то пусть придет на суд свидетель; если же не сможет прийти, то тому делу конец; если кто за себя не может мстить, то взять за него князю за обиду 3 гривны и оплату врачу.
3. Аще ли кто кого ударить батогомъ, любо жердью, любо пястью, или чашею, или рогомъ, или тылеснию,[9] то 12 гривнѣ; аще сего не постигнуть, то платити ему, то ту конець.	3. Если кто ударит кого палкой, или жердью, или кулаком, или чашей, или рогом, или обухом, то платить 12 гривен; если этого виновного не настигнут для немедленного отмщения, то ему платить, а тому делу конец.
4. Аще утнеть мечемъ, а не вынемъ его, любо рукоятью, то 12 гривнѣ за обиду.	4. Если кто ударит мечом, не вынув его из ножен, или рукоятью, то 12 гривен за обиду.
5. Оже ли утнеть руку, и отпадеть рука любо усохнеть, то 40 гривенъ.	5. Если же ударит мечом по руке и рука отвалится или усохнет, то 40 гривен.
6. Аще будеть нога цѣла или начьнеть храмати, тогда чада смирять.[10]	6. Если после удара по ноге будет нога цела или ударенный начнет хромать, тогда детей удерживать от мщения.
7. Аще ли персть утнеть которыи любо, 3 гривны за обиду.	7. Если же по пальцу ударит какому-либо, то 3 гривны за обиду.
8. А во усѣ 12 гривнѣ, а въ бородѣ 12 гривнѣ.	8. А за ус 12 гривен и за бороду 12 гривен.
9. Оже ли кто вынезь мечь, а не тнеть, то тъи гривну положить.	9. Если кто вынет меч, а не ударит, то тот платит гривну.
10. Аще ли ринеть мужь мужа любо от себе любо к собѣ, 3 гривнѣ, а видока два выведеть; или будеть варягъ[11] или колбягъ,[12] то на роту.[13]	10. Если человек толкнет человека от себя или к себе, то 3 гривны, и пусть пострадавший приведет на суд двух свидетелей; если пострадавший варяг или колбяг, то пусть сам клянется.
11. Аще ли челядинъ[14] съкрыется любо у варяга, любо у кольбяга,[15] а его за три дни не выведуть, а познають и въ третий день, то изымати ему свои челядинъ, а 3 гривнѣ за обиду.	11. Если челядин скроется или у варяга, или у колбяга, и его в течение трех дней не выведут, но обнаружат его хотя бы на третий день, то взять ему <господину> своего челядина, а 3 гривны за обиду.
12. Аще кто поѣдеть на чюжемъ конѣ, не прошавъ его, то положити 3 гривнѣ.	12. Если кто поедет на чужом коне без спроса, то платить 3 гривны штрафа.
