СУД ЯРОСЛАВЛЬ ВОЛОДИМѢРИЧЬ.	СУД ЯРОСЛАВА ВЛАДИМИРОВИЧА.
ПРАВДА РУСЬСКАЯ[1]	РУССКАЯ ПРАВДА.
1. Аже убиеть мужь мужа, то мьстити брату брата, любо отцю, ли сыну, любо братучадо, ли братню сынови;[2] аще ли не будеть кто его мьстя, то положити за голову 80 гривенъ, аще будеть княжь мужь или тиуна княжа; аще ли будеть русинъ, или гридь, любо купець, любо тивунъ боярескъ, любо мечникъ, любо изгои, ли словѣнинъ, то 40 гривенъ положити за нь.	1. Если убьет муж мужа, то мстить брату за брата, или отцу, или сыну, или двоюродному брату, или сыну брата; если никто <из них> не будет за него мстить, то назначить 80 гривен за убитого, если он княжий муж или княжеский тиун; если он будет русин, или гридин, или купец, или боярский тиун, или мечник, или изгой, или Словении, то назначить за него 40 гривен.
2. По Ярославѣ же паки совкупившеся сынове его, Изяславъ, Святославъ, Всеволодъ, и мужи ихъ, Коснячько, Перенѣгь, Никифоръ, и отложиша убиение за голову, но кунами ся выкупати; а ино все, якоже Ярославъ судилъ, такоже и сынове его уставиша.	2. По смерти Ярослава, снова собравшись, сыновья его, Изяслав, Святослав, Всеволод, и мужи их, Коснячко, Перенег, Никифор, отменили месть за убитого, заменив ее выкупом деньгами; а все остальное — как Ярослав судил, так и сыновья его установили.
3. О убииствѣ. Аже кто убиеть княжа мужа в разбои, а головника не ищють, то виревную платити, въ чьеи же верви голова лежить, то 80 гривенъ, паки ли людинъ, то 40 гривенъ.	3. Об убийстве. Если кто убьет княжего мужа в разбое, а убийцу не ищут, то виру в 80 гривен платить верви, где лежит убитый, если же простой свободный человек, то 40 гривен.
4. Которая ли вервь начнеть платити дикую виру,[3] колико лѣтъ заплатить ту виру, зане же безъ головника имъ платити.	4. Если которая-либо вервь будет платить дикую виру, пусть выплачивает ту виру столько времени, сколько будет платить, потому что они платят без преступника.
5. Будеть ли головникъ ихъ въ верви, то зане к нимъ прикладываеть, того же дѣля имъ помагати головнику; любо си дикую виру, но сплатити имъ во обчи 40 гривенъ, а головничьство самому головнику, а въ 40 гривенъ ему заплатити ис дружины свою часть.	5. Если преступник является членом их верви, то в этом случае помогать <общинникам> преступнику, поскольку ранее он им помогал <выплачивать виру>; если же <выплачивать> дикую виру, то платить им всем вместе 40 гривен, а за преступление платить самому преступнику, а из совместной платы 40 гривен ему заплатить свою часть.
6. Но оже будеть убилъ или въ свадѣ или в пиру явлено, то тако ему платити по верви нынѣ, иже ся прикладываеть вирою.	6. Но если <кто> убил открыто, во время ссоры или на пиру, то теперь ему так платить вместе с вервью, поскольку и он вкладывается в виру.
7. Оже станеть без вины на разбои. Будеть ли сталъ на разбои безъ всякоя свады, то за разбоиника люди не платять, но выдадять и всего съ женою и с дѣтми на потокъ и на разграбление.	7. Если <кто> свершит убийство без причины. <Если кто> свершил убийство без всякой ссоры, то люди за убийцу не платят, но пусть выдадут его самого с женою и детьми на изгнание и на разграбление.
8. Аже кто не вложить в дикую виру, тому людье не помагають, но самъ платить.	8. Если кто не вкладывается в дикую виру, тому люди не помогают, но он платит сам.
9. А се покони вирнии были при Ярославѣ: вирнику взяти 7 вѣдеръ солоду на недѣлю, же овенъ любо полоть, любо 2 ногатѣ; а в середу куна оже сыръ, а в пятницю тако же, а куръ по двою ему на день, а хлѣбовъ 7 на недѣлю, а пшена 7 уборковъ,[4] а гороху 7 уборковъ, а соли 7 голважень;[5] то то вирнику со отрокомь; а кони 4, конемъ на ротъ сути овесъ; вирнику 8 гривенъ, а 10 кунъ перекладная,[6] а метелнику 12 вѣкшии, а съсадная гривна.[7]	9. А это вирные постановления, которые были при Ярославе: вирнику взять 7 ведер солода на неделю, а также барана или полтуши говядины, или 2 ногаты; а в среду куна или сыр, в пятницу столько же, две куры ему на день, а хлебов 7 на неделю, а пшена 7 уборков, а гороха 7 уборков, а соли 7 голважень; все это — вирнику с отроком, а коней содержат четырех, на каждого коня давать овес: вирнику — 8 гривен, а 10 кун — перекладная <подать>, а метельнику — 12 векш, и еще ссадная гривна.
