 	ГРАМОТЫ XI — РУБЕЖА XII—XIII вв.
 	Грамота № 246
От Жировита къ Стоянови. Како ты у мене и чьстьное дрѣво възъмъ и вевериць ми не присълещи, то девятое лето. А не присълещи ми полу пяты гривьны, а хоцу ти вырути въ тя луцьшаго новъгорожянина. Посъли же добръмь.	От Жировита к Стояну. С тех пор, как ты поклялся мне на кресте и не присылаешь мне денег, идет девятый год. Если же не пришлешь мне четырех с половиной гривен, то я собираюсь за твою вину конфисковать товар у знатнейшего новгородца. Пошли же добром.
 	Грамота № 247
...поклѣпаеть[1] сего 40-ми рѣзанами. А замъке кѣле, а двьри кѣлѣ, а господарь въ не тяжѣ не дѣе. А продаи клеветьника того. А у сего смьръда възяти епископу ... смьрьди побити клеветьника ...	...обвиняет этого человека в ущербе на 40 резан. А замок цел и двери целы, и хозяин по этому поводу иска не предъявляет. Так что накажи штрафом того обвинителя. А у этого смерда епископу надлежит взять <такую-то сумму. Могут ведь> смерды избить обвинителя...
 	Грамота № 527
...Ати буде воина, а на мя почъну, а молитеся Гостятою къ кънязю.	...Если будет война и на меня нападут, то проситесь через Гостяту к князю.
 	Грамота № 590
Литва въстала на корѣлу.	Литва пошла войной на карел.
 	Грамота №607/562
Жизнобуде погублене у Сычевиць новъгородьске смьрде. А за ними и задьниця.	Жизнобуд, новгородский смерд, убит Сычевичами. А в их руках и наследство.
 	Грамота № 238
... Несъдицеви полъ пятѣ рѣзанѣ, а мънѣ еси въдале дъвѣ кунѣ. Цьто же за мъною твориши за мъною осмь кунъ и гривьна? Поиди же въ городъ — могу[2] ся съ тобою яти на воду.	...<Ты дал> Несдичу четыре с половиной резаны, а мне ты дал две куны. Что же ты утверждаешь, будто за мной восемь кун и гривна? Пойди же в город — могу вызваться с тобой на испытание водой.
 	Грамота № 109
Грамота отъ Жизномира къ Микуле. Купилъ еси робу Плъскове, а ныне мя въ томъ яла кънягыни. А ныне ся дружина по мя поручила. А ныне ка посъли къ тому мужеви грамоту: е ли у него роба?[3] А се ти хочу, коне купивъ[4] и къняжъ мужъ въсадивъ, та на съводы. А ты атче еси не възалъ кунъ техъ, а не емли ничъто же у него.	Грамота от Жизномира к Микуле. Ты купил рабыню во Пскове, а теперь меня за это схватила княгиня. Но за меня поручилась дружина. А ты теперь пошли к тому мужу грамоту: есть ли у него рабыня? А я вот хочу, коня купив и посадив княжеского мужа, идти на очные ставки. А ты, если не взял тех денег, не бери у него ничего.
 	Грамота № 605
Покланяние от Ефрѣма къ брату моему Исухиѣ. Не распрашавъ розгнѣвася: мене игумене не пустиле. А я прашалъся, нъ посълалъ съ Асафъмь къ посадьнику меду дѣля. А пришьла есвѣ, оли звонили. А чему ся гнѣваеши? А я вьсьгда у тебе. А соромъ ми, оже ми лихо мълвляше. И покланяю ти ся, братьче мои, то си хотя мълви. Ты еси мои, а я твои.	Поклон от Ефрема брату моему Исухии. Ты разгневался, не расспросив: меня игумен не пустил. А я отпрашивался, но он послал меня с Асафом к посаднику за медом. А пришли мы двое, когда звонили. Зачем же ты гневаешься? Ведь я всегда у тебя. А зазорно мне, что ты злое мне говорил. И <все же> кланяюсь тебе, братец мой, хоть ты и такое говори. Ты мой, а я твой.
 	Грамота № 424
Грамота отъ Гюрьгя къ отьчеви и къ матери. Продавъше дворъ, идите же сѣмо — Смольньску ли Кыеву ли: дешеве ти хлебе. Али не идете, а присълите[5] ми грамотичу, сторови ли есте.	Грамота от Гюргия к отцу и к матери. Продавши двор, идите сюда — в Смоленск или в Киев: дешев хлеб. Если же не пойдете, то пришлите мне грамотку, как вы живы-здоровы.
 	Грамота № 644
От Нѣжеке ко Завиду. Чему не восолеши, чето ти есемо водала ковати? Я дала тобѣ, а Нѣжятѣ не дала. Али чимо есемо виновата, а восоли отроко.[6] А водале ми еси хамече; а чи за то не даси, а восоли ми вѣсть. А не сестра я вамо,[7] оже тако дѣлаете, не исправить ми ничето же! А во три колотокѣ вокуе; то ти 4 золотьникѣ во кольцю тию.[8]	От Нежки к Завиду. Почему ты не присылаешь то, что я тебе дала выковать? Я дала тебе, а не Нежате. Если я что-нибудь должна, то посылай судебного исполнителя. Ты дал мне полотнишко; если поэтому не отдаешь, то извести меня. А тогда я вам не сестра, если вы так поступаете, не исполняете для меня ничего! Так вкуй же в три колтка; его четыре золотника в тех двух кольцах.
 	Грамота № 487
... вьляшь дѣяти, а ты чьрьсо силу дѣяшь. Ажь бы ты добромь[9] жила братом...[10] Поживи жь съ Гурьгьмь жь со Лукою. А возывахо тя сьстрою ньвѣстокою.[11]	...<такой-то вот как тебе> велел поступать, а ты действовала сверх своих возможностей. Если бы ты добром жила с братом* ...Поживи же с Гургием и с Лукой. А ведь я называл тебя сестрою, невесткою.
 	Грамота № 421
От Братятѣ къ Нежилу. Поиди, сыну,[12] домовь — свободне еси. Паки ли не идеши, а послу на тя ябьтьникъ. Я заплатиль 20 гривьнъ, а ты свободнь.	От Братяты к Нежилу. Иди, сын, домой — ты свободен. Если же не пойдешь, я пошлю за тобой судебного исполнителя. Я заплатил 20 гривен, и ты свободен.
 	Грамота № 422
От Мѣстять ко Гавошь и ко Содиль. Попытаита ми коня. А Мѣстята ся вама покланя. Аже ва цьто надобь, а солита ко монь, а грамоту водаита. А у Павла скота попросита. А Мьстя...	От Местяты к Гавше и Сдиле. Поищите для меня коня. А Местята вам кланяется. Если вам что нужно, то шлите ко мне, а <посланному> дайте грамоту. А денег попросите у Павла. А Местята...
 	Грамота № 745
От Павъла из Ростова къ Братонѣжъку. Аже то лодия присълана кыяниня, обѣсти ю кънязу, дати не буде присловъя ни тобѣ, ни Павълови.	От Павла из Ростова к Братонежку. Если ладья киевлянина прислана, извести об этом князя, чтобы не было дурной славы ни тебе, ни Павлу.
 	Грамота № 2 из Звенигорода Галицкого
От Говѣновое ко Нѣжьньцю. Дае 6 десято[13] куно лодиеную. Повѣдало Говѣно, ида на судо,[14] а попъ пьсалъ. А дае Луцѣ. Оли не водаси, то я у конязя, поема отроко, прижь[15] приедю[16] — а во боле ти вонидь.	От Говеновой <вдовы> к Неженцу. Дай шестьдесят кун за ладью. Так сказал Говен, идя на суд Божий, а поп записывал. Дай их Луке. Если же не дашь, то я возьму у князя отрока и приеду — это тебе дороже обойдется.
 	Грамота № 723
Покланяние ото[17] Душиль ко Нясть. Шьль ти есьмъ Кучькъву.[18] Ажь ти хътя жьдати али[19] ти нь хътя жьдати,[20] а у Фьдокь, обруць ее водадя, а свое възьму.	Поклон от Душилы Нясте. Я пошел в Кучков. Хотят ли ждать или не хотят, а я у Федки, отдав ей браслет, свое возьму.
 	Грамота № 724
