ИЗ ЛАВРЕНТЬЕВСКОЙ ЛЕТОПИСИ	ИЗ ЛАВРЕНТЬЕВСКОЙ ЛЕТОПИСИ
В лѣто 6731. Всеволодъ Гюргевич иде из Новагорода къ отцю своему в Володимерь, новгородци же пояша к собѣ Ярослава Всеволодича ис Переяславля княжитъ.	В год 6731 (1223). Всеволод Юрьевич ушел из Новгорода к отцу своему во Владимир, а новгородцы призвали к себе на княжение Ярослава Всеволодовича из Переяславля.
Того же лѣта явишася языци, их же никто же добрѣ ясно не вѣсть, кто суть, и отколѣ изидоша, и что языкъ ихъ, и которого племени суть, и что вѣра ихъ. И зовуть я татары, а инии глаголють таумены, а друзии печенѣзи. Ини глаголють, яко се суть, о них же Мефодий, Патомьскый епископъ,[1] свѣдѣтельствует, яко си суть ишли ис пустыня Етриевьскы, суще межю встоком и сѣвером. Тако бо Мефодий рече: «Яко къ скончанью временъ явитися тѣм, яже загна Гедеонъ,[2] и поплѣнять вся землю от встока до Ефранта, и от Тигръ до Понетьскаго моря,[3] кромѣ Ефиопья». Богъ же единъ вѣсть ихъ, кто суть и отколѣ изидоша, премудрии мужи вѣдять я добрѣ, кто книгы разумно умѣеть. Мы же их не вѣмы, кто суть, но сдѣ вписахом о них памати ради русскых князий, бѣды, яже бысть от них.	В тот же год пришли народы, о которых никто точно не знает, кто они, и откуда появились, и каков их язык, и какого они племени, и какой веры. И называют их татары, а иные говорят — таурмены, а другие — печенеги. Некоторые говорят, что это те народы, о которых Мефодий, епископ Патарский, сообщает, что они вышли из пустыни Етриевской, находящейся между востоком и севером. Ибо Мефодий говорит так: «К скончанию времен появятся те, которых загнал Гедеон, и пленят всю землю от востока до Евфрата, и от Тигра до Понтийского моря, кроме Эфиопии». Один Бог знает, кто они и откуда пришли, о них хорошо известно премудрым людям, которые разбираются в книгах. Мы же не знаем, кто они такие, а написали здесь о них на память о русских князьях и о бедах, которые были от этих народов.
И мы слышахом, яко многы страны поплѣниша: Ясы, Обезы, Касогы,[4] и половець безбожных множество избиша, а инѣхъ загнаша. И тако измроша убиваеми гнѣвом Божьимь и пречистыя его Матере. Много бо зла створиша ти оканнии половци Руской земли. Того ради всемилостивый Богъ хотя погубити и наказати безбожныя сыны Измаиловы, куманы,[5] яко да отмьстять кровь христьяньску; еже и бысть над ними безаконьными. Проидоша бо ти таурмени всю страну Куманьску и придоша близь Руси, иде же зовется валъ Половечьскый. И слышавше я русстии князи Мстиславъ Кыевьскый, и Мстиславъ Торопичскый[6] и Черниговьскый, и прочии князи здумаша ити на ня, мняще яко ти поидут к ним. И послашася в Володимерь к великому князю Юргю, сыну Всеволожю, прося помочи у него. Он же посла к ним благочестиваго князя Василька, сыновца своего, Костянтиновича с ростовци, и не утяну Василко прити к ним в Русь.[7] А князи русстии идоша, и бишася с ними, и побѣжени быша от них, и мало ихъ избы от смерти; их же остави судъ жити, то ти убѣжаша, а прочии избьени быша. Мьстиславъ старый добрый князь ту убьенъ бысть, и другый Мстиславъ, и инѣх князий 7 избьено бысть; а боляръ и прочих вой много множество. Глаголют бо тако, яко кыянъ одинѣх изгыбло на полку том 10 тысячь.	И мы слышали, что татары многие народы пленили: ясов, обезов, касогов, и избили множество безбожных половцев, а других прогнали. И так погибли половцы, убиваемые гневом Бога и пречистой его Матери. Ведь эти окаянные половцы сотворили много зла Русской земле. Поэтому всемилостивый Бог хотел погубить и наказать безбожных сыновей Измаила, куманов, чтобы отомстить за христианскую кровь; что и случилось с ними, беззаконными. Эти таурмены прошли всю страну куманов и подошли близко к Руси на место, которое называется Половецкий вал. Узнав об этом, русские князья Мстислав Киевский, и Мстислав Торопецкий, и Мстислав Черниговский, и прочие князья решили идти против татар, полагая, что татары нападут на них. И послали князья во Владимир к великому князю Юрию, сыну Всеволода, прося у него помощи. И он послал к ним племянника своего благочестивого князя Василька Константиновича, с ростовцами, но Василек не успел прийти к ним на Русь. А русские князья выступили в поход, и сражались с татарами, и были побеждены ими, и немногие только избегли смерти; кому выпал жребий остаться в живых, те убежали, а прочие перебиты были. Тут убит был старый добрый князь Мстислав, и другой Мстислав, и еще семь князей погибло, а бояр и простых воинов многое множество. Говорят, что только одних киевлян в этой битве погибло десять тысяч.
И бысть плачь и туга в Руси и по всей земли слышавшим сию бѣду. Се же ся зло сключи месяца мая въ 30,[8] на память святаго мученика Еремиа. Се же слышавъ Василко приключьшееся в Руси, възвратися от Чернигова, схраненъ Богомь, и силою креста честнаго, и молитвою отца своего Костянтина, и стрыя своего Георгия. И вниде в свой Ростовъ славя Бога и святую Богородицю. <...>	Плакали и горевали на Руси и по всей земле слышавшие о той беде. А случилось это зло месяца мая в тридцатый день, на память святого мученика Ермия. Услышав о том, что случилось на Руси, Василько повернул назад от Чернигова, сохраненный Богом, и силой креста честного, и молитвой отца своего Константина, и дяди своего Георгия. И вернулся он в город Ростов, славя Бога и святую Богородицу. <...>
В лѣто 6745. Благовѣрный епископъ Митрофанъ постави кивотъ в святѣй Богородицѣ зборнѣй над трапезою и украси его златомь и сребром при благовѣрнѣмь князи велицѣмь Георгии. Того же лѣта исписа притворъ святое Богородици.	В год 6745 (1237). При благоверном великом князе Георгии благоверный епископ Митрофан поставил над трапезой в святом соборном храме Богородицы киот и украсил его золотом и серебром. В тот же год был расписан придел церкви святой Богородицы.
Того же лѣта на зиму придоша от всточьныѣ страны на Рязаньскую землю лѣсом безбожнии татари, и почаша воевати Рязаньскую землю, и плѣноваху и до Проньска, поплѣнивше Рязань весь, и пожгоша, и князя ихъ убиша. Их же емше овы растинахуть, другыя же стрѣлами растрѣляху в ня, а ини опакы руцѣ связывахуть. Много же святыхъ церкви огневи предаша, и манастырѣ, и села пожгоша, имѣнья не мало обою страну взяша; потом поидоша на Коломну. Тое же зимы поиде Всеволодъ, сынъ Юрьевъ, внук Всеволожь, противу татаром. И сступишася у Коломны, и бысть сѣча велика. И убиша у Всеволода воеводу Еремѣя Глѣбовича и иных мужий много убиша у Всеволода, и прибѣжа Всеволодъ в Володимерь в малѣ дружинѣ. А татарове идоша к Москвѣ. Тое же зимы взяша Москву татарове, и воеводу убиша Филипа Нянка за правовѣрную христьянскую вѣру, а князя Володимера яша руками, сына Юрьева. А люди избиша от старьца и до сущаго младенца, а град и церкви святыя огневи предаша, и манастыри вси и села пожгоша, и много имѣнья въземше, отидоша.	В тот же год зимой пришли из восточных стран на Рязанскую землю лесом безбожные татары, и начали завоевывать Рязанскую землю, и пленили ее до Пронска, и взяли все Рязанское княжество, и сожгли город, и князя их убили. А пленников одних распинали, других — расстреливали стрелами, а иным связывали сзади руки. Много святых церквей предали они огню, и монастыри сожгли, и села, и взяли отовсюду немалую добычу; потом татары пошли к Коломне. В ту же зиму выступил Всеволод, сын Юрия, внук Всеволода, против татар. И встретились они у Коломны, и была битва великая. И убили воеводу Всеволодова Еремея Глебовича, и многих других мужей Всеволода убили, а Всеволод прибежал во Владимир с малой дружиной. А татары пошли к Москве. В ту же зиму взяли татары Москву, и воеводу убили Филиппа Няньку за правоверную христианскую веру, а князя Владимира, сына Юрия, взяли в плен. А людей избили от старца до грудного младенца, а город и церкви святые огню предали, и все монастыри и села сожгли, и, захватив много добра, ушли.
Тое же зимы выѣха Юрьи из Володимеря в малѣ дружинѣ, урядивъ сыны своя в собе мѣсто Всеволода и Мстислава. И ѣха на Волъгу с сыновци своими с Васильком, и со Всеволодом, и с Володимером, и ста на Сити[9] станом, а ждучи к собѣ брата своего Ярослава с полкы и Святослава с дружиною своею. И нача Юрьи князь великый совкупляти воѣ противу татаром, а Жирославу Михайловичю приказа воеводьство в дружинѣ своей.	В ту же зиму выехал Юрий из Владимира с небольшой дружиной, оставив своих сыновей, Всеволода и Мстислава, вместо себя. И поехал он на Волгу с племянниками своими, с Васильком, и со Всеволодом, и с Владимиром, и расположился на реке Сити лагерем, поджидая братьев своих Ярослава с полками и Святослава с дружиной. И начал князь великий Юрий собирать воинов против татар, а Жирослава Михайловича назначил воеводой в своей дружине.
Тое же зимы придоша татарове к Володимерю, месяца февраля въ 3, на память святаго Семеона, во вторник преже мясопуста[10] за неделю. Володимерци затворишася в градѣ, Всеволод же и Мстиславъ бяста, а воевода Петръ Ослядюковичь. Володимерцем не отворящимся, приѣхаша татари к Золотым воротом,[11] водя с собою Володимера Юрьевича, брата Всеволожа и Мстиславля. И начаша просити татарове князя великого Юрья, ест ли в градѣ. Володимерци пустиша по стрѣлѣ на татары, и татарове тако же пустиша по стрѣлѣ на Золотая ворота, и по сем рекоша татарове володимерцем: «Не стрѣляйте!» Они же умолчаша. И приѣхаша близь к воротом, и начаша татарове молвити: «Знаете ли княжича вашего Володимера?» Бѣ бо унылъ лицем. Всеволодъ же и Мстиславъ стояста на Золотых воротѣх и познаста брата своего Володимера. О умиленое видѣнье и слезъ достойно! Всеволодъ и Мстиславъ с дружиною своею и вси гражане плакахуся, зряще Володимера.	В ту же зиму пришли татары к Владимиру, месяца февраля в третий день, на память святого Симеона, во вторник, за неделю до мясопуста. Владимирцы затворились в городе, Всеволод и Мстислав были в нем, а воеводой был Петр Ослядюкович. Увидев, что владимирцы не открывают ворот, подъехали татары к Золотым воротам, ведя с собой Владимира Юрьевича, брата Всеволода и Мстислава. И начали спрашивать татары, есть ли в городе великий князь Юрий. Владимирцы пустили в татар по стреле, и татары также пустили по стреле на Золотые ворота, и затем сказали татары владимирцам: «Не стреляйте!» Те перестали. И подъехали татары близко к воротам, и начали спрашивать: «Узнаете ли княжича вашего Владимира?» И был Владимир печален лицом. Всеволод же и Мстислав стояли на Золотых воротах и узнали брата своего Владимира. О горестное и достойное слез зрелище! Всеволод и Мстислав с дружиной своей и все горожане плакали, глядя на Владимира.
А татарове отшедше от Золотых воротъ, и обьѣхаша весь градъ, и сташа станом пред Золотыми враты на зрѣемѣ — множство вои бе-щислено около всего града. Всеволод же и Мстиславъ сжалистаси брата своего дѣля Володимера и рекоста дружинѣ своей и Петру воеводѣ: «Братья, луче ны есть умрети перед Золотыми враты за святую Богородицю и за правовѣрную вѣру христьяньскую»; и не да воли ихъ быти Петръ Ослядюковичь. И рекоста оба князя: «Си вся наведе на ны Богъ грѣх ради наших»; яко же пророкъ глаголет: «Нѣсть человеку мудрости, ни е мужства, ни есть думы противу Господеви. Яко Господеви годѣ бысть, тако и бысть. Буди имя Господне благословено в вѣкы». Створися велико зло в Суждальской земли, яко же зло не было ни от крещенья, яко же бысть нынѣ; но то оставим.	А татары отошли от Золотых ворот, и объехали весь город, и расположились лагерем на видимом расстоянии перед Золотыми воротами — бесчисленное множество воинов вокруг всего города. Всеволод же и Мстислав пожалели брата своего Владимира и сказали дружине своей и Петру-воеводе: «Братья, лучше нам умереть перед Золотыми воротами за святую Богородицу и за правоверную веру христианскую»; но не разрешил им этого Петр Ослядюкович. И сказали оба князя: «Это все навел на нас Бог за грехи наши», ведь говорит пророк: «Нет у человека мудрости, и нет мужества, и нет разума, чтобы противиться Господу. Как угодно Господу, так и будет. Да будет имя Господа благословенно в веках». Свершилось великое зло в Суздальской земле, и не было такого зла от крещения, какое сейчас произошло; но оставим это.
Татарове станы своѣ урядивъ у города Володимеря, а сами идоша взяша Суждаль, и святу Богородицю разграбиша,[12] и дворъ княжь огнемь пожгоша, и манастырь святаго Дмитрия пожгоша, а прочии разграбиша. А черньци и черници старыя, и попы, и слѣпыя, и хромыя, и слукыя, и трудоватыя, и люди всѣ иссѣкоша, а что чернець уных, и черниць, и поповъ, и попадий, и дьяконы, и жены ихъ, и дчери, и сыны ихъ, то все ведоша в станы своѣ, а сами идоша к Володимерю. В суботу мясопустную почаша наряжати лѣсы,[13] и порокы[14] ставиша до вечера, а на ночь огородиша тыном около всего города Володимеря. В неделю мясопустную по заутрени приступиша к городу, месяца февраля въ 7, на память святаго мученика Феодора Стратилата.	Татары станы свои разбили у города Владимира, а сами пошли и взяли Суздаль, и разграбили церковь святой Богородицы, и двор княжеский огнем сожгли, и монастырь святого Дмитрия сожгли, а другие разграбили. Старых монахов, и монахинь, и попов, и слепых, и хромых, и горбатых, и больных, и всех людей убили, а юных монахов, и монахинь, и попов, и попадей, и дьяконов, и жен их, и дочерей, и сыновей — всех увели в станы свои, а сами пошли к Владимиру. В субботу мясопустную начали татары готовить леса, и пороки устанавливали до вечера, а на ночь поставили ограду вокруг всего города Владимира. В воскресенье мясопустное после заутрени пошли они на приступ к городу, месяца февраля в седьмой день, на память святого мученика Федора Стратилата.
