СЛОВО НОВОСВЯТОЮ МУЧЕНИКУ, МИХАИЛА КНЯЗЯ РУССКАГО[1] И ФЕОДОРА ВОЕВОДЫ ПЕРВАГО ВЪ КНЯЖЕНИИ ЕГО. СЛОЖЕНО ВЪКРАТЦѣ НА ПОХВАЛУ СВЯТЫМА ОТЦЕМЬ АНДРЕЕМ[2]	СЛОВО О НОВОСВЯТЫХ МУЧЕНИКАХ, МИХАИЛЕ, КНЯЗЕ РУССКОМ, И ФЕОДОРЕ, ПЕРВОМ ВОЕВОДЕ В КНЯЖЕСТВЕ ЕГО. СЛОЖЕНО ВКРАТЦЕ НА ПОХВАЛУ ЭТИМ СВЯТЫМ ОТЦОМ АНДРЕЕМ
В лѣто 6746 бысть нахожение поганых татаръ на землю христьянскую гнѣвомь Божиимъ за умножение грѣхъ ради. Овии убо затворяхуся въ градѣхъ, Михаилу же бѣжавшю во Угры, инии же бѣжаша в земли дальнии, инии же крыяхуся в пещерахъ и в пропастех земныхъ. А иже въ градѣхъ затворишася, ти исповѣданиемь и со слезами Богу молящеся, тако от поганыхъ немилостивно избьени быша, а инии же крыяхуся в горахъ и в пещерах и в пропастехъ и в лѣсѣхъ, мало от тѣхъ остася. Тѣх же нѣ по колицѣхъ времянѣхъ осадиша въ градѣх, изочтоша я в число и начаша на них дань имати татарове.	В год 6746 (1238), по гневу Божиему за умножение грехов наших, было нашествие поганых татар на землю христианскую. Тогда одни затворились в городах своих, другие убежали в дальние земли, а иные спрятались в пещерах и расселинах земных. Михаил же бежал в Венгрию. Те, кто затворился в городах, каялись в своих грехах и со слезами молились Богу, и были они погаными безжалостно перебиты, из тех же, кто скрывался в горах, и в пещерах, и в расселинах, и в лесах, мало кто уцелел. И этих через некоторое время татары расселили по городам, переписали их всех и начали с них дань брать.
Слышавше же се иже бяху ся разбѣгли на чюжи земли, и взвратишася князи и вси людие на свои земли, что ихъ избыло ся. Начаша ихъ звати татарове нужею, глаголаще: «Не подобаеть жити на земли канови и Батыевѣ, не поклонившеся има». Мнози бо ѣхаша и поклонишася канови и Батыеви.[3]	Услышав об этом, те, кто разбежался по чужим землям, возвратились снова в земли свои, кто остался в живых, князья и иные люди. И начали татары насильно призывать их, говоря: «Не годится жить на земле хана и Батыя, не поклонившись им». И многие приезжали на поклон к хану и Батыю.
Обычай же имяше канъ и Батый: аще убо приѣдеть кто поклонится ему, не повелѣваше первое привести предъ ся, но приказано бяше волхвомъ вести сквозѣ огнь и поклонитися кусту и идолом. А иже с собою что приношаху дары цесареви, от всего того взимающе волсви, вмѣтахуть первое во огнь, тоже пред цесаря пущахуть самѣхъ и дары. Мнози же князи с бояры своими идяху сквозѣ огнь и покланяхуся солнцю и кусту и идолом славы ради свѣта сего и прашаху кождо ихъ власти. Они же безъ взбранения даяхуть имъ, кто которыя власти хотяше, да прелстятся славою свѣта сего.	И вот какой обычай был у хана и Батыя: когда приедет кто-нибудь на поклон к ним, то не велели сразу приводить такого к себе, но приказано было волхвам, чтобы шел он сначала через огонь и поклонился кусту и идолам. А из всех даров, которые привозили с собой для царя, часть брали волхвы и бросали сначала в огонь, а уже потом к царю допускали и самих пришедших и дары. Многие же князья с боярами своими проходили через огонь и поклонялись солнцу, и кусту, и идолам ради славы мира этого, и просил каждый себе владений. И им невозбранно давались те владения, какие они хотели получить — пусть прельстятся славой мира сего.
Блаженому же князю Михаилу пребывающю в Черниговѣ, видя многи прелщающася славою свѣта сего, посла Богъ благодать и даръ Святаго Духа на нь и вложи ему въ сердце ѣхати предъ цесаря и обличити прелесть его, ею же лстить крестьяны. Блаженый же князь Михаилъ разгорѣвся благодатию Божиею, хотя ѣхати къ Батыеви. И, приѣха къ отцю своему духовному, повѣда ему глаголя: «Хощю ѣхати къ Батыеви». И отвѣща ему отець: «Мнози ѣхавше и створиша волю поганаго, прелстишася славою свѣта сего, идоша сквозѣ огнь и поклонишася кусту и идоломъ, и погубиша душа своя. Но ты, Михаиле, оже хочеши ѣхати, не створи тако: ни иди сквозѣ огнь, ни поклонися кусту, ни идолом ихъ, ни брашна, ни пития ихъ не приими во уста своя. Но исповѣжь вѣру христьянскую, яко не достоить христьяном ничему же кланятися твари, но токмо Господу Богу Исусу Христу». Михаилъ же глагола ему: «Молитвою твоею, отче, яко же Богъ дасть, тако и будет. Азъ быхъ того хотѣлъ кровь свою пролияти за Христа и за вѣру крестьяньскую». Тако же и Феодоръ глаголаше. И глагола отець: «Вы будета в нынешнѣмь вѣцѣ новосвятая мученика на утвержение инѣмъ, аще тако створита».	И вот в то время, когда блаженный князь Михаил находился в Чернигове, Бог, видя, как многие обольщаются славою мира сего, послал на него благодать и дар Святого Духа, и вложил ему в сердце мысль ехать к царю и обличить лживость его, совращающую христиан. Воспылав благодатью Божиею, блаженный князь Михаил решил ехать к Батыю. И, прибыв к отцу своему духовному, поведал он ему, так говоря: «Хочу ехать к Батыю». И отвечал ему духовный отец: «Многие поехавшие исполнили волю поганого, соблазнились славою мира сего,— прошли через огонь, и поклонились кусту и идолам, и погубили души свои. Но ты, Михаил, если хочешь ехать, не поступай так: не иди через огонь, не поклоняйся ни кусту, ни идолам их, ни пищи, ни пития их не бери в уста свои. Твердо стой за веру христианскую, так как не подобает поклоняться христианам ничему сотворенному, а только Господу Богу Иисусу Христу». Михаил же ответил ему: «По молитве твоей, отче, как Бог соизволит, так и будет. Я бы хотел кровь свою пролить за Христа и за веру христианскую». Так же и Феодор сказал. И промолвил отец духовный: «Вы будете в нынешнем веке новосвятыми мучениками на укрепление духа иным, если поступите так».
Михаилъ же и Феодоръ обѣщастася ему се створити, и благословистася у отца своего. Тогда отець дасть има причастие на путь и, благослави я, опусти рекъ: «Богъ да утвердить ваю и послеть вама помощь, за него же тщитася пострадати». Тогда Михаилъ ѣха в домъ свой и възя от имѣния своего еже на потребу на путь.	Михаил же и Феодор пообещали ему так поступить и благословились у духовного отца своего. Тогда он дал им с собою причастие и, благословив их, отпустил, сказав: «Бог да укрепит вас и да пошлет вам свою помощь,— ведь за него вы хотите пострадать». После этого Михаил отправился в дом свой и взял из имения своего все необходимое в дорогу.
Многи же земли преѣхавшю ему и доѣха Батыя. Повѣдаша Батыеви: «Князь великий русский Михаилъ приехалъ поклонится тобѣ». Цесарь же повелѣ призвати волхвы своя. Волхвом же пришедшимъ пред онь, глагола имъ цесарь: «Еже есть по обычаю вашему створите Михаилу князю, потомь приведѣте его предъ мя». Онѣм же шедшимъ к Михаилови и глаголаша ему: «Батый зоветь тя». Он же, поемъ Феодора, и идяше с нимь. И доидоша мѣста, идеже бѣ накладенъ огнь со обѣ странѣ. Мнози же погании идяху сквозѣ огнь, и покланяхуся солнцю и идоломъ. Волсви же хотѣша Михаила вести и Феодора сквозѣ огнь. Михаилъ же и Феодоръ глаголаста имъ: «Недостоить христьяном ходити сквозѣ огнь, ни покланятися, емуже ся сии кланяють. Тако есть вѣра христьянская, не покланятися твари, но покланятися Отцю и Сыну и Святому Духу». Михаилъ же глагола Феодорови: «Луче намъ есть не покланятися, емуже ся си кланяют».	Проехав многие земли, прибыл Михаил к Батыю. Поведали Батыю: «Великий князь русский Михаил приехал поклониться тебе». Царь Батый велел позвать волхвов своих. И когда волхвы пришли к нему, то сказал им царь: «Все, что нужно по вашему обычаю, сотворите и с князем Михаилом, а потом приведите его ко мне». Тогда они, придя к Михаилу, сказали ему: «Батый зовет тебя». Он же, взяв Феодора, пошел вместе с ним. И вот дошли они до того места, где были сложены горящие костры по обеим сторонам пути. И все поганые проходили через огонь и кланялись солнцу и идолам. Волхвы также хотели провести Михаила и Феодора через огонь. Михаил же и Феодор сказали им: «Не подобает христианам проходить через огонь и поклоняться ему, как вы поклоняетесь. Такова вера христианская: не велит поклоняться ничему сотворенному, а велит поклоняться только Отцу и Сыну и Святому Духу». Михаил же сказал Феодору: «Нельзя нам поклоняться тому, чему они поклоняются».
Они же, оставлеше ю на мѣстѣ, идеже бѣста приведена, идоша и повѣдаша цесареви: «Михаилъ повелѣния твоего, цесарю, не слушаеть: сквозѣ огнь не идеть, а богомь твоимъ не кланяеться, глаголеть — недостоить христьяном ходити сквозѣ огнь, ни покланятися твари, солнцю и идолом, но токмо кланятися створшему вся си, Отцю и Сыну и Святому Духу». Цесарь же възъярився велми и посла единого от велможъ своихъ, именем Елдегу, и глагола ему: «Рци Михаилови: “Почто повелѣние мое преобидѣлъ еси — богомь моимъ не поклонился еси? Но отселе едино от двою избери собѣ: или богомь моимъ поклонишися и живъ будеши и княжение приимеши, аще ли не поклонишися богомь, то злою смертью умреши”».	Тогда волхвы, оставив Михаила и Феодора на том месте, куда привели их, пошли и сказали царю: «Михаил повеления твоего, царь, не слушает: через огонь не идет и богам твоим не кланяется, говорит, что не подобает христианам проходить через огонь и поклоняться ничему сотворенному, солнцу и идолам, а следует поклоняться только создавшему все это — Отцу и Сыну и Святому Духу». Царь сильно разъярился, и послал одного из вельмож своих, по имени Елдега, и сказал ему: «Так передай Михаилу: “Как посмел повелением моим пренебречь — почему богам моим не поклонился? Теперь одно из двух выбирай: или богам моим поклонишься и тогда останешься жив и получишь княжение, или же, если не поклонишься богам моим, то злой смертью умрешь”».
Елдега же приѣхавъ, рече ему: «Тако глаголеть цесарь: “Почто повеление мое преобидѣл еси — богомь моимъ не поклонился еси? И отселе едино от двою избери собѣ: или богомь моимь поклонишися и живъ будеши и княжение свое все приимеши, аще ли не поклонишися богомь, то злою смертью умреши”». Тогда отвѣща Михаилъ: «Тобѣ, цесарю, кланяюся понеже Богъ поручил ти есть царство свѣта сего. А емуже велиши поклонитися,— не поклонюся». Рече ему Елдега: «Михаиле, вѣдая буди — мертвъ еси!» Михаилъ же отвѣща ему: «Азъ того хощю, еже ми за Христа моего пострадати и за православную вѣру пролияти кровь свою».	Елдега, приехав к Михаилу, сказал ему: «Так говорит царь: “Как посмел повелением моим пренебречь — почему богам моим не поклонился? Теперь одно из двух выбирай: или богам моим поклонишься и тогда останешься жив и получишь княжение, или же, если не поклонишься богам моим, то злой смертью умрешь”». Тогда ответил Михаил: «Тебе, царь, кланяюсь, потому что Бог поручил тебе царствовать на этом свете. А тому, чему велишь поклониться,— не поклонюсь». И сказал ему Елдега: «Михаил, знай — ты мертв!» Михаил же ответил ему: «Я того и хочу, чтобы мне за Христа моего пострадать и за православную веру пролить кровь свою».
Тогда глагола ему внукъ его Борисъ, князь ростовский, с плачемъ многимъ: «Господине отче, поклонися!» Тако же и бояре глаголаху: «Вси за тя приимемъ опитемью[4] со всею властию своею». Тогда глагола имъ Михаилъ: «Не хощю токмо именемь христьянъ зватися, а дѣла поганых творити». Егда же глаголаше к нимъ Михаилъ, Феодоръ глаголаше в собѣ: «Еда како ослабѣеть Михаилъ молениемь сихъ, помянувъ женьскую любовь и дѣтей ласкание, и послушаеть сихъ». Тогда, помянувъ Феодоръ слово отца своего, и рече: «Михаиле, помниши ли слово отца наю, иже учаше насъ от святаго Еуангелиа? Рече Господь: “Иже хощеть душю свою спасти, погубить ю, а иже погубить душу свою мене ради, то спасеть ю”. И паки рече: “Кая полза человеку, аще и всего мира царство прииметь, а душю свою погубить? И что дасть человекъ измѣну на души своей? Иже постыдиться мене и словесъ моихъ в родѣ семь исповѣсть мя пред человеки, исповѣмь и и азъ пред Отцемь моимь, иже есть на небесехъ. Аще ли кто отвержеться мене пред человеки, отвергуся и азъ его пред Отцемь моимь небеснымъ”».	Тогда стал говорить ему, горько плача, внук его Борис, князь ростовский: «Господин и отец, поклонись!» Так же и бояре стали говорить: «Все за тебя и со всеми людьми своими примем епитимью». И ответил им Михаил: «Не хочу только по имени христианином называться, а поступать как поганый». И когда говорил с ними Михаил, то Феодор думал про себя: «Ведь может поддаться Михаил мольбам их, вспомнив любовь жены своей и ласки детей своих, и послушается их». Тогда Феодор, вспомнив о наставлении отца своего духовного, сказал: «Михайло, помнишь ли поучение духовного отца нашего, который учил нас от святого Евангелия? Сказал Господь: “Тот, кто хочет душу свою спасти, тот погубит ее, а кто погубит душу свою ради меня, тот спасет ее”. И еще сказал Господь: “Какая польза человеку, если он приобретет царство мира всего, а душу свою погубит? И какой выкуп даст человек за душу свою? Кто будет чтить меня и слова мои в роде сем и признает меня пред людьми, того признаю и я пред Отцом моим небесным. От того же, кто отречется от меня пред людьми, отрекусь и я пред Отцом моим небесным”».
Се же глаголющю Феодору къ Михаилови, они же начаша прилѣжно молити и, глаголюще да послушаеть ихъ. Михаилъ же глаголаше к ним: «Не слушаю васъ, ни души своея погублю». Тогда Михаилъ соима коць свой и верже к нимъ, глаголя: «Приимѣте славу свѣта сего, ея же вы хощете!» Слышав же се Елдега, яко сии не увѣщаша его, тогда ѣха о цесареви и повѣда ему, еже рече Михаилъ.	И когда говорил так Феодор Михаилу, то Борис и бояре начали еще настойчивее уговаривать и просить его, чтобы послушался их. Михаил же ответил им: «Не внемлю я вам и душу свою не погублю». После этого Михаил сорвал с себя княжеский плащ свой и швырнул его в ноги к ним, говоря: «Возьмите славу света этого, к которой вы стремитесь!» Когда услыхал Елдега, что не уговорили Михаила, то поехал к царю и поведал ему речи Михаила.
Бяше же на мѣстѣ томь множство христьянъ и поганыхъ, и слышала, еже отвѣща Михаилъ ко цесареви. Тогда Михаилъ и Феодоръ почаста пѣти собѣ, и по отпѣтии взяста причастие, еже има далъ бѣ отець ею. И се глаголаху предстоящеи: «Михаиле, се убийци ѣдутъ от цесаря убиватъ ваю, поклонитася и жива будета!» Михаилъ же и Феодоръ, яко единеми усты, отвѣщаста: «Не кланяевѣся, а васъ не слушаевѣ славы ради свѣта сего». И почаста пѣти: «Мученици твои, Господи, не отвергошася тобе, и паки страдавше тобе ради, Христе» и прочая.	На месте на том было много христиан и поганых, и все слыхали, что ответил Михаил царю. После этого Михаил и Феодор стали отпевать себя и, свершив отпевание, приняли причастие, которое дал им с собою духовный отец их. И вот говорят окружающие: «Михаил, вот уже убийцы едут от царя, чтобы убить вас, поклонитесь и живы останетесь!» Михаил же и Феодор, как одними устами, ответили: «Не поклонимся и вас, думающих только о славе света этого, не послушаем». И начали они петь: «Мученики твои, Господи, не отреклись от тебя, и тебя ради, Христос, страдают», и остальную часть псалма пропели.
Тогда убийци приѣхаша, скочиша с конь и, яша Михаила и растягоша за руцѣ, почаша бити руками по сердцю. По семь повергоша его ниць на землю и бияхуть и´ пятами. Сему же надолзѣ бывшю. Нѣкто, бывъ преже христьянъ и послѣди же отвержеся вѣры христьянския и бысть поганъ законопреступник, именемъ Доманъ, сий, отрѣза главу святому мученику Михаилу и отверже ю проч. Потомъ глаголаша Феодорови: «Ты поклонися богомь нашимъ и приимеши все княжение князя своего». И глагола имъ Феодоръ: «Княжения не хочю, а богомь вашимъ не кланяюся, но хощю пострадати за Христа, яко же и князь мой!» Тогда начаша Феодора мучити, яко же и преже Михаила, послѣ же честную его главу урѣзаша.	И тут приехали убийцы, соскочили с коней и, схватив Михаила и растянув ему руки, начали бить его кулаками по сердцу. После этого повергли ниц на землю и стали избивать его ногами. Так продолжалось долго. И вот некто, бывший прежде христианином, а потом отвергшийся христианской веры и ставший поганым законопреступником, по имени Доман, отрезал голову святому мученику Михаилу и отшвырнул ее прочь. После этого сказали Феодору: «Если ты поклонишься богам нашим, то получишь все княжество князя своего». И ответил Феодор: «Княжения не хочу и богам вашим не поклонюсь, а хочу пострадать за Христа, как и князь мой!» Тогда начали мучить Феодора, как прежде Михаила, после чего отрезали честную его голову.
И тако, благодаряще Бога, пострадаша и предаша святѣи свои души в руцѣ Божии, новосвятая мученика. Святѣи же телеси ею поверженѣ быстѣ псомъ на снѣдь. На многи же дни лежащимъ, Божиею благодатию сблюденѣ быстѣ невреженѣ.	И так, восхваляя Бога, пострадали и предали святые свои души в руки Божий оба новосвятых мученика. Святые же тела их повержены были псам на съедение. И много дней лежали, однако Божиею благодатью оставались невредимыми.
Человеколюбець же Господь милосердый Богъ нашь, прославляя святыя своя угодники, пострадавшая за нь и за православную вѣру, столпъ огненъ от земля до небесе явися над телесема ею, сияющь пресвѣтлыми лучами на утвержение христьяномъ, а на обличение тѣмъ, иже оставиша Бога и покланяются твари, и на устрашение поганым. Святѣи же и честнѣи телеси ею нѣкими христьяны богобоязнивыми схраненѣ быстѣ.	Человеколюбивый же Господь, милосердый Бог наш, прославляя своих святых угодников, пострадавших за него и за православную веру, явил столп огненный от земли до небес над телами их, сияющий пресветлыми лучами на утверждение христиан, и на устрашение поганых, и на обличение тех, кто оставил Бога и поклоняется сотворенному человеком. Святые же и честные тела их некими богобоязливыми христианами сохранены были.
Бысть же убиение ею в лѣто 6753, месяца септября, въ 20 день. Ею же молитвами достойнии будемъ вси обрѣсти милость и отпущение грѣховъ от Господа Исуса Христа в нынешний вѣкъ и в будущий, славяще вкупѣ Отца и Сына и Святаго Духа, нынѣ и присно и в веки вѣкомъ. Аминь.	Случилось же убиение их в год 6753 (1245), месяца сентября в двадцатый день. Их же молитвами достойны все будем обрести милость и отпущение грехов от Господа Иисуса Христа в этой жизни и в будущей, прославляя вкупе Отца и Сына и Святого Духа, ныне, и присно, и во веки веков. Аминь.
