КНИГА ГЛАГОЛЕМАЯ ЛѣТОПИСЕЦ,ПИСАНА В ЛѣТО 6646 СЕНТЯБРЯ В 5 ДЕНЬ	КНИГА, НАЗЫВАЕМАЯ ЛЕТОПИСЕЦ, НАПИСАНА В ГОД 6646 (1237) СЕНТЯБРЯ В ПЯТЫЙ ДЕНЬ
Бѣ сей святый благовѣрный и великий князь Георгий Всеволодович[1] сын святому благовѣрному и великому князю Всеволоду, а во святом крещении наречен бысть Гавриил, псковский чудотворец.[2] Сей святый благовѣрный и великий князь Всеволод сын бѣ великому князю Мстиславу,[3] внук же святому и равно апостолом великому князю Владимиру Киевскому,[4] самодержьцу Российския земли. Святый же благовѣрный и великий князь Георгий Всеволодович — правнук же святому благовѣрному и великому князю Владимиру.	Был сей святой благоверный и великий князь Георгий Всеволодович сыном святого благоверного и великого князя Всеволода, псковского чудотворца, что во святом крещении наречен был Гавриилом. Сей святой благоверный и великий князь Всеволод приходился сыном великому князю Мстиславу, внуком же святому и равноапостольному великому князю Владимиру Киевскому, самодержцу Русской земли. Святой же благоверный и великий князь Георгий Всеволодович — правнук святого благоверного и великого князя Владимира.
Святый же благовѣрный княз Всеволод первие княжи в Великом Новѣ-градѣ. Егда же бысть время, возропташа новгородцы на нь и рѣша сами собою промежь себе, яко князь наш, не крещен сый, владѣет нами крещеными. Совѣт же сотвориша, и приидоша к нему, и изгнаша вон. Он же прииде в Киев к дяде своему Ярополку[5] и сказа ему все, за что изгнан бысть новогородцы. Он же, слышав от него, и въда ему Вышград. И ту молим бысть от псковичь княжити у них, и прииде к ним во град Псков. И по времени восприя благодать святаго крещения, и наречен бысть во святом крещении Гавриил. И пребысть в велком пощении и воздержании, и пребысть лѣто едино в вѣчный покой отиде, в лѣта 6671-го, месяца февраля в 11 день. И погребен бысть сыном его благовѣрным и великим князем Георгием. И быша чудеса многа от святых мощей его в славу и хвалу Христу Богу нашему и всѣм святым. Аминь.	А святой благоверный князь Всеволод сначала княжил в Великом Новгороде. Но в свое время возроптали новгородцы на него и решили сами промеж себя: князь наш, некрещеный, владеет нами, крещеными. И сотворили совет, и пришли к нему, и изгнали вон. Он же пришел в Киев к дяде своему Ярополку и сказал ему все, за что изгнан был новгородцами. А тот, узнав об этом, дал ему <во владение> Вышгород. И здесь уже умоляли его псковичи княжить у них, и он пришел к ним в город Псков. И по некотором времени воспринял благодать святого крещения, и наречен был во святом крещении Гавриилом. И пребывал в великом пощении и воздержании, а спустя один год в вечный покой отошел, 6671 (1163) года, месяца февраля в одиннадцатый день. И погребен был сыном своим, благоверным и великим князем Георгием. И были чудеса многие от святых мощей его во славу и хвалу Христу, Богу нашему, и всем святым. Аминь.
Сей святый благовѣрный князь Георгий Всеволодович по преставлении отца своего благовѣрного князя Всеволода, нареченного во святом крещении Гавриила, пребысть на мѣстѣ его по умолении псковичь. Бысть же сие в лѣта 6671. Изволи святый благовѣрный и великий князь Георгий Всеволодовичь ехать к благовѣрному князю Михаилу Черниговскому.[6] Егда же прииде к благовѣрному князю Михаилу и благовѣрный и великий князь Георгий, и поклонися благовѣрному князю Михаилу, и рече ему: «Здрав буди, благовѣрный и великий княже Михаиле, на многая лѣта, сияя благочестием и вѣрою Христовою, во всем уподобися прадѣдом нашим и прабабѣ нашей, благовѣрной великой княгинѣ, христолюбивой Олгѣ,[7] иже обрѣте себе избранного и честного: бисера Христа, и вѣру его святых пророк же и апостол, и святых отец, и благовѣрному христолюбивому царю и равноапостольному прадѣду нашему, царю Константину».[8] И рече ему благовѣрный князь Михаил: «Здрав же буди и ты, благовѣрный и великий княже Георгий Всеволодовичь, прииде ко мнѣ з благим совѣтом и независтным оком. Что бо приобрѣте от зависти дѣд наших Святополк, иже восхотѣ владѣти и уби братей своих благовѣрных и великих князей. Бориса повелѣ копием пробости, Глѣба же ножем заклати[9] в лѣта княжения их. Обольсти бо их лестию и советом сатаниным, яко мати при смерти есть наша.[10] Они же, яко незлобивые агньцы, уподобишася благому пастырю своему Христу, не сопротив сташа врагу своему брату. Господь же прослави святыя угодники своя, благовѣрных князей и великих чудотворец Бориса и Глѣба».	Сей святой благоверный князь Георгий Всеволодович по преставлении отца своего благоверного князя Всеволода, нареченного во святом крещении Гавриилом, остался на месте его по мольбе псковичей. Было же это в 6671 (1163) году. Изволил святой благоверный и великий князь Георгий Всеволодович поехать к благоверному князю Михаилу Черниговскому. И когда пришел к благоверному князю Михаилу благоверный и великий князь Георгий, то поклонился благоверному князю Михаилу и сказал ему: «Здрав будь, благоверный и великий князь Михаил, на многие лета, сияя благочестием и верою Христовою, во всем ты уподобился прадедам нашим и прабабке нашей, благоверной великой княгине, христолюбивой Ольге, которая обрела самое дорогое и великое сокровище — Христа и веру его святых пророков и апостолов и святых отцов, и благоверному христолюбивому царю и равноапостольному прадеду нашему царю Константину». И сказал ему благоверный князь Михаил: «Здрав будь и ты, благоверный и великий князь Георгий Всеволодович, пришел ты ко мне с благим советом и независтливым оком. Ведь что приобрел из-за зависти к дедам нашим Святополк, который возжелал власти и убил братьев своих, благоверных и великих князей! Бориса повелел копьем пронзить, Глеба же ножом заколоть, в годы княженья их. Ведь обманул он их льстиво по наущению сатаны, будто мать их при смерти. Они же, как незлобивые агнцы, уподобились благому пастырю своему Христу, не стали супротив брата, врага своего. Господь же прославил святых угодников своих, благоверных князей и великих чудотворцев Бориса и Глеба».
И даша цѣлование промеж себѣ сами, и праздноваша духовно и веселивъшеся, и рече благовѣрный и великий князь Георгий благовѣрному князю Михаилу: «Даждь ми грамоту в Русии нашей по градом церкви Божия строити и грады». И рече ему благовѣрный и великий князь Михаил: «Якоже хощеши, тако и сотвори церкви Божия в славу и хвалу пресвятому имени Божию. За сие доброе твое изволение мзду приимеши в день пришествия Христова».	И князь Георгий с князем Михаилом дали друг другу целование, и праздновали духовно, и веселилися; и сказал благоверный и великий князь Георгий благоверному князю Михаилу: «Дай мне грамоту, на Руси нашей по укрепленным местам церкви Божий строить и города». И сказал ему благоверный и великий князь Михаил: «Как хочешь, так и созидай церкви Божий во славу и хвалу пресвятому имени Божию. За такое доброе твое соизволение награду примешь в день пришествия Христова».
И пироваше много дний. И егда изволи благовѣрный князь Георгий ехати во свое мѣсто, тогда благовѣрный князь Михаил повеле грамоту написати и свою руку приложи к грамотѣ. И егда благовѣрный князь Георгий поеха во свое отечество и град, тода благовѣрный князь Михаил с великою честию отпущяше его и провожаше. И егда бысть оба князи на пути, и поклонистася друг другу на пути, и вда ему благовѣрный князь Михаил грамоту. Благовѣрный же князь Георгий взя грамоту у благовѣрнаго князя Михаила, и поклонися ему, тогда и той противу ему.	И пировали они много дней. И когда пожелал благоверный князь Георгий вернуться в свой удел, тогда благоверный князь Михаил повелел грамоту написать и свою руку приложил к грамоте. И когда благоверный князь Георгий поехал во свое отечество и град, тогда благоверный князь Михаил с великою честью отпускал его и провожал. И когда были уже оба князя в пути и поклонились друг другу на прощание, то благоверный князь Михаил дал грамоту. Благоверный же князь Георгий взял грамоту у благоверного князя Михаила и поклонился ему, а тогда и тот в ответ ему.
И поеха по градом, и егда приеха в Нов-град, повелѣ строити церьковь во имя Успения пресвятыя владычицы нашей Богородицы и приснодевы Марии в лѣто 6672. Из Нова-града поехав во Псков, град свой, идѣже преставися отец его, благовѣрный князь Всеволод, а во святом крещении Гавриил, новогородский и псковский чудотворец. И поеха изо Пскова града к Москве, и повелѣ строити церковь во имя Успения пресвятыя владычицы нашея Богородицы и приснодевы Марии в лѣто 6672. И поеха с Москвы в Переславль Залѣской, а с Переславля града в Ростов град. В то же время бысть в Ростовѣ градѣ великий князь Андрей Боголюбский.[11] И повелѣ благовѣрный князь Георгий во градѣ том Ростовѣ церковь строити во имя Успения пресвятыя владычицы нашея Богородицы и присно девы Марии в лѣто 6672, месяца маия, в 23 день. Во дни великого князя Георгия начаша рвы копати на основание церкви, обретоша же мощи лежаще святителя Христова Леонтия епископа ростовского, чюдотворца,[12] иже обрати в Ростовѣ градѣ люди в вѣру христову и крести их от мала и до велика. И возрадовашеся радостию великою благовѣрный князь Георгий и прослави Бога, давшаго ему таковое многоцѣнное сокровище, и отпѣ молебен. И повелѣ ехати Андрею, князю Боголюбскому, во град Муром и строити во градѣ Муромѣ церковь во имя Успения пресвятыя владычицы нашея Богородицы и присно девы Марии.	И поехал <князь Георгий> по городам, и когда приехал в Новгород, повелел строить церковь во имя Успения пресвятой владычицы нашей Богородицы и приснодевы Марии в год 6672 (1164). Из Новгорода поехал во Псков, город свой, где преставился отец его, благоверный князь Всеволод, а во святом крещении Гавриил, новгородский и псковский чудотворец. И поехал из Пскова-града к Москве, и повелел строить церковь во имя Успения пресвятой владычицы нашей Богородицы и приснодевы Марии в год 6672 (1164). И поехал из Москвы в Переславль-Залесский, а из Переславля-града в Ростов-град. В то самое время был в граде Ростове великий князь Андрей Боголюбский. И повелел благоверный князь Георгий в граде том Ростове церковь строить во имя Успения пресвятой владычицы нашей Богородицы и приснодевы Марии в год 6672 (1164), месяца мая в двадцать третий день. Во дни великого князя Георгия начали рвы копать под основание церкви и обрели погребенные мощи святителя Христова Леонтия, епископа ростовского, чудотворца, который обратил в Ростове-граде людей в веру Христову и крестил их от мала и до велика. И возрадовался радостью великою благоверный князь Георгий, и прославил Бога, давшего ему такое многоценное сокровище, и отпел молебен. И повелел ехать Андрею, князю Боголюбскому, в город Муром и строить в городе Муроме церковь во имя Успения пресвятой владычицы нашей Богородицы и приснодевы Марии.
Сам же благовѣрный и великий князь поеха из града Ростова, и приеха во град Ярославль, что на брегу Волги рѣки стоит. И сѣде в струг, и поеха на низ по Волгѣ, и приста к брегу в Малый Китежь, что на брегу Волги стоит, и построи его. И начаша его молити вси людие града того благовѣрнаго князя Георгия, чтобы образ чудотворный иконы пресвятыя Богородицы Феодоровския внес во град к ним. Он же по прошению исполни. Начат пѣти молебен пресвятѣй Богородицѣ. Егда сконча, восхотѣ образ той нести во град, образ же не пойде с мѣста того, нимало не поступи. Видѣв же благовѣрный князь Георгий изволение пресвятыя Богородицы, гдѣ сама изволила мѣсто себѣ, повелѣ построити на том мѣстѣ монастырь во имя пресвятыя Богородицы Феодоровския.	Сам же благоверный и великий князь поехал из города Ростова и приехал в город Ярославль, что на берегу Волги-реки стоит. И сел в струг, и поехал вниз по Волге, и пристал к берегу у Малого Китежа, что на берегу Волги стоит, и отстроил его. И начали молить все люди того города благоверного князя Георгия, чтобы образ чудотворный иконы пресвятой Богородицы Феодоровской перенес к ним в город. И он сделал, как его просили. Начали петь молебен пресвятой Богородице. И когда кончили и хотели образ тот нести в город, то образ не сошел с места того, нисколько не сдвинулся. Благоверный же князь Георгий, увидав произволение пресвятой Богородицы, избравшей здесь место себе, повелел построить на том месте монастырь во имя пресвятой Богородицы Феодоровской.
Сам же благовѣрный князь Георгий поеха с мѣста того сухим путем, а не по водѣ. И перееха рѣку Узолу, и вторую рѣку перееха именем Санду, и третию рѣку перееха именем Саногту, и четвертую перееха именем Керженец, и приеха к езеру именем Свѣтлояру. И видѣ мѣсто то велми прекрасно и многолюдно. И по умолению их повелѣ благовѣрный князь Георгий Всеволодович строити на брегу езера того Свѣтлояра град именем Болший Китеж, бѣ бо мѣсто то велми прекрасно, и на другом же брезѣ езера того роща дубовая.	Сам же благоверный князь Георгий поехал с места того сухим путем, а не по воде. И переехал реку Узолу, и вторую реку, именем Санду, и третью реку переехал, именем Саногту, и четвертую переехал, именем Керженец, и приехал к озеру, именем Светлояру. И увидел место то, необычайно прекрасное и многолюдное. И по умолению его жителей повелел благоверный князь Георгий Всеволодович строить на берегу озера того Светлояра город, именем Большой Китеж, ибо место то было необычайно прекрасно, а на другом берегу озера того была дубовая роща.
Совѣтом же и велѣнием благовѣрного и великаго князя Георгия Всеволодовича начаша рвы копати на утверждение мѣста. И начаша класти церковь во имя Воздвижения честнаго креста Господня, вторую же церковь — во имя Успения пресвятыя владычицы нашея Богородицы и присно девы Марии и третию церковь — во имя Благовещения пресвятыя владычицы нашея Богородицы и присно девы Марии. В тѣх же церквах повелѣ предѣлы дѣлати иных праздником Господьскым и Богородичным. Тако же и образы всѣм святым написати повелѣ.	И советом и повелением благоверного и великого князя Георгия Всеволодовича начали рвы копать для укрепления места этого. И начали строить церковь во имя Воздвижения честного креста Господня, а вторую церковь — во имя Успения пресвятой владычицы нашей Богородицы и приснодевы Марии, и третью церковь — во имя Благовещения пресвятой владычицы нашей Богородицы и приснодевы Марии. В тех же церквах повелел <князь Георгий> приделы сделать и в честь других праздников Господских и Богородичных. Так же и образы всех святых написать повелел.
И град той Больший Китежь на сто сажен в длину и в ширину, и бысть первая мера мало мѣсто. Повелѣ же благовѣрный князь Георгий еще на другое сто сажен прибавити в длину, и бысть мѣра граду тому в длину — два ста сажен, а в ширину — на сто сажен. И начаша же град той каменный строити в лѣто 6673, месяца маия в 1 день, на память святаго пророка Иеремия и иже с ним. И строитца град той три лѣта, и построиша его в лѣто 6676, месяца сентября в 30 день, на память святаго священномученика Григория Великия Армении.	И город тот, Большой Китеж, на сто сажен в длину и ширину был, и по первой мере было мало места. И повелел благоверный князь Георгий еще сто сажен прибавить в длину, и стала мера граду тому в длину — двести сажен, а в ширину — сто сажен. А начали город тот каменный строить в год 6673 (1165), месяца мая в первый день, на память святого пророка Иеремии и иже с ним. И строился город тот три года, и построили его в год 6676 (1167), месяца сентября в тридцатый день, на память святого священномученика Григория, епископа Великой Армении.
И иже поехаша в Малый Китежь, что на брегу Волги стоит, благовѣрный князь Георгий Всеволодович. И по строении градов тѣх, Малаго и Большаго, повелѣ перемеряти поприща,[13] коль много межь собою расстояния имѣют. И повелѣнием благовѣрнаго князя Георгия намѣряша сто поприщь. Благовѣрный же князь Георгий Всеволодовичь, слышав сия, воздаде славу Богу и пресвятѣй Богородице, повелѣ же и лѣтописец книгу написати. Сам же благовѣрный и великий князь Георгий Всеволодовичь повелѣ всю службу отслужити. И молебен пропѣв пресвятѣй Богородицѣ Феодоровской, и по совершении службы тоя поеха, всѣд в струг свой, и отплы в путь свой в прежде реченный свой Псков град. Людие проводиша его с великою честию, и цѣловаша его, отпустиша.	И поехал в Малый Китеж, что на берегу Волги стоит, благоверный князь Георгий Всеволодович. И по построении городов тех, Малого и Большого, повелел он измерить в поприщах, сколь много они расстояния меж собою имеют. И по повелению благоверного князя Георгия намерили сто поприщ. И благоверный князь Георгий Всеволодович, узнав сие, воздал славу Богу и пресвятой Богородице и повелел также и книгу летописец написать. А сам благоверный и великий князь Георгий Всеволодович повелел всю службу отслужить. И молебен пропев пресвятой Богородице Феодоровской, по совершении службы той отплыл в струге своем в путь свой в прежде упомянутый город свой Псков. Народ провожал его с великой честью, и, попрощавшись с ним, отпустили.
Благовѣрный же князь Георгий Всеволодовичь егда приеха во град свой, прежереченный Псков, и многи дни пребысть в молитвѣ, в постѣ же и бо бдѣнии, и много милостыни раздая нищим, и вдовицам, и сиротам. По построении же градов тех поживе лѣт 75.	Благоверный же князь Георгий Всеволодович, приехав в город свой, прежде названный Псков, много дней пребывал в молитве, и в посте, и в бдении, и раздал много милостыни нищим, и вдовицам, и сиротам. А по построении городов тех прожил семьдесят пять лет.
Быст в лѣто 6747. Попущением Божиим грѣх ради наших прииде на Русь воевати нечестивый и безбожный царь Батый. И разоряше грады и огнем пожигаше, церкви Божия такоже разоряше и огнем пожигаше же. Людей же мечю предаваше, а младых дѣтей ножем закалаше, младых дѣв блудом оскверняше. И бысть плач велий.	Было же в год 6747 (1239). Попущением Божиим, грехов ради наших, пришел на Русь войной нечестивый и безбожный царь Батый. И разорял он города и огнем сжигал их, и церкви Божий тоже разорял и огнем сжигал. Людей же мечу предавал, а малых детей ножом закалывал, младых дев блудом осквернял. И был плач великий.
Благовѣрный же князь Георгий Всеволодовичь, сия слышав, плакаше горко. И помолився ко Господу и пресвятѣй Божией Матери, собра вои своя, поиде противу нечестиваго царя Батыя с вои своими. И егда сразишася вои обои вкупе, бысть сѣча велия и кровопролитие.	Благоверный же князь Георгий Всеволодович, слышав обо всем этом, плакал горько. И, помолившись ко Господу и пресвятой Божией Матери, собрал свое воинство, и пошел против нечестивого царя Батыя с воинами своими. И когда вступили в сражение оба воинства, была сеча великая и кровопролитие.
Тогда у благовѣрнаго князя Георгия и бысть мало вой, побѣже благовѣрный князь Георгий от нечестиваго царя Батыя вниз по Волге в Малый Китеж. И много брася благовѣрный князь Георгий с нечестивым царем Батыем, не пущая его во град свой.	В ту пору у благоверного князя Георгия было мало воинов, и побежал благоверный князь Георгий от нечестивого царя Батыя вниз по Волге в Малый Китеж. И долго сражался благоверный князь Георгий с нечестивым царем Батыем, не пуская его в город свой.
