ПОВѣСТИ О ЖИТИИ И О ХРАБРОСТИ БЛАГОВѣРНАГО И ВЕЛИКАГО КНЯЗЯ АЛЕКСАНДРА	ПОВЕСТЬ О ЖИТИИ И О ХРАБРОСТИ БЛАГОВЕРНОГО И ВЕЛИКОГО КНЯЗЯ АЛЕКСАНДРА
О Господѣ нашемь Исусе Христѣ, Сыне Божии.	Во имя Господа нашего Иисуса Христа, Сына Божия.
Азъ худый и многогрѣшный, малосъмысля, покушаюся писати житие святаго князя Александра, сына Ярославля, а внука Всеволожа.[1] Понеже слышах от отець своихъ и самовидець есмь възраста его, радъ бых исповѣдалъ святое и честное и славное житие его. Но яко же Приточникъ[2] рече: «Въ злохытру душю не внидеть прѣмудрость: на вышнихъ бо краих есть, посреди стезь стояше, при вратѣх же силных присѣдит». Аще и грубъ есмь умомъ, но молитвою святыа Богородица и поспѣшениемь святаго князя Александра начатокъ положю.	Я, худой и многогрешный, недалекий умом, осмеливаюсь описать житие святого князя Александра, сына Ярославова, внука Всеволодова. Поскольку слышал я от отцов своих и сам был свидетелем зрелого возраста его, то рад был поведать о святом, и честном, и славном житии его. Но как сказал Приточник: «В лукавую душу не войдет премудрость: ибо на возвышенных местах пребывает она, посреди дорог стоит, при вратах людей знатных останавливается». Хотя и прост я умом, но все же начну, молитвою святой Богородицы и помощью святого князя Александра.
Съй бѣ князь Александръ родися от отца милостилюбца и мужелюбца, паче же и кротка, князя великаго Ярослава и от матере Феодосии. Яко же рече Исайя пророк[3]: «Тако глаголеть Господь: Князя азъ учиняю, священни бо суть, и азъ вожю я». Воистинну бо без Божия повелѣния не бѣ княжение его.	Сей князь Александр родился от отца милосердного и человеколюбивого, и более всего — кроткого, князя великого Ярослава и от матери Феодосии. Как сказал Исайя-пророк: «Так говорит Господь: “Князей я ставлю, священны ибо они, и я веду их”». И воистину — не без Божьего повеления было княжение его.
Но и взоръ его паче инѣх человекъ, и глас его — акы труба в народѣ, лице же его — акы лице Иосифа,[4] иже бѣ поставилъ его египетьскый царь втораго царя въ Египтѣ, сила же бѣ его — часть от силы Самсоня,[5] и далъ бѣ ему Богъ премудрость Соломоню, храборъство же его — акы царя римскаго Еуспесиана, иже бѣ плѣнилъ всю землю Иудейскую. Инѣгде исполчися къ граду Асафату[6] приступити, и исшедше гражане, побѣдиша плъкъ его. И остася единъ, и възврати к граду силу ихъ, къ вратом граднымъ, и посмѣяся дружинѣ своей, и укори я, рекъ: «Остависте мя единого». Тако же и князь Александръ — побѣжая, а не побѣдимъ.	И красив он был, как никто другой, и голос его — как труба в народе, лицо его — как лицо Иосифа, которого египетский царь поставил вторым царем в Египте, сила же его была частью от силы Самсона, и дал ему Бог премудрость Соломона, храбрость же его — как у царя римского Веспасиана, который покорил всю землю Иудейскую. Однажды приготовился тот к осаде города Иоатапаты, и вышли горожане, и разгромили войско его. И остался один Веспасиан, и повернул выступивших против него к городу, к городским воротам, и посмеялся над дружиною своею, и укорил ее, сказав: «Оставили меня одного». Так же и князь Александр — побеждал, но был непобедим.
И сего ради нѣкто силенъ от Западныя страны,[7] иже нарицаются слугы Божия, от тѣх прииде, хотя видѣти дивный възрастъ его, яко же древле царица Южичьская[8] приходи к Соломону, хотящи слышати премудрости его. Тако и сей, именемъ Андрѣяшь,[9] видѣвъ князя Александра и, възвратився къ своимъ, рече: «Прошед страны, языкъ, не видѣх таковаго ни въ царехъ царя, ни въ князехъ князя».	Потому-то один из именитых мужей Западной страны, из тех, что называют себя слугами Божьими, пришел, желая видеть зрелость силы его, как в древности приходила к Соломону царица Савская, желая послушать мудрых речей его. Так и этот, по имени Андреаш, повидав князя Александра, вернулся к своим и сказал: «Прошел я страны, народы и не видел такого ни царя среди царей, ни князя среди князей».
Се же слышавъ король части Римьскыя от Полунощныя страны[10] таковое мужество князя Александра и помысли в собѣ: «Поиду и плѣню землю Александрову». И събра силу велику, и наполни корабля многы полковъ своих, подвижеся в силѣ тяжцѣ, пыхая духомъ ратным. И прииде в Неву, шатаяся безумиемь, и посла слы своя, загордѣвся, в Новъгородъ къ князю Александру, глаголя: «Аще можеши противитися мнѣ, то се есмь уже зде, плѣняя землю твою».	Услышав о такой доблести князя Александра, король страны Римской из Полуночной земли подумал про себя: «Пойду и завоюю землю Александрову». И собрал силу великую, и наполнил многие корабли полками своими, двинулся с огромной силой, пыхая духом ратным. И пришел в Неву, опьяненный безумием, и отправил послов своих, возгордившись, в Новгород к князю Александру, говоря: «Если можешь, защищайся, ибо я уже здесь и разоряю землю твою».
Александръ же, слышав словеса сии, разгорѣся сердцемъ, и вниде в церковъ святыя Софиа,[11] и, пад на колѣну пред олътаремъ, нача молитися съ слезами: «Боже хвалный, праведный, Боже великый, крѣпкый, Боже превѣчный, основавый небо и землю и положивы предѣлы языком, повелѣ жити не прѣступающе в чюжую часть». Въсприимъ же пророческую пѣснь, рече: «Суди, Господи, обидящим мя и возбрани борющимся со мною, приими оружие и щитъ, стани в помощь мнѣ».[12]	Александр же, услышав такие слова, разгорелся сердцем и вошел в церковь Святой Софии, и, упав на колени пред алтарем, начал молиться со слезами: «Боже славный, праведный, Боже великий, крепкий, Боже превечный, сотворивший небо и землю и установивший пределы народам, ты повелел жить, не преступая чужих границ». И, припомнив слова пророка, сказал: «Суди, Господи, обидящих меня и огради от борющихся со мною, возьми оружие и щит и встань на помощь мне».
И, скончавъ молитву, въставъ, поклонися архиепископу. Епископъ же бѣ тогда Спиридонъ,[13] благослови его и отпусти. Он же, изшед ис церкви, утеръ слезы, нача крѣпити дружину свою, глаголя: «Не в силах Богь, но въ правдѣ. Помянемъ Пѣснотворца,[14] иже рече: “Сии въ оружии, а си на конѣх, мы же во имя Господа Бога нашего призовемь, тии спяти быша и падоша, мы же стахом и прости быхом”».[15] Сии рѣк, поиде на нихъ в малѣ дружинѣ, не съждався съ многою силою своею, но уповая на Святую Троицу.	И, окончив молитву, он встал, поклонился архиепископу. Архиепископ же был тогда Спиридон, он благословил его и отпустил. Князь же, выйдя из церкви, утер слезы и сказал, чтобы ободрить дружину свою: «Не в силе Бог, но в правде. Вспомним Песнотворца, который сказал: “Иные с оружием, а иные на конях, мы же имя Господа Бога нашего призываем; они повержены были и пали, мы же выстояли и стоим прямо”». Сказав это, пошел на врагов с малою дружиною, не дожидаясь своего большого войска, но уповая на Святую Троицу.
Жалостно же бѣ слышати, яко отець его, князь великый Ярославъ, не бѣ вѣдал таковаго въстания на сына своего, милаго Александра, ни оному бысть когда послати вѣсть къ отцю своему, уже бо ратнии приближишася. Тѣм же и мнози новгородци не совокупилися бѣшя, понеже ускори князь поити. И поиде на ня въ день въскресениа, иуля въ 15, имѣяше же вѣру велику къ святыма мученикома Борису к Глѣбу.	Скорбно же было слышать, что отец его, князь великий Ярослав, не ведал о нашествии на сына своего, милого Александра, и ему некогда было послать весть отцу своему, ибо уже приближались враги. Потому и многие новгородцы не успели присоединиться, так как поспешил князь выступить. И выступил против врага в воскресенье пятнадцатого июля, имея веру великую в святых мучеников Бориса и Глеба.
И бѣ нѣкто мужь старѣйшина в земли Ижерстей, именемъ Пелугий,[16] поручено же бысть ему стража нощная морская. Въсприя же святое крѣщение и живяше посреди рода своего, погана суща, наречено же бысть имя его въ святѣмъ крѣщении Филипъ, и живяше богоугодно, в среду и в пяток пребываше въ алчбѣ, тѣм же сподоби его Богъ видѣти видѣние страшно в тъй день. Скажемъ вкратцѣ.	И был один муж, старейшина земли Ижорской, именем Пелугий, ему поручен был ночной дозор на море. Был он крещен и жил среди народа своего, бывшего язычниками, наречено же было имя ему в святом крещении Филипп, и жил он богоугодно, соблюдая пост в среду и пятницу, потому и удостоил его Бог видеть видение чудное в тот день. Расскажем вкратце.
