ПОСЛАНЬЕ ИЯКОВА ЧЕРНОРИЗЬЦА КО КНЯЗЮ ДМИТРЕЮ БОРИСОВИЧУ	ПОСЛАНИЕ ЯКОВА-ЧЕРНОРИЗЦА К КНЯЗЮ ДМИТРИЮ БОРИСОВИЧУ
Добро бо от Бога къ Божию слузѣ начати,[1] великому князю Дмитрею отъ многогрѣшнаго черноризьца Якова.	Ведь хорошо от Бога к Божьему слуге начать — великому князю Дмитрию от многогрешного монаха Якова.
Написалъ еси покаянье свое велми смирено, и жалостно слышати, понеже много с подъпаденьемъ. Да вѣсть умъ твой, иже тя разумомъ кормить, рече Господь о покаяньи единого человѣка «Вси ангели радуются на небесехъ»,[2] и самъ хощеть обращенья, а не смерти, и на землю сниде не праведныхъ дѣля, но грѣшныхъ. Жертва бо Богу духъ скрушенъ, сердца смирена николи же не уничижить,[3] жертва бо Его подъ языкомъ ти, и законъ Его посредѣ чрѣва ти. И что ся съдѣяло про мене, того всего простить тя Господь Исусъ, всего мира грѣхи вземъ, отъ тайныхъ твоих очистить тя.	Прислал ты свое покаянье, такое смиренное — жалостно слышать, так много в нем уничиженья. Пусть знает твой ум, который разумом тебя насыщает, что сказал Господь о покаянье одного человека: «Все ангелы радуются на небесах», и сам он хочет спасенья — не смерти, и на землю сошел не праведных ради, но грешных. Жертва же Богу дух сокрушенный, смиренное сердце он никогда не презрит, жертва его на твоем языке, и закон его в сердце твоем. И все, что случилось со мною, за все то простит тебя Господь Иисус, принявший грехи всего мира, от скрытых грехов очистит тебя.
Молюся Ему отъ сердца, что ли же уже минуло, то и мы слабѣише будемъ, но буди всегда бъдръ и стражь тѣлу своему, блюдися запойства, того бо Духъ Святый бѣгает, и гордости, сему Господь противится, и безаконьнаго смѣса: всякъ бо грѣхъ кромѣ насъ есть, а блудяи свое тѣло оскверняеть.[4] Ни мужь честенъ не внидеть в калню храмину, а ли Богъ.	Сердцем молюсь ему, чтобы это минуло уже, нас не ослабив, всегда же будь бодр, храни свое тело, запойства блюдись, его избегает и Дух Святой, и гордыни, которой Господь противится, и беззаконных связей: ибо всякий грех вне нас, а блудливый тело свое оскверняет. И честный муж не войдет в оскверенный храм, а то ли Бог.
Соломонъ бо, се искусомъ приимъ, всѣмъ заповѣда, глаголя:[5] «Не внимай бо любодѣици, медъ бо каплеть отъ устъ ея, а послѣже горчае золчи и чемери», «не стрѣтай жены сничавы, отврати очи от жены красны», любодѣянья бо жены во высотѣ очью. Да не удолѣеть ти похоть чюжея доброты, и во слѣдъ очью не идеть сердце ти; видъ бо любодѣйци — стрѣла есть чемерита: уязви лицемъ и ядъ въ сердце вложи, и мысли аки мухи вязнуть в поставъ паучий, аки искра медливши в половахъ, пламеньмъ воспалится; неводъ бо сердце ея, и сѣти уды ея, и узы в руку ея, и ловление бесѣды ея, осилы устенъными заведеть во блудъ,— акы волъ поверъстъ послѣдуеть ей на заколенье, аки песъ жажелемъ, а не вѣсть, яко о души течеть. В добротѣ бо женьстѣ мнози заблудишася и пополъзнушася в пагубу, смертию въ адъ, жены бо честныхъ мужь душа уловляют.	Соломон же, искушенья все испытав, всем заповедал, так говоря: «Любодейки не слушай: каплет мед с ее уст, а потом горче желчи и яда», «не встречайся с женщиной распутной, отврати очи от женщины красивой», потому что любодеянье женщин в глубине глаз. Пусть не прельстит тебя похоть к чужой красоте, и вслед оку пусть сердце твое не идет; взор любодейки, как стрела, ядовит: поранит наружи и яд впустит в сердце, и мысли завязнут, как мухи в тканине паучьей, как искра, в соломе затлевши, огнем возгорится; и невод — сердце ее, и сети — члены ее, и узы — в ее руках, и приманка — речи ее, силками губ своих увлечет на блуд — и вот, как связанный вол, пойдет вслед за ней на закланье, как пес на цепи, и не ведает он, что душу теряет. В красоте ведь женской запутались многие и попали в беду, а по смерти — в ад, ибо уловляют женщины души честных мужей.
Егуптянини не взору ли Иосифову восхотѣ,[6] скорбь и до смерти въведе, и про сестру его Дину,[7] сикимляне погибоша[8] и Самсонъ, с ним же Духъ Господень хожаше, и Давидъ, его же Богъ обрѣте по сердцу си, и бысть рабъ очному взору и двое зло створи, и Амомонъ сестры ради Фамары злѣ убьенъ,[9] и Соломонъ паче всѣхъ человѣкъ[10] имѣя премудрость, женами погибе, и старци, судьи Вавилону,[11] похотѣста Сусанѣ, побьена от людей. И Господь, провѣдый душетлѣнный вредъ, рече: «Всь возрѣвый на жену въ похоти ея, уже прелюбодѣвьствовавъ во сердци».[12] Гнушаеть бо ся Господь нечестивыхъ мысли, паче же ражающаго ярь сердца и мудрующаго со сластохотѣньемъ, акы Евга съ бесловеснымъ гадом бесѣдуя, съ змиемъ: поползни бо суть змиевы мысли, въ дрязгахъ темных вредъ почивая, гнѣздятся и свѣта не любять, но, акы нетопыреве, во тму пруть: во тмѣ бо есть учитель их.	Египтянка не обратила ли взор на Иосифа, а скорбь довела до смерти, также сестра его Дина, и сихемляне погибли, и Самсон, с которым ходил Дух Господень, и Давид, которому Бог благоволил, стал рабом одного только взгляда и двойное зло совершил, и Амнон, из-за Фамары-сестры злобно убитый, и Соломон, наимудрейший среди всех людей, из-за женщин погиб, и старцы, вавилонские судьи, пожелавшие Сусанну, побиты людьми. И Господь, осознав душетленный вред, сказал: «Всякий, взглянувший на женщину с тайным желаньем, уже прелюбодействовал в сердце своем». Потому что гнушается Бог нечестивых помыслов, особенно тех, что рождают жар в сердце и сластолюбие в мысли, как Ева в беседе с гадом безмолвным, со змием, ибо змииные мысли ползучи: в темных чащах, вред сотворяя, гнездятся и света не любят, но, будто нетопыри, в мраке ныряют, ибо во мраке учитель их.
Мужества бо не дошедль и ни разума еще имѣя, что соблазнихомся? Абы не попустил и нынѣ уносит играти собою, варуйся чресъестественыхъ, сверепа бо есть похоть, акы дикая быль, о себѣ возникъши, на недѣланѣ нивѣ. Имаши силу и удолѣти сеи страхом Божиимъ, аки тяжарь оттребляти садъ желѣзомъ чюжа прилогы, акы кормьчии волны минуя, направляемъ благодатью, и не съступи праваго пути. Имаши жену, матерь похотемъ, ея же ради остави отца и матерь и, по апостолу, не токмо не скверно ложе, ино честно.[13] Не сравнаеть бо ся смрадъ с вонею, ни зла воня со смрадом, ни безаконие со закономъ.	До зрелости еще не дойдя и разума мало имея, на что соблазняемся мы? Чтобы не дать и теперь юности шутить над собою, остерегайся разврата, ибо похоть свирепа, как дикое зелье, само по себе возникает на непаханой ниве. Имеешь ты силу ее одолеть страхом Божьим и, как земледелец, железом очистить от дикой поросли сад, как кормчий, волны минуя, благодатию правит и не собьется с верной дороги. Есть и жена у тебя, источник желаний, ради которой оставил мать и отца и, по слову апостола, имеешь ложе не только не порочное, но честное. Ведь не сравняется смрад с благовоньем, ни зловонье со смрадом, ни беззаконье с законом.
Живый въ чистотѣ, акы въ церкви святѣи потыкаемъ свѣстью в горнии Еросалимъ, и тамо в первѣньцѣхъ же вписанъ имаши быти, помня оного, иже по возлежании чертожнѣмь изгонима; гнѣвъ и ярость на согрѣшившая удержи и умалиши грѣхы.	Живя в чистоте, как в церкви святой, устремленный совестью к горнему Иерусалиму, и там среди первых ты будешь записан, помня тех, кто после ложа в чертоге попадает в изгнанье; гнев и ярость на согрешивших сдержи и грехи тем уменьшишь.
Яко молишися Бога — остави ми, якоже оставихъ,[14] благорасуденъ буди, да ни единого вреда на многиѣ възидеть; ни мьщай врагу, пожди Господа,[15] дати поможеть: терпѣнье бо не на лици обрѣтаеться, но въ сердци, не рѣчью издаеться, но дѣлом.	Когда ты молишься Богу — прости меня, как и тебя я простил, и будь благоразумен, пусть никакого вреда не будет другим; не мсти врагу, дождись Господа, пусть он поможет: ибо терпенье находится не на виду, но в сердце, не словом оно познается, но делом.
И бысть неприпорно ти слышати, чюдно указанье: сѣдяи на хѣрувимѣхъ, Вседержьць воины водимъ связанъ, сѣдяи одесную Отца, на судѣ архиерѣю Пилату стоить, воспросим; и, слышавъ отъ него истину, гнѣваются; лице просвѣтивше си паче солкца, безаконьникы ударяемъ, плеваху, храчюще на лице его; плюновеньемъ отъ рода слѣпаго исцѣливъ, а прочая вѣдома ти. Аще бо божий Сыкъ и мышца господня се подъятъ от человѣкъ без грѣха сы за насъ, да мы, человѣци, от человѣкъ тоже стража, не благодать воздаемъ, но искупаемся долгу.	И было приятно слышать тебе объяснение чуда: сидящий на херувимах Вседержец — в путах влеком был охраной, сидящий одесную с Богом — на судилище пред архиереем Пилатом стоит на допросе, и, услышав от него истину, впадает Пилат в гнев; лицо, просветленное ярче солнца, ненавистники били, плевали, харкнув в лицо того, кто плевком исцелил от рожденья слепого; и прочее все известно тебе. Но если сын Божий и мышца Господня принял это от людей, безгрешный — за нас, то мы, человеки, от таких же людей пострадав, не благодать воздаем, но искупаем свой долг.
Да не в годы мирныя Исусъ другъ буди, а в годъ ратенъ врагь.[16] Малъ квасъ око смутить, мало слово ярость родить и малыми болѣзньми большихъ изъбыти. Мужь бо терпѣливъ по терпѣнью знаеться, Соломонъ рече: «Терпѣливый лучши крѣпкаго обладый душею своею».[17] Мука есть в мысли тайна, симь и безъ желѣза можемъ быти мученици, аще бо бы молился за пакостьникы, того и бѣси бояться.	Да не будет Иисус нам другом только в мирные годы, а в ратные годы — врагом. Чуть кислоты око сожжет, малое слово ярость родит, малым страданьем — больших избыть. Муж терпеливый в терпенье познается, Соломон ведь сказал: «Терпеливый лучше сильного». Хранящий душу свою страдает тайною мыслью об этом.И без мучений можем стать мучениками, ибо если молишься за творящих злое — того и бесы боятся.
Полюби Христа, послушай глаголюща ко апостоломъ[18]: «Отъ сего вы разумѣють вси, яко мои ученици есте, аще любите друг друга, а не аще чюдеса творите», и Павелъ рече[19]: «И аще имѣю вѣру, яко и горы преставляти, и раздаю все имѣнье, любьве же не имѣю — ничтоже успѣю». Богословець рече[20]: «Любяй Господа преже и братью возлюби»: указъ бо первому второе. Любы и Богъ есть сынотворенье человѣкомъ досяжено, море смиренью, бездна — долготерпѣнью, источьникъ и огньнъ, елико въскипить, толико жажущего душю запалить. Аще и чюдесы подражати апостолы хощеши, и се ти мощно: они хромым ходити створиша и рукы сухымъ исцѣлиша, а ты храмлющая о вѣрѣ научи, и нози текущихъ на игры къ церкви обрати,[21] и руцѣ исъсохши от скупости к нищимъ на подание простерти створи. И, страстемъ ихъ подражатель хотя быти, аще борения таковаго нѣсть, но вѣнцемъ такимъ не отступило время — и не отстала бо рать дьяволя, не гонять бо человѣци, но бѣси, не мучитель, но дьяволъ. Они терпѣша огнь, звѣри и мечи остры, а ты похоть възгарающюся и мысли звѣрины изутрь востаюша и языкы злыхъ человѣкъ, по реченному, обостриша, яко копья, языки своя.[22] Сего ради Павелъ велить присно вооруженым быти: милостивии помиловани будуть, милость бо на судѣ при всѣмь лишше хвалима есть и смерти избавляеть. «Сѣяи щадя, щадя и пожнеть»,[23] рече Павелъ. «Все вашею любовью да бываеть». И се ти будеть указъ: Ефъфая князя единородная дщи и убогия вдовы двѣ мѣдницѣ,[24] не вѣдѣ, сровналъ ли будеть? Кому то принесени быша правила, своего не остави противу силѣ, се же бы добро в тайнѣ: дѣвица бо хранима и любима внѣшними,[25] аще ли исходить, то всѣмъ годѣ есть, от инѣхъ прокудима.	Возлюби Христа, послушай, что говорит он апостолам: «Потому признают вас все моими учениками, что любите вы друг друга, а не за то, что творите чудеса», и Павел сказал: «Если есть во мне вера — и горы могу своротить, и раздам все именье мое, но не имею любви — ничего не сумею». Богослов же сказал: «Любящий Господа, ближних сперва полюби: ибо символ первого — второе». Любовь — это Бог, достигнутое человеком благосыновство, море смиренья, бездна долготерпенья, огоненный источник, что, вспыхнув, жаждущего душу зажжет. Коль чудесами подражать апостолам хочешь — и это возможно для тебя: те дали хромым ходить и руки сухоруким исцелили, а ты охромевших в вере наставь и ноги бегущим на игры к церкви своей обрати, и руки усохших от скупости к нищим на подаянье направь. Ты и мучениям их подражать бы хотел, но если нет от стремленья такого, время венцу не прошло,— еще не отстали приспешники дьявола: не люди преследуют ведь, но бесы, не палач, но дьявол. Те претерпели огонь, и зверей, и острые мечи, ты — воспламененье похоти и мысли звериные, изнутри восстающие, и языки злых людей, о которых сказано: «Заострили, как копья, языки свои». Поэтому Павел велит всегда вооруженным быть; милосердные будут помилованы, ибо жалость на последнем суде будет славиться и от смерти избавит. «Сеющий скупо, скупо пожнет»,— сказал Павел.— «Будьте богаты на всякую щедрость». И вот тебе будет пример: Еффая-князя единственная дочь и убогой вдовы две жалкие монеты — не знаю, можно ли их сравнить? И кому даны были наставления к службе, своего не оставь и насильно, ибо в сокровении благо: как дева любимая, от чужих взглядов укрытая, но если выходит — не всем это нравится, иные и осуждают.
Буди, аки пчела, извону нося цвѣты, а внутрь сты дѣлая, да не дымъ въ солнца мѣсто примеши. И не рцы, что зло творя: «Аще бы се не годно Богу, не попустилъ бы самъ». Власть далъ есть человѣку нераскаяненъ даръ его: не терпить идолослужащимъ и отмѣтающимся его, и еретиком, и дьяволу. Или, готову имѣя цѣлбу покаяньи, и будеши часто огражаяся, еже не любо Богу?	Будь как пчела, извне нектар приносящая, внутри же соты творящая, чтобы дым не принять за солнце. И, делая зло, не говори: «Если бы то не угодно Богу, не допустил бы сам». Власть он дал человеку, дар непримиримости: не терпит язычников, и его отрицающих, и еретиков, и дьявола. Или, имея целебное покаяние, будешь часто защищаться, творя неугодное Богу?
А без вѣсти и утрений день, а, рку, и днешний, и нѣсмѣ тому властели, и никтоже вѣсть о себѣ в тайных божиихъ судѣхъ, да вси трепещемъ о своемъ дѣлѣ. Позорище бо есмы ангеломъ и человѣкомъ, и ангелы знаменаются на всяк день, кто что предложить, и ты вникъ во сердци си и мыслью проиди всю тварь и расмотри и: торгъ житья человѣча как ся расходить, по писаному,[26] все стѣня и немощнѣе. И зри Господа с небесъ уже грядуща на судъ человѣческымъ тайнамъ и всѣмъ воздати по дѣломъ его. Вѣдомо ти буди: огнь нас ждеть и огньмь питану быти, и огньмь открывается житье же человѣчѣ, и огньмь искушена будуть дѣла наша. Буди, акы в геонѣ уже врящи! Се жестоко глаголю, да жестока не искусишь и преже времене сготовимъ ищемаго въ время. По пяти дѣвиць мудрыхъ[27] — се есть цѣла ума дѣло и свершеныхъ свершеное свѣршеньство. Аще знаема ти будуть Божия, то во свѣте еси Божий свѣтъ мирови, и възлюбить доброту сердца ти, и благословить мощь твою, и дѣла руку твою прииметь.	Неизвестен и завтрашний день и, добавлю, сегодняшний, и над ними не властны мы, и никто не знает сам о себе в тайных Божьих сужденьях; так вострепещем же каждый о своих делах. Ведь все мы открыты взорам ангелов и людей, а всякий день означен ангелом, что тебе предстоит, и ты, вникнув в сердце свое, мысленно вспомни творенье и рассмотри торжище жизни людской, как, согласно завету, все проходит как тень, исчезая. И на Бога смотри, с небес грядущего на суд человеческих тайн, всем воздать по делам их. Знай же: ждет нас огонь, огнем нам насытиться, огнем открывается жизнь человека, огнем проверены будут дела наши. Будь как в геенне, уже кипящей. Говорю так сурово, чтоб не узнал ты суровее слов, раньше срока изготовимся к неизбежному сроку. Пять мудрых дев — это образ чистых умов и совершенных совершенное совершенство. Если известны тебе будут Божьи слова, тогда ты — в сиянье Божьего света для мира, и возлюбит доброту твоего сердца, и благословит силу твою, и деянья рук твоих примет.
