СЛОВО И СКАЗАНИЕ О ЗВЕРЕХ И ПТАХАХ	СЛОВО И СКАЗАНИЕ О ЗВЕРЯХ И ПТИЦАХ
Фисилогъ и о лвѣ. Три естества имат левъ. Егда бо раждает лвица мьртво и слепо раждает, седит же и блюдет до третьего дьни. По трех же днех приидет левъ и дунет в ноздри ему и оживет. Тако и о вѣрных языцѣхъ. Прежде бо крещениа мьртви суть, по крещении же просвѣщаються от Святаго Духа.	Физиолог о льве. Три свойства имеет лев. Когда львица родит, то приносит мертвого и слепого детеныша, сидит она и сторожит его до трех дней. Через три же дня приходит лев, дунет ему в ноздри, и детеныш оживет. То же и с верными народами. До крещения они мертвы, а после крещения очищаются Святым Духом.
Второе естество лвово. Егда спит, а очи его бдита. Тако и Господь наш рече ко июдеом, якоже: «Азъ сплю, а очи мои божественыа и сердце бдита»[1].	Второе свойство льва. Когда спит, то глаза его бодрствуют. Так и Господь наш говорит иудеям: «Я сплю, а глаза мои божественные и сердце бодрствуют».
А третье естество лвово: егда отбегает лвица, хвостом своим покрывает стопы своя. Да не может ловець осочити слѣда его.	А третье свойство льва,— когда львица бежит, то следы свои заметает своим хвостом, и охотник не может отыскать ее следов.
Тако и ты, человѣче. Егда твориши милостыню, да не чюет леваа рука, что творит десница твоя. Да не возбранит дьяволъ дѣло помысла твоего.	Так и ты, человек. Когда творишь милостыню, то пусть левая рука не знает, что делает твоя правая. Да не помешает дьявол делам помысла твоего.
О утропѣ. Утропъ имать два рога. Живет же близъ рѣкы акиана на крайны земли. Да егда ся вожедает, пьет от нея и упиваеться и бореться со землею и чешет роги своими. И есть же тамо древо нарицаемо танисъ, подобно зѣло виннѣй лозѣ добрами вѣтми и густо прутиемъ и чеша прутиемъ соплетаеться в них и обрѣтаеть его ловець и удолѣеть ему.	Об антилопе. У антилопы два рога. Живет она около реки-океана на краю земли. Когда же захочет пить, то пьет из реки и упивается, упирается в землю и роет ее рогами своими. И есть там дерево, называемое танис, сильно напоминающее виноградную лозу широкими ветвями и густыми прутьями,— и, продираясь сквозь прутья, антилопа запутывается в них,— тогда охотник ее ловит и одолевает.
Тако и человѣкъ. В рогъ мѣсто далъ ему есть Бог оба Завѣта, Вѣтхаго и Новаго. Рогы противныа сили, якоже рече пророкъ Давидъ: «О тобѣ врагы наша избодем рогы».[2] Рѣка акианьска есть богатъство. Танис же — сласть житейскаа. Да въплетаяся человѣкъ не брѣжет о вѣрѣ, но обрѣтъ и дьяволъ и удолеет ему.	Так и человек. Вместо рогов Бог дал ему оба Завета, Ветхий и Новый. Рога — это сопротивление силе; как говорит пророк Давид: «С тобою избодаем рогами врагов наших». Река океанская — это богатство. Танис же — житейские наслаждения. Запутывается в них человек, который не заботится о вере, и находит его дьявол и одолевает его.
О слонѣ. Слонъ живетъ на горах. Слоница обрящет былие, нарицаемое мандрагураи[3] и взимает от нея. Тако же и слонъ и гиниться с нею. И егда раждаеть, взаиит в реку до вымене и раждаеть в воде. Спить же при древѣ. Да егда падется от него, вопиеть и приидет слонъ великъ и не может возвести его и пакы друзии 12. Да ни ти. Да тогда же возопиете оба на десяте. И приидет инъ малъ и подложитъ ротъ свой и возмѣть и.	О слоне. Слон живет в горах. Слониха находит траву, называемую мандрагорой, и поглощает ее. Так же и слон; и сходится с нею. А когда слониха рожает, то входит в реку до вымени и рожает в воде. Спит же слон стоя около дерева. А если упадет, то вопит, и приходит большой слон, но не может поднять его; и затем приходят другие двенадцать. Но и они поднять не могут. И тогда завопят все двенадцать слонов. И приходит маленький слон, и подставляет хобот свой, и поднимает его.
Сиречь первый слонъ Евга, вторый Адамъ. Былие древо преслушаниа. А еже вкуси, яко преступи. А еже «увы мнѣ», яко съгрѣши. И что озеро? Рожеству рай. И что приклоннаа древеса? Оплота райскаа. И кто сикырою изпадаа? Дьяволъ. И кто сикира? Языкъ змиевъ. И еже паде, яко изгнан бысть. И кто великий слонъ? Моиси. И кто 12 слона не могше извести его[4] и кто изведе его? Христос. То бо возведе того Адама от ада[5].	Таким образом, первый слон — это Ева, второй — Адам. Трава — древо ослушания. И если вкусил, то совершил преступление. А «увы мне»— это значит согрешил.— А что такое озеро? — Рождества рай. А что такое склоненные деревья? — Оплот райский. И кто от топора падет? Дьявол. А что топор? — Это язык змеи. И когда упал, то был изгнан. А кто большой слон? — Моисей. А кто двенадцать слонов, которые не могли поднять его, и кто поднял его? — Христос, который вывел того Адама из ада.
О елени. Елень живеть 50 лѣт. И по сем ходит по странах и во дрязгах горьских пухает змии, да идеже налезет ю, облинавшюю трижды, обухает ю и помѣтаетъ ю. И шедъ пьеть воду. Аще ли не пьеть, то умирает. Аще испьеть, да живет другую 50 лѣт. Да сего дѣля рече пророкъ, якоже желает елень на источьники водныя.[6]	Об олене. Олень живет пятьдесят лет. А затем уходит в долины и горные леса, и учует запах змеи, и где найдет ее, трижды сменившую кожу, обнюхивает ее и отбрасывает ее. И после этого идет и пьет воду. Если же не пьет, то умирает. Если же выпьет, то живет другие пятьдесят лет. Об этом говорит пророк: как стремится олень к источникам водным.
Тако и ты, человѣче, три обновлениа имаши в собѣ: крещение, покоание и неистлѣние. Да егда согрѣшиши, тѣци ко церкви и ко источнику живу книжну и на сказание пророческое и пий воды живы, сиречь святое комкание.	Так и ты, человек, заключаешь в себе три обновления: крещение, покаяние и нетление. А когда согрешишь, то устремись к церкви, и к живому книжному источнику, и к пророческому сказанию, и испей живой воды, то есть святого причастия.
