КНИГЫ «БЧЕЛА».	КНИГИ «ПЧЕЛА».
РѣЧИ И МУДРОСТИ ОТ ЕУАГЕЛЬЯ, И ОТЪ АПОСТОЛА, И ОТ СВЯТЫХ МУЖЬ, И РАЗУМЪ ВНѣШНИИХЪ ФИЛОСОФЪ[1]	СЛОВА И МЫСЛИ ИЗ ЕВАНГЕЛИЯ, И ИЗ АПОСТОЛА, И ИЗ СВЯТЫХ ОТЦОВ, И ЗНАНИЯ СВЕТСКИХ ФИЛОСОФОВ
О ЖИТИИСТѣИ ДОБРОДѣТЕЛИ И О ЗЛОБѣ	О ЖИЗНЕННОЙ ДОБРОДЕТЕЛИ И О ЗЛОБЕ
Соломонъ. Да не прельстять тебе мужи нечестивии, ни ходи в путь с ними, но уклони ногы своя от стезь ихъ, ногы бо ихъ на зло текуть, и скори суть на пролитье кръви.	Соломон. Пусть не прельстят тебя мужи нечестивые, не ходи с ними по пути, но отклони ноги свои от путей их, ибо ноги их на злое бегут, и скоры они на пролитие крови.
Яко же от оскомины пакость зубомъ, и дымъ — очима, тако и безаконие требующимъ его.	Как от оскомины вред зубам и от дыма — очам, так и от беззакония его совершающим.
Всякъ, держайся добрыя дѣтели, не можеть быти безъ многыхъ врагъ.	Всякий, кто держится добродетели, не может не обрасти врагами.
Не мѣсто добродѣтелии, но добродѣтель мѣсто можеть украсити.	Не место делает добродетельным, но добродетели место украшают.
Нускыи. Престанье от зла — починокъ добродѣтели.	Нисский. Отвращенье от зла — начало добродетели.
Плутархъ. Свѣтлость добродѣтелии видима есть, яко и злато въ кровѣх; пища же сладъка является стражущим, а добродѣтель наказанымъ.	Плутарх. Сияние добродетелей столь же заметно, как и золото на кровлях; сладость же пищи является исстрадавшимся, а добродетель наставленным.
Лукавии мужи, аще и благою рѣчью свѣщають, но нрава ради невѣрни суть.	Лживые люди, хоть и доброю речью сговариваются, но нравом своим бесчестны.
Идола образъ украшаеть,[2] а мужа дѣанья.	Статую внешность украшает, а мужа деянья.
Тако въсхощи жити, да ни боле тебе могущеи быша тебе обидѣли, но ни ты будеши страшенъ меньшимъ своимъ.	Пожелай жить так, чтобы более сильные тебя не обидели, а ты не страшил бы слабых.
