ЧУДО, БЫВШЕЕ С СВЯТЫМЪ ВЕЛИКОМУЧЕНИКОМЪ ГЕОРГИЕМЪ О ЗМИИ	ЧУДО СО ЗМЕЕМ, БЫВШЕЕ СО СВЯТЫМ ВЕЛИКОМУЧЕНИКОМ ГЕОРГИЕМ
Благослови, отче!	Благослови, отче!
Како изреку страшную сию и преславную тайну? Что возглаголю или что помышлю? Како начну глаголати и повѣдати дивное сие и преславное слышание? Азъ убо грѣшенъ есмь человѣкъ, но надѣюся на милосердие святого и великого мученика и страстотерпьца Христова Георгия; возвѣщаю вам чюдо сие, избранное во всѣхъ чюдесехъ его.	Как изреку ужасную эту и преславную тайну? Что возглашу и о чем подумаю? Как передам и поведаю удивительное это и преславное предание? Ибо грешный я человек, но надеюсь на милосердие святого и великого мученика и страстотерпца Христова Георгия; возвещаю вам чудо это, самое дивное из всех чудес его.
Бысть во она лѣта нѣкии град, именем Гевалъ, во странѣ Палестиньстей, и той бяше великъ зѣло и множество много людей в немъ; и вси вѣроваху во идолы, почитающе ихъ по преданию и по велѣнию царскому, отступиша бо отъ Бога, и Богъ отступи от них.	Был в древние времена один город, под названием Гевал, в земле Палестинской, и был он очень большой, и множество людей в нем жило; и все поклонялись идолам, почитая их согласно преданиям и по царскому повелению, отвернулись они от Бога, и Бог отвернулся от них.
Близь еже бяше града того езеро велико, имѣя воду многу. По вѣре и по дѣломъ ихъ воздастъ имъ Богь: бысть убо змий великъ во езере том, и, исходя отъ езера оного, людей града того изьядаше. Инѣхъ же свистаниемъ уморяше, других же удавляя восхищаше въ езеро. И бяше скорбь велика и плачь неутѣшимъ во градѣ томъ звѣря оного ради.	Около города этого было большое озеро, весьма полноводное. По вере и по делам их воздал им Бог: появился огромный змей в этом озере и, выходя из озера, жителей города этого поедал. Некоторых свистом своим умерщвлял, других же, удушив, утаскивал в озеро. И была великая скорбь, и плач неутешный в городе том из-за этого зверя.
Во един же отъ днии собрашася вси людие града того и идоша ко царю своему, глаголяще: «Что сотворим — яко погибаемъ злѣ отъ змия сего?» Глагола имъ царь: «Аз, еже ми явиша бози, то и возвѣщаю вамъ, да сотворим убо совѣтъ сии: кийждо вас во вся дни сына своего или дщерь свою да подастъ на снедение змию по ряду, дондеже и на мя приидетъ число: дам и азъ единородную мою дщерь». И годѣ бысть сей совѣтъ всѣмъ людем, и отъвѣщавше рекоша ко царю: «Воистину, о царю, сердце твое в руках боговъ есть; благодать же исповѣдуем имъ, отъкрывшим тебѣ совѣт сей». И шедше по ряду творяху повелѣние царево, наченьше отъ больших князь и до нижних, и по вся дни чада своя даяху на пищу змиеви при краи езера, ово убо сына своего, другии же дщерь свою, кричаще и плачюще зѣло. Исхожаше змий и восхищаше и ядяше.	Собрались однажды все жители этого города и пошли к царю своему, говоря: «Что будем делать — ведь зло погибаем от этого змея?» Ответил им царь: «Все, что сказали мне боги, то вам возвещаю, и давайте сделаем это: каждый из вас ежедневно сына своего или дочь свою пусть отдаст на съедение змею в черед свой, пока не наступит и мой срок: отдам и я единственную мою дочь». И угодно было это всем жителям, и, отвечая, сказали они царю: «Воистину, о царь, сердце твое в руках богов; хвалу же им вознесем за то, что вложили в тебя эту мысль». И, удалившись, поочередно исполнили царское повеление, начиная с главных князей и до самых незнатных, ежедневно отдавая детей своих в пищу змею на берегу озера, тот сына своего, другой же дочь свою, рыдая и плача безмерно. Выходил змей, и уносил их, и поедал.
Егда же вси людие отъдаша своя чада, абие пришедше, рекоша ко царю: «Владыко, вси мы отъдахомъ своя чада единъ отъ другаго, кождо нас по ряду. Что убо велиши по сих?» И отъвѣщавъ царь и рече: «Дам и азъ единородную мою дщерь, и по сих, еже ми явят безсмертнии бози, то паки и совѣщаемъ». Призвав же царь единородную свою дщерь и облече ю въ багряницу и облобызавъ ю, и плакався много, и повелѣ вести ея на погибель ко змию. Приведше же и поставиша ю при езере.	Когда же все жители отдали своих детей, снова придя, сказали царю: «Господин, все мы отдали своих детей одного за другим, каждый из нас по очереди. Что повелишь ты теперь?» И, отвечая, сказал царь: «Отдам и я единственную мою дочь, а затем — что откроют мне бессмертные боги, так и решим». Призвав единственную свою дочь, обрядил царь ее в багряницу и, поцеловав и горько оплакав, повелел отвести на погибель к змею. И, отведя, оставили ее у озера.
Святый же и великий мученикъ и страстотерпецъ Христовъ Георгие, почтенный отъ небеснаго царя воинъ, и по смерти живый, сияя великими чудесы, по смотрению убо Божию хотя спасти насъ погибающихъ и избавити града нашего отъ толикия бѣды, в той убо часъ приста на мѣсте том, якоже нѣкии воинъ, грядый отъ рати, и со тщанием во свое отечество идый. Видѣв же отъроковицу великий и преславный мученикъ Георгий при краи езера, и вопроси ея, глаголя: «Что здѣ стоиши, отроковице?» Она же рече ему: «Отойди, господи мой, отсюду, скоро отойди, да не злѣ умреши». Отъвещав же святый Георгий, и рече ко отъроковицы: «Что глаголеши, о дѣвице, разбойницы ли суть здѣ или ино что?» Отроковица же рече: «Змий есть страшен, внутрь гнездяся во езере сем; нынѣ убо молю тя, господи мой, отъступи отъсюду: вижду убо добрый твой зракъ и возрастъ и свѣтлость, и красоту лица твоего, и молю тя: отоиди отсюду скоро, да не злѣ умреши». Глагола ей святый и великий мученикъ Георгий: «Ты же почто сѣдиши здѣ, а не отъходиши?» Глагола отъроковица: «Много есть слово мое, еже изрещи тебѣ и сказати, еже о мнѣ, еда како приидетъ змий и тебе со мною восхитит». И глагола ей святый и великий мученикъ Георгий: «Рцы ми, отъроковице, истину, не бойся — не оставлю тебе». И отъвѣща ему отроковица трепещущи: «Видиши ли, господи мой, яко град сей великъ и добръ есть зѣло, и велие угобзение его во всем: и не хощетъ отецъ мой изыти и оставити град сей. Есть убо здѣ змий великъ и страшен зѣло во езере семъ, и снедает людей много, и совещаша гражане со царемъ, отцемъ моимъ, и даша по вся дни кийждо их по ряду чада своя в пищу змиеви; прииде же ряд и на царя, отца моего, и мене, единородну имѣя дщерь едину и не хотя разорити повелѣния своего, повелѣ и мене дати на снѣдение змию. И уже, господи мой, вся тебѣ исповѣдах; отъиди отъсюду скоро, преже даже не приидет змий и восхитит тя».	Святой же и великий мученик, страдалец за веру Христову Георгий, чтимый небесным царем воин, который жил и по смерти, сияя великими чудесами, по Божьему соизволенью желая спасти нас, гибнущих, избавить город наш от этой напасти, в тот же час оказался на месте том в виде простого воина, идущего с битвы и спешащего в родные места. Увидев на берегу озера отроковицу, великий и славный мученик Георгий спросил ее, так говоря: «Зачем здесь стоишь ты, отроковица?» Она же ответила ему: «Отойди, господин мой, отсюда, скорее отойди, чтоб не погибнуть жестоко». Отвечая, святой Георгий сказал отроковице: «О чем говоришь ты, девица, разбойники здесь или что другое?» Отроковица же сказала: «Змей страшный здесь есть, гнездящийся в озере этом; теперь же тебя умоляю, господин мой, уйди отсюда: я вижу приятный твой вид, и младость, и блеск, и красоту лица твоего, и тебя умоляю: отойди отсюда скорее, чтоб не погибнуть жестоко». Спросил ее святой и великий мученик Георгий: «А ты почему здесь сидишь, не уходишь?» Ответила отроковица: «Многое могла бы я тебе поведать и рассказать, говоря о себе, но как бы змей не пришел и со мною тебя не похитил». И сказал ей святой и великий мученик Георгий: «Говори мне правду, отроковица, не бойся — не оставлю тебя». И отвечала ему отроковица дрожа: «Видишь ли, господин мой, как город этот велик, и очень красив, и процветает во всем: потому и не хочет отец мой уйти и оставить город этот. Однако живет здесь, в озере этом, змей, огромный и страшный безмерно, и поедает много людей; и порешили жители вместе с царем, отцом моим, и давали они ежедневно, каждый в черед свой, детей своих на съедение змею; дошел черед и до царя, отца моего, и меня, хотя имел он одну-единственную дочь, но, не желая нарушить решенье свое, повелел и меня отдать на съедение змею. И вот, господин мой, все я тебе рассказала; уходи отсюда скорей, пока не явился тот змей и тебя не унес».
Слышав же сия великий мученикъ и страстотерпецъ Христовъ Георгий, и глагола к женѣ: «Не бойся, отъроковице!» Абие же возрѣвъ на небо рабъ Божий и помолися, глаголя: «Безначалне, живоначалне, Боже всего мира, не имый начала ни конца, положивый времена и лѣта, солнце на область дней, луну же на просвѣщение нощи, послушавый святыхъ твоихъ апостолъ пославъ имъ Духъ той Святый, послушай и мене, недостойнаго раба твоего, и покажи на мнѣ древняя твоя милости и покори лютаго сего звѣря под ногами моима, да видятъ и вѣру имутъ вси, яко ты ес единъ Богъ и развѣе тебе иного не вѣмы». И сия рекшу святому и великому мученику Георгию, прииде ему глас с небеси, глаголя: «Дерзай, Георгие, не обратится тощь глаголъ твой, еже аще возглаголеши».	Услышав же это, великий мученик и страдалец за веру Христову Георгий отроковице сказал: «Не бойся, отроковица!» И тут же, на небо воззрев, помолился раб Божий, так говоря: «Безначальный, живоносный, Бог мира всего, не имеющий ни конца, ни начала, создавший времена и годы, солнце в течение дней и луну в освещение ночи, внимавший святым своим апостолам, передавший им Дух свой Святой, выслушай и меня, недостойного раба твоего, и покажи на мне прежние твои милости, и повергни лютого этого зверя к ногам моим, пусть видят и пусть все поверят, что ты лишь один — Бог, и, кроме тебя, другого не знаем». И только сказал так святой и великий мученик Георгий, раздался голос с небес, говорящий: «Георгий, дерзай, не останется тщетным твой глас, когда ты попросишь».
Внезапу же отъроковица возопи, глаголющи: «Бѣжи, о человѣче, отъсюду: се бо змий свища грядетъ». И абие, мало поступивъ, святый мученикъ Христовъ Георгие зря, езеро возмутившюся взятся превеликий змий, воздвиже главу свою, яко камару, изину, яко пропастию, грядый же, рыкая на святого, понеже и на девицу. Сотвори же абие знамение Христово на земли святый Георгие и рече: «Во имя Исуса Христа, сына Божия, покорися, горки звѣрю, и гряди вослѣдъ мене». И абие силою Божиею и великого мученика и страстотерпца Христова Георгия паде под колѣньми ногъ его страшный онъ змий. И глагола святый и великий мученикъ Георгий отроковицы: «Отрешивши поясъ твой и уже узды коня моего и свяжи змия за главу; влецы его и поиди во град». Она же сотвори, якоже повелѣ ей святый и великий мученикъ Христовъ Георгий. И идяше вослѣдъ ея страшный онъ змий, пресмыкаяся по земли, яко овча на заколение. Отъроковица же влечаше его, радующеся и веселящися.	Внезапно отроковица вскричала, говоря: «Беги, человек, отсюда: вот уж змей с посвистом идет». И тут же, отпрянув слегка, страдалец за веру Христову святой Георгий увидел, как из взбурлившего озера явился огромный змей, поднял голову свою, точно свод, и пасть раскрыл, будто пропасть, и с ревом пошел на святого и на девицу. Но тотчас, знамение Христово начертав на земле, святой Георгий сказал: «Во имя Иисуса Христа, сына Божия, покорись, жестокий зверь, и ступай вслед за мною». И сразу же силою Божьей и великого мученика и страдальца за веру Христову Георгия рухнул к ногам его страшный змей. И сказал святой и великий мученик Георгий отроковице: «Сними пояс твой и поводья коня моего и свяжи ими голову змея, волочи его и иди в город». Она и сделала то, что велел ей святой и великий мученик за веру Христову Георгий. И шел вслед за нею страшный тот змей, волочась по земле, как овца на закланье. Отроковица же волокла его, радуясь и веселясь.
Царь же, отецъ ея, и мати ея в той день рыдающе бяху и плачущеся зѣло отъроковица ради. И внезапу видевше отроковицу, влекущу змия, и чудотворца святаго Христова и великого мученика и страстотерпьца Георгия, преди идуща, ужаснув же ся зѣло, начатъ бежати. Святый же и великий мученикъ Христовъ и чюдотворецъ Георгий возгласи имъ велиимъ гласомъ, глаголя: «Не бойтеся! аще вѣруете во Христа, въ негоже азъ вѣрую, узрите свое спасение днесь». Царь же стрѣтъ его и глагола ему: «Како нарицается имя твое, господи мой?» Он же рече ему: «Георгие нарицается». Тогда воздвигоша людие вси единъ глас, глаголюще: «Тобою вѣруемъ во единаго Бога Вседержителся и во единороднаго Сына его, Господа нашего Исуса Христа и во Святый животворящий Духъ». Тогда святый и великий чюдотворецъ Георгие простеръ руку и извлекъ мечь свой, отъсѣче главу лютаго оного звѣря. Тогда видѣвъ царь и вси людие, приступиша абие и поклонишася ему, хвалу воздающу Богу и угоднику его великому чюдотворцу Георгию. И повелѣ царь создати церковь во имя преславнаго и великого мученика и страстотерпьца Христова Георьгия и украси церковь ону златомъ и сребромъ и камениемъ драгимъ. И повелѣ память его творити месяца апрѣлия въ 23 день.	Царь же, отец ее, и мать ее в тот день рыдали и плакали очень об отроковице этой. Но, внезапно увидев отроковицу, волочащую змея, и чудотворца святого, великого мученика и страстотерпца Георгия, идущего впереди, испугавшись ужасно, пустились бежать. Святой же и великий мученик за веру Христову и чудотворец Георгий воскликнул громким голосом, говоря: «Не бойтесь! если веруете в Христа, в которого верую я, то увидите ныне спасенье свое». Царь же, выйдя навстречу ему, сказал ему: «Как зовут тебя, мой господин?» Он же ответил: «Георгием зовут». Тогда воскликнули люди все как один, говоря: «Тобою веруем в единого Бога Вседержителя и в единого Сына его, Господа нашего, Иисуса Христа, и в Святой животворный Дух». Тогда святой и великий чудотворец Георгий, протянув руку, извлек меч свой и отрубил голову лютому зверю. Увидев все это, царь и все жители тотчас подошли и поклонились ему, Богу хвалу воздавая и угоднику его великому чудотворцу Георгию. И повелел царь построить церковь во имя многославного и великого мученика и страдальца за веру Христову Георгия и украсил ту церковь золотом и серебром и дорогими каменьями. И повелел поминать его в месяц апрель в двадцать третий день.
