ОТ СТРАННИКА СТЕФАНОВА НОВОГОРОДЦА	ИЗ СТРАННИКА СТЕФАНА НОВГОРОДЦА
Азъ, грѣшный Стефанъ из Великаго Новагорода, съ своими другы осмью приидох въ Царьградъ[1] поклонитися святым мѣстом и цѣловати телеса святых. И помилова ны Богъ святыи Софеи Премудрость Божия. В недѣлю Страстную приидохом въ град, и идохомъ къ святѣй Софеи.[2]	Я, грешный Стефан из Великого Новгорода, с восемью спутниками своими пришел в Царьград поклониться святым местам и приложиться к мощам святых. И помиловал нас Бог заступничеством святой Софии Премудрости Божьей. В Страстную неделю пришли мы в город и пошли к святой Софии.
Ту стоить столпъ чюденъ[3] вельми толстотою и высотою и красотою, издалеча с моря видѣти его. И на верху его сѣдить Иустинианъ Великы на конѣ велми чюденъ: аки живъ, в доспѣсѣ сороцинском, грозно видѣти его, а в руцѣ яблоко злато велико, а вь яблоцѣ крестъ, а правую руку от себе простеръ буйно на полъдни на Сороциньскую землю, къ Иерусалиму. Суть же инии стлъпове мнози по граду стоятъ от камени мрамора, много на них писаниа от връха и до долу писано рытию великою. Много дивитися и умъ не можеть сказати: желѣзо камени того не иметь.	Тут стоит столп, изумительный своей толщиной, и высотой, и красотою, издалека с моря видно его. А наверху его Юстиниан Великий сидит на коне, достойный великого удивления: как живой, в доспехе сарацинском, трепет охватывает при виде его; а в руке у него большое золотое яблоко, а на яблоке крест, а правую руку отважно простер на юг, к Сарацинской земле, к Иерусалиму. И множество других столпов в городе стоит из камня мрамора, много на них, от самого верха и до низа, надписей и украшений, искусно вырезанных. Очень это удивительно и уму непостижимо: железо камня того не берет.
А от того столпа Устинианова внити въ двери святыя Софии в первыя двери, поступивъ мало — въ другия, и 3-е, и 4-е, и 5-е, и в шестые, тож в седмые двери внити въ святую Софѣю, великую церковь. И, пошед мало, обратитися на западъ и възрѣти горѣ на двери: ту стоит икона святы Спасъ. О той иконѣ рѣчь в книгах пишется, того мы не можем исписати. Ту бо поганы иконоборец лѣствицю пристави, въсъхотѣ съдрати вѣнець златый, и святая Феодосиа опроверже лѣствицю и расзби поганина, и ту святую заклаша рогом козьим.	А пойдя от того столпа Юстинианова, можно войти в двери святой Софии, в первые двери, отступя немного — в другие, и в третьи, и в четвертые, и в пятые, и в шестые, также и в седьмые двери можно войти в святую Софию, великую церковь. И, пройдя немного, нужно повернуть на запад, и посмотреть вверх на двери: тут стоит икона святого Спаса. О той иконе написан рассказ в книгах, которого мы не можем здесь переписать. Тут ведь поганый иконоборец приставил лестницу, хотя содрать венец золотой с иконы, и святая Феодосия оттолкнула лестницу и погубила поганого, и тогда святую закололи козьим рогом.
И оттоле мало пошед, видѣхомъ множьство народа, цѣлующе Страсти Господни,[4] и възрадовахомся велми, зане бо без слезъ не мощно приити къ Страстем Господнимъ. И ту видѣ нас царевъ боляринъ, ему же имя протостратарь,[5] и допровади ны до Страстей Господних, Бога ради, и цѣловахомъ, грѣшнии. По той же сторонѣ, поступивше мало, ту на стѣнѣ Спасъ, мусеею утворенъ, и вода святая от язвъ гвоздинных от ногу его идет, и ту цѣловахом; и помазаша ны масломъ и напои водою святою. И ту стоятъ столпове от камени краснаго мрамора, оковани чюдно, в них же лежать мощи святых.[6] Ту люди прикасаются, идѣже кого болить, здравие приемлют. И ту видѣ нас святый патриархъ Царяграда, ему же имя — Исидоръ,[7] и цѣловахом в руку его, понеже бо велми любить Русь. О великое чюдо смирениа святых! Не наш обычай имѣютъ.	И оттуда немного пройдя, увидели мы множество людей, которые прикладывались к Страстям Господним, и сильно возрадовались, потому что ведь нельзя без слез прийти к Страстям Господним. И тут увидел нас царев боярин, который зовется протостратором, и он провел нас к Страстям Господним, Бога ради, и приложились мы к ним, грешные. По этой же стороне, отступя немного, на стене Спас, изображенный мозаикой, и течет святая вода из ран от гвоздей на ногах его, и приложились мы к нему; и помазали нас маслом, и напоили водою святой. И тут стоят столпы из камня, красного мрамора, искусно окованные, а в них лежат мощи святых. К ним люди прикасаются тем местом, которое болит, и выздоравливают. И тут увидал нас святой патриарх Царьграда, а имя его — Исидор, и мы приложились к руке его, потому что он очень любит Русь. О великое чудо смирения святых! Не наш у них обычай.
Оттолѣ идохомъ къ святому Арсению патриарху и цѣловахом тѣло его, и помаза ны старець маслом его. И то все идет посолнь въ церкви той.	Оттуда пошли мы к святому Арсению-патриарху и приложились к мощам его, и помазал нас старец маслом с гробницы его. И все это следует одно за другим в церкви той, если идти посолонь.
И оттолѣ пошедше въ двери из церкви, итти промеж стѣнъ со свѣщею, обходя акы кругомъ.	И оттуда пошли мы в двери из церкви, передвигаясь по галереям со свечою, обходя церковь как бы вокруг.
Тамо же стоить икона святы Спасъ велми чюдна, и то зовется Елеоня гора,[8] по подобию, якоже и въ Иерусалимѣ. Оттоле, пошед къ олтарю, стоятъ столпи велми красны, подобни аспиду; ту же есть в великомъ олтарѣ колодяз, от святаго Иердана явися. Стражи бо церковнии выняша изь кладязя пахирь, и познаша каликы рускыя, Греци же не яша вѣры, русь же рѣша: «Нашь пахирь есть, — мы купахомся и изронихом на Иерданѣ, а во днѣ его злато запечатано». И разбивше ставець и обрѣтоша злато, и много дивишася, се бо чюдо сътворися Божиим повелѣниемъ, то ся нарече «Иерданъ».	Там же стоит дивная икона святого Спаса, и это называется Елеонская гора, подобно тому, как и в Иерусалиме. Оттуда, если идти к алтарю, стоят столпы очень красивые, как будто из яшмы. Тут же в великом алтаре есть колодец, который водой наполнился от святой реки Иордана. Вот как стало это известно: стражи церковные нашли в колодце ковш, а ковш этот признали своим странники русские. Греки же не поверили, тогда русские сказали: «Наш это ковш, — мы купались в Иордане и уронили его, а в дне его сокрыто золото». И разбили ковш, и нашли золото, и сильно изумились; это чудо свершилось по Божьему повелению, поэтому колодец тот называется «Иордан».
И вышедше из великого олтаря на лѣвую руку посолнь — и ту кандило велико с маслом сткляно падеся от высоты и не разбися, ни огнь не угасе. Аще бы желѣзно было, то да бы ся разбило, но нѣкая сила невидимая поставила на камени. И ту близ трапеза каменна святого Авраама, ему же Богъ въ Троици явися под дубом Амаврийскым; той дубъ зелено лѣствие имѣет и зимѣ и лѣтѣ, и до скончяниа вѣку, огороженъ каменем высоко, сороцина стрегуть его. Ту же одръ лежить желѣзенъ, на нем же святых мученикъ мучиша, поставивше на огнѣ. У того одра множество люди приходитъ и приемлють исцѣление, и цѣловахом его. И ту стоятъ стлъпове от камени багряна, красни велми, пропестри, аспиду подобни; видети в них человѣку лица своего образ, аки в зерцало; от великого Рима привезени суть.	И если пойти от великого алтаря налево посолонь — тут огромная лампада стеклянная, наполненная маслом; однажды упала она сверху и не разбилась, и огонь не погас. Если бы даже железной была, то и тогда разбилась бы, но эту некая сила невидимая поставила невредимой на камне. И тут вблизи алтарь каменный святого Авраама, ему же Бог в Троице явился под дубом Мамврийским (тот дуб стоит с зелеными листьями и зимой, и летом, и так до скончания века, огражден он высокой каменной оградой, и сарацины охраняют его). Тут же и ложе находится железное, на котором святых мучеников мучили, ставя ложе на огонь. К тому ложу множество людей приходит и исцеляются, и мы приложились к нему. И тут стоят столпы из камня багрового цвета, с разводами, очень красивые, будто из яшмы; и человек видит в них свое лицо, словно в зеркале; привезены они из великого Рима.
Имать же святый Софеи множьство кладязъ съ сладкими водами, оприч тѣх, иже въ стѣнах церковных и промежу стѣнъ, и не познати их равно со дном, рекше, помостом церковным. Суть же колца желѣзны вбиваны въ мраморъ, мрамор бо зовется камень гладокъ и красенъ вельми. Тако же и кандилъ множество неисчетно въ святой Софии: иная же въ предѣлех и в комарах, а инии въ стѣнах и промежи стѣнъ и во улицах церковных, идѣже иконы великыя стоят, и ту кандила с маслом древяным горят. И ту, грѣшнии, приходихом съ слезами и радостию, по силѣ свѣщи подавахом, тако же и у мощей святых. Святы Софеи имат дверей 365, тако же и престолов, окованы хитро велми. Инии же от них загражени за оскудѣние.	В святой Софии множество колодцев с очень вкусной водой, кроме тех, которые имеются в стенах церковных и в галереях, и их трудно заметить, так как они вровень с полом, то есть с помостом церковным. В мрамор (а мрамором называется камень гладкий и очень красивый) вбиты железные кольца. И лампад несчетное множество в святой Софии: одни в приделах и в нишах, а другие — на стенах, и между стен, и в церковных галереях, где великие иконы стоят, и тут лампады с деревянным маслом горят. И мы, грешные, ходили здесь, плача и радуясь, и, по силе своей, жертвовали свечи, и ставили их у мощей святых. В святой Софии триста шестьдесят пять дверей и столько же престолов, и двери окованы очень искусно. Некоторые же из них замурованы из-за оскудения средств.
А о святѣй Премудрости Божии умъ человѣчь не может сказати и исчести, но что видѣхом, и написахом.	А о святой Премудрости Божьей ум человеческий не в силах все рассказать и перечислить, а мы что видели, про то и написали.
Идучи же от святыа Софии мимо столпъ Иустиниановъ, мимо малы тръгъ, нарицаемы Милии, мимо святаго Феодора, на гору поити великою улицею — Царевым путемъ. Подшед не далече доброго стрѣлца перестрѣлъ, ту стоить столпъ правовѣрнаго царя Констянтина от багряна камени, от Рима привезенъ. На връх его крестъ, в том же столпѣ 12 коша укрух,[9] ту же и секира Ноева лежит. Ту патриархъ лѣто провожаеть.	Идя от святой Софии мимо столпа Юстинианова, мимо небольшой торговой площади, называемой Милией, мимо церкви святого Феодора, выйдешь на гору большой улицей — Царевым путем. Пройдешь не больше, чем на расстояние выстрела хорошего стрельца, и тут стоит столп правоверного царя Константина из багряного камня, привезенный из Рима. На верху его крест, а в столпе том двенадцать корзин с ломтями хлеба, и секира Ноева там же лежит. В этом месте патриарх проводит лето.
И оттоле идохомъ назад къ святѣй Софеи, ту близ церкви великия Ирина святая,[10] а оттоле недалече святая Богородица монастырь женскы, зовомъ Итерапиотица, ту лежит святая Евдокиа. И оттуду на подолъ к морю идучи, святы великы мученикъ Георгий, нарицаем Ирюни, рекше — «Непобѣдимая сила». Ту стоят Страсти Господня, замчены и запечатаны царевою печятию. На Страстной недѣли царь сам с патриархом отпечатывают и цѣлуют, а потомъ не възможно их видѣти никомуже. Ту лежит тѣло святы Анны, и цѣловахом, грѣшнии. И ту за стѣною над морем явися Христосъ самъ, и ту церковь, нарицаемая «Христос стоит», ту лежит множество болящих, и от инѣх градов привозят, и приимают исцѣлениа. И ту лежит святы Аверкии, и цѣловахом тѣло его. То бо мѣсто подобно есть Силуямли купѣли, иже въ Иерусалимѣ.	И оттуда пошли мы назад к святой Софии, тут вблизи большая церковь святой Ирины, а невдалеке от нее женский монастырь святой Богородицы, называемый Итерапиотица, тут лежат мощи святой Евдокии. А оттуда, если идти вниз к морю, — монастырь святого великомученика Георгия, называемый Ирюни, что значит — «непобедимая сила». Здесь находятся Страсти Господни, которые закрыты и запечатаны царевой печатью. На Страстной неделе царь сам с патриархом открывают и прикладываются к ним, а после того невозможно их видеть никому. Тут лежат мощи святой Анны, и мы, грешные, к ним приложились. И тут за стеною над морем явился сам Христос, и тут церковь, называемая «Христос стоит»; здесь пребывает множество больных, которых и из других городов привозят, и получают они исцеление. И тут лежит святой Аверкий, и мы приложились к мощам его. Это место похоже на Силоамскую купель, которая находится в Иерусалиме.
И оттоле идохомъ в монастыръ святыя Богородица, иже зовется Перечь.[11] Ту лежит глава Иоанна Златоустаго,[12] и поклонихомся и цѣловахом. И оттолѣ идохом в монастырь Понахрандов,[13] ту — глава святаго Василиа.[14] И оттоле не далече монастырь Пандънасу,[15] и ту суть Страсти Господни, на двое раздѣлены.	И оттуда мы пошли в монастырь святой Богородицы, который называется Перечь. Тут лежит голова Иоанна Златоуста, и мы поклонились и приложились к ней. И оттуда пошли в монастырь Панахрандов, здесь — голова святого Василия. И недалеко отсюда монастырь Пандассы, и здесь хранятся Страсти Господни, разделенные надвое.
И оттоле идохом, въ вторникъ, къ святѣй Богородици выходнѣй иконѣ,[16] ту бо икону Лука евангелистъ написалъ, позираа на самую госпожу дѣвицу Богородицю, и еще живе и́ сущи. Ту икону въ въсякой вторникъ выносят. Чюдно велми зрѣти: ту сходится весь народ, и из градовъ. Икона же та велика велми, окована гораздо, и пѣвци пред нею поют красно, а народи вси зовут: «Кирьелѣсонъ», с плачем. Единому человѣку въставят на плеща встанно, а он руцѣ распрострет, аки распятъ, тако же и очи ему запровръжеть, видети грозно, по буевищу мычет его сѣмо и овамо, велми силно повертывает им, а онъ не помнит ся куды его икона носит. Потом другий похватить, и той тако же, таже третей и четверты подхватывают, а онѣ поют с диакы пѣние велико, а народ зовет: «Господи, помилуй!» с плачем. Два диакона держать рипиды,[17] а иные кивотъ пред иконою. Дивно видѣние: 7 человѣкъ или 8 въставят на плеча одиному человѣку, а онъ, аки простъ, ходитъ изволением Божиим.	И оттуда, во вторник, пошли мы к выходной иконе святой Богородицы, эту икону Лука-евангелист написал, смотря на саму госпожу нашу Богородицу-деву, когда она еще жива была. Ту икону в каждый вторник выносят. Удивительное это зрелище: тогда сходится весь народ, и из других городов приходят. Икона же эта очень большая, искусно окованная, и певцы, идущие перед нею, красиво поют, а весь народ с плачем восклицает: «Господи, помилуй!» Одному человеку поставят икону на плечи стоймя, а он руки распрострет, словно его распяли, и глаза у него закатятся, так что смотреть страшно, и по площади бросает его туда и сюда, и вертит его в разные стороны, а он даже не понимает, куда его икона носит. Потом другой подхватит ее, и с тем бывает так же, а затем и третий, и четвертый подхватывают, и они поют с дьяконами пение великое, а народ с плачем взывает: «Господи, помилуй!» Два дьякона держат рипиды, а остальные киот перед иконой. Дивное зрелище: семь человек или восемь поставят икону на плечи одному человеку, а он, изволением Божиим, ходит, будто ничем не нагруженный.
И оттуду, идучи к монастырю Инѣяклесиа, рекше къ 9-и чиномъ церкви и въ одиной церкви ту Христос велми гораздо, аки живъ человѣкъ, образно стоить, не на иконѣ, но собою стоить. Ту же дворъ, нарицается «Полата правовѣрнаго царя Констянтина»: стѣны его высоки велми, выше городных стѣн, великъ, граду подобенъ, под подрумием стоит, при мори. Ту близ монастырь Сергиа и Вакха, и цѣловахом главы ею. То все посолнь водится, подръживая по лѣвую руку городную стѣну, възлѣ море.	И оттуда, когда идешь к монастырю Инеяклесиа, то есть к церкви Девяти чинов, есть одна церковь, в которой Христос изображен весьма искусно: не на иконе написан, а стоит сам по себе, как живой человек. Тут же дворец, который называется «Палата правоверного царя Константина»; стены, окружающие его, очень высоки, выше городских стен; он так велик, что подобен городу, стоит подле ипподрома, невдалеке от моря. Тут вблизи монастырь Сергия и Вакха, и мы приложились к головам их. То все идет посолонь, возле моря, если идти, придерживаясь по левую руку от городской стены.
От подрумия поити мимо Кандоскамии,[18] туто суть врата городная желѣзна решедчата, велика велми; тѣми бо враты море введено внутрь города. И коли бываетъ рать с моря, и ту держат корабли и катарги, до треюсотъ. Имѣет же катарга веслъ 200, а иная 300 весел, в тѣх судех по морю рать ходить. А оже будет вѣтръ, а они бѣжат и гонят, а корабль стоит — погодия ждеть.	Если от ипподрома пойти мимо Кандоскамии, то здесь есть городские ворота — железные, решетчатые, очень большие; этими воротами море введено внутрь города. И на тот случай, если приходит враг с моря, здесь держат корабли и гребные суда, числом до трехсот. Гребное же судно имеет двести весел, а некоторые — триста весел, в этих судах по морю войско передвигается. И если будет противный ветер, то они все равно быстро идут и преследуют врага, корабль же стоит — ожидает попутного ветра.
А оттоле идохом къ святому Димитрию, ту лежит тѣло святаго царя Ласкариасафа, тако бо бѣ имя его, и цѣловахомъ, грѣшнии, тѣло его. Той есть монастырь царевъ, стоить при мори, и ту есть близ монастыря того живет жидовъ много при мори, възлѣ городную стѣну, и врата на море зовутся Жидовская. И ту было знамение: приходилъ Хозрой,[19] царь перскы, ратию къ Царюграду, и уже хотяше взяти град, и бысть въ Цариградѣ плачъ великъ. Тогда прояви Богъ старцу нѣкоему и рече: «Вземше поясъ святыя Богородица, и омочите конець его в море». И сътвориша тако с пѣниемъ и плачем, и възмутися море и разби корабля их о градную стѣну. Тоже и нынѣ кости их бѣлѣются, аки снѣгь, при градной стѣнѣ, близ Жидовскых вратъ.	А оттуда мы пошли к святому Димитрию, тут лежат мощи святого царя Ласкариасафа (таково его имя), и приложились мы, грешные, к мощам его. Там есть монастырь царев, стоит около моря, и около монастыря того живет иудеев много на побережье, возле городской стены, и ворота морские зовутся Иудейскими. И свершилось здесь знамение: приходил Хозрой, царь персидский, войной на Царьград, и уже должен был он захватить город, так что был в Царьграде плач великий. Тогда явился Бог старцу некоему и сказал: «Взяв пояс святой Богородицы, омочите конец его в море». И сделали так с песнопениями и плачем, и разбушевалось море, и разбило корабли Хозроя о городскую стену. И вот и доныне кости погибших белеют, как снег, около городской стены, возле Иудейских ворот.
Таже идохом ко святому Иоанну, въ Студискы монастырь, много бо суть ту видѣниа — не възможно писати — и цѣловахом тѣло святаго Савы повара: 40 лѣт варилъ на братию ясти. А другое — тѣло святыя Соломаниды. И ту стоит лотокъ, на нем же вообразися святая Богородица съ Христомъ: проскурникъ всыпа муку на доску и възлия воду, и въскрича отрочя в муцѣ на доскѣ. И проскурник, ужасеся, тече къ игумену и братии. И прииде игумен и братия и видѣша на досцѣ образ святыя Богородица съ младенцем съ Христомъ. Церковь же та велика велми и высока, полатою сведена, иконы в ней, аки солнце сиають, велми украшены златом, а дно церковное — много дивитися: аки женчюгом иссажена, и писцу тако не мощно исписати. Тако же и трапеза, идѣже братия ядять. Велми чюдно, паче инѣх монастырей, стоит на краи, близ Златых вратъ. Ту жилъ Феодоръ Студискы[20] и в Русь послал многы книги: Устав, триоди и ины книгы.	Потом пошли мы к святому Иоанну, в Студийский монастырь, где много всего видели — и описать невозможно — и приложились там к мощам святого Саввы-повара: сорок лет варил он еду на братию. А другие мощи — святой Соломониды. И тут стоит доска для раскатывания теста, на которой само по себе появилось изображение святой Богородицы с Христом: просвирник насыпал муку на доску и вылил воду, и из муки на доске раздался крик ребенка. И, ужаснувшись, просвирник бросился к игумену и братии. И пришли игумен и братия, и увидали на доске образ святой Богородицы с младенцем Христом. Церковь же эта велика очень и высока, с коробовым сводом, иконы в ней, как солнце, сияют, сплошь украшены золотом, а пол церковный великого удивления достоин: будто жемчугом усыпан, и изограф так не сможет изобразить. Так же и трапеза, где братия ест. Очень красив он, прекраснее других монастырей, стоит на окраине города, близ Золотых ворот. Тут жил Феодор Студийский, и на Русь послал он много книг: Устав, триоди и иные книги.
