ПОСЛАНИЕ АРХИЕПИСКОПА НОВОГОРОДСКАГО ВАСИЛИЯ КЪ ВЛАДЫЦѢ ТФѢРЬСКОМУ ФЕОДОРУ	ПОСЛАНИЕ АРХИЕПИСКОПА НОВГОРОДСКОГО ВАСИЛИЯ К ВЛАДЫКЕ ТВЕРСКОМУ ФЕОДОРУ
Василий, милостью Божиею архиепископъ Новагорода, священному епископу Феодору Тфѣрьскому, еже о Господѣ брату: благодать и миръ от Бога-Отца, Вседержителя, и твоему священьству, и всему священному събору, игуменомъ, и попомъ, и дѣтемъ твоимъ.	Василий, милостью Божией архиепископ Новгорода, священному епископу Феодору Тверскому, брату о Господе: благодать и мир от Бога-Отца, Вседержителя, тебе и твоему священству, и всему священному собору, игуменам и попам, и детям твоим духовным.
Понеже увѣда смирение наше и святый сбор священный, игумени, иерѣи, что ся учинило у вас въ Тфѣри промежи вами, в тѣхъ людех Божиих, поспѣшениемъ и по съвѣту дьяволю и лихих людей, якоже бо слышахом, распрю, бывшюю в васъ о ономъ честномъ раю, и пребых много дний о взыскании исправлениа Божественаго закона. Тѣмь, еже изысках, и се пишу к тебѣ, понеже, брате, по Божию повелѣнию, должъни есми другъ къ другу посланиа творити о исправленыхъ намъ Божественых писаний отъ святых апостолъ и великих святитель, якоже бо тѣ святии апостоли бес престаниа посланиа творяху другъ къ другу, такоже и намъ подобно есть, в нихъ бо мѣсто поставлени есмы. Кто во что позванъ, тотъ в томъ пребывает.	Узнало смирение наше и весь святой священный собор, игумены и священнослужители, что учинилось у вас, в Твери, между вами, людьми Божиими, умышлением и советом дьявольским и лихих людей, — распря, как слышали мы, о честном рае; и провел я много дней в стремлении постигнуть истину в познании Божественного закона. И то, что нашел я, то и пишу тебе, ибо должны мы, брат, по Божию повелению друг к другу послания творить о понятых нами Божественных писаниях святых апостолов и великих святителей, подобно тому, как и сами те святые апостолы беспрестанно послания творили друг к другу; так и нам подобает делать, ибо на их место поставлены мы. Кто на что призван, тот пусть в этом пребывает.
Слышахъ, брате, что повѣстуеши: «Рай погиблъ, в нем же был Адамъ».	Слышал я, брат, что говоришь ты: «Рай, в котором был Адам, погиб».
Ино, брате, о того есмы погибели не слыхали, ни в Писании где обрѣли о томъ святомъ раю, но всѣ вѣдаемъ от святаго Писаниа, что насади Богъ рай на въстоцѣ, въ Едемѣ,[1] и введе в онь человѣка, и заповѣда ему, рекъ: «Аще съблюдеши слово мое — живъ будеши, аще ли преступиши — смертью да умреши, в ту же землю поидеши, от нея же взятъ еси». И он же преступи заповѣдь Божию, и изгнанъ бысть из рая, и плачася горко, въпия: «О, раю святый! И еже еси мене ради насаженый и Евгы ради затвореный! Помоли тебе сотворшаго и мене създавшаго, да некли твоих цвѣтець насыщуся!»[2] Тѣмъ к нему Спасъ глаголя: «Моего създаниа не хощю погубити, но хощу спасти и в разумъ истины привести», обѣща ему паки внити в рай.	Но мы, брат, о гибели того рая не слыхали, и в Писании, где об этом святом рае пишется, о том не нашли, хотя все ведь знаем из святого Писания, что насадил Бог рай на востоке, в Эдеме, и ввел в него человека, и заповедал ему, сказав: «Если сохранишь заповедь мою — жив будешь, если же преступишь — смертью да умрешь, и в ту же землю пойдешь, из которой ты сотворен». И человек преступил заповедь Божию, и изгнан был из рая, и, горько заплакав, возопил: «О рай святой, меня ради посаженный и Евы ради затворенный! Умоли твоего Творца и моего Создателя, пусть хоть когда-нибудь вновь насыщусь я красотой цветения твоего!» Поэтому Спас человеку и говорил: «Не хочу я погубить мое создание, но хочу спасти и в разумение истины привести», и обещал ему, что вновь войдет он в рай.
А в Паремии именуются 4 рѣкы, идуть из рая — Тигр, Нил, Фисонъ, Ефраксъ[3] — со въстока; Нил же — под Египтомъ, ловять на немъ и силолои, течетъ же с высокыхъ горъ, и еже суть от земля и до небеси, а мѣсто непроходимо есть человѣкомъ, а верху его рахмане[4] живуть.	А в Паремии называются четыре реки, которые текут из рая, с востока, — Тигр, Нил, Фисон, Евфрат; Нил же — во владениях Египта, в нем вылавливают и алойные дерева; течет же он с высоких гор, которые возвысились от земли и до неба, и место это недоступно для людей, и в самом верхнем течении его рахманы живут.
А се, брате, в Прилозѣ всѣмъ явлено есть, в чюдесѣх святаго архаггела Михаила, что възмяи праведнаго Еноха, посади его въ честномъ раю. А се Илия святый и въ раи же сѣдить, находилъ его Агапей[5] святый и часть хлѣба взял. А святый Макарий за 20 поприщь жилъ от святаго рая. А Ефросимъ святый былъ в раю, и три яблока принеслъ изъ рая, и дал игумену своему Василию, от них же исцѣлениа многа быша.	А вот, брат, в Прологе, в описании чудес святого архангела Михаила, для всех засвидетельствовано, что, взяв праведного Еноха, посадил он его в честном раю. А вот и Илия святой в раю живет, встретил его там Агапий святой и кусок хлеба у него взял. И святой Макарий за двадцать поприщ жил от святого рая. А Ефросим святой был в раю, и три яблока принес из рая, и дал игумену своему Василию, от них же много исцелений было.
И нынѣ, брате, мнитъ ти ся мысленый рай, но все мыслено мнится видѣниемъ. А еже Христос рече въ Еуангелии о второмъ пришествии, и то ли мыслено сказаете? Сущимъ одесную себе речеть: «Приидѣте, благословении Отца моего, наслѣдуйте уготованое вамъ царствие преже сложениа миру». И сущимъ ошуюю себе речеть: «Отъидите от мене, проклятии, въ огнь вѣчный, уготованый диаволу и аггеломъ его». «Не вамъ бо, рече, уготовах мукы, но диаволу и аггеломъ его».[6]	И ныне, брат, ты думаешь, что существует только духовный рай, а все духовное представляется лишь как видение. А то, что Христос сказал в Евангелии о втором пришествии, вы разве и это считаете существующим только в воображении? Стоящим справа от него скажет Христос: «Придите, получившие благословение Отца моего, наследуйте царство, уготованное вам еще до создания мира». И стоящим слева от него скажет: «Отойдите от меня, проклятые, в огонь вечный, приготовленный дьяволу и слугам его». «Не вам, — сказал он, — приготовил муки эти, но дьяволу и слугам его».
О тѣх двою мѣсту великий Иванъ Златаустый[7] рече: «Насади Богъ рай на въстоцѣ, а на западѣ — муки уготова; якоже бо въ царевѣ дворѣ утѣха и веселие, а внѣ двора — темница».	Об этих двух местах великий Иван Златоуст сказал: «Насадил Бог рай на востоке, а на западе — муки приготовил, подобно тому как внутри царского двора — радость и веселие, а вне двора — темница».
А се священномученикъ Патрекѣй глаголеть:[8] «Два места уготова Богъ: едино исполнено благых, а другое — тмы и огня исполнено».	А вот что священномученик Патрикий говорит: «Два места приготовил Бог: одно — наполнено всем благим, а другое — тьмы и огня преисполнено».
То же, брате, не речено Богомъ видѣти человѣкомъ святаго рая, а мукы и нынѣ суть на западѣ. Много дѣтей моихъ, новогородцевъ, видоки тому на Дышучемь мори:[9] червь неусыпающий, и скрежеть зубный, и рѣка молненая Моргъ, и что вода входить въ преисподняя и пакы исходить 3-жды днемь.[10] И та вся мѣста мучимая не погибоша, а мѣсто се святое како погибе, повѣжь ми, брате, в немь же есть и Пречистая Богородица, и множесьтво святых, еже по въскресении Господни явишася многимъ въ Иерусалимѣ и паки внидоша в рай? Речено бо имъ есть: «Уже пламенное оружие не хранить вратъ Едемьскыхъ»; приде бо Спасъ мой, вопия вѣрнымъ: «Внидѣте паки в рай!»	К тому же, брат, не дано Богом видеть людям святой рай, а муки — и теперь находятся на западе. Многие из детей моих духовных, новгородцев, видели это на Дышащем море: червь неусыпающий, и скрежет зубовный, и река кипящая Морг, и вода уходит там в преисподнюю и вновь выходит наверх трижды за день. И если те все места мучений не погибли, то как же могло святое это место погибнуть, поведай мне, брат, — место, в котором и пречистая Богородица находится, и множество святых, которые после воскресения Господа явились многим людям в Иерусалиме и вновь вошли в рай? Ведь сказано было им: «Уже пламенное оружие не стережет ворот Эдема», ибо пришел Спас мой, призывая верных: «Войдите вновь в рай!»
