СКАЗАНИЕ О БЛАГОВѢРНЕМЬ КНЯЗИ ДОВМОНТѢ И О ХРАБРОСТИ ЕГО	СКАЗАНИЕ О БЛАГОВЕРНОМ КНЯЗЕ ДОВМОНТЕ И О ХРАБРОСТИ ЕГО
В лѣто 6773-е. Побишася Литва межи собою[1] нѣкиа ради нужа, блаженый же князь Домантъ съ друженою своею и съ всѣм родомъ своимъ оставль отечьство свое, землю Литовскую, и прибѣже в Плѣсков.[2] Си бысть князь Домонт от племени литовского,[3] прьвѣе имѣа ко идоломъ служение[4] по отцю преданию, егда Богь восхотѣ избрати собѣ люди новы, и вдохну в онь благодать Святого Духа, и възбнувся, яко от сна, от идолского служениа и помысли своими бояры креститися во имя Отца и Сына и Святого Духа. И крещен бысть въ соборной церкви, въ святѣй Троици,[5] и наречено бысть имя ему въ святомъ крещении Тимофѣй. И бысть радость велика во Плескове, и посадиша его мужи псковичи на княжение въ градѣ Псковѣ.	В 6773 (1266) году. Из-за какой-то распри побились литовцы друг с другом, блаженный же князь Довмонт с дружиною своей и со всем родом своим покинул отечество свое, землю Литовскую, и прибежал во Псков. Был этот князь Довмонт из рода литовского, сначала поклонялся он идолам по заветам отцов, а когда Бог восхотел обратить в христианство людей новых, то вдохнул в Довмонта благодать Святого Духа, и, пробудившись, как от сна, от служения идолам, решил он со своими боярами креститься во имя Отца и Сына и Святого Духа. И крещен был в соборной церкви, в святой Троице, и наречено было ему имя во святом крещении Тимофей. И была радость великая во Пскове, и посадили его мужи-псковичи на княжение в граде Пскове.
По неколицѣхъ днехъ помысли ехати съ мужи псковичи, съ 3-ми девяносты,[6] и плени землю Литовскую, и отечьство свое повоева, и княгиню Герденевую[7] полони и дѣти ея, и все княжение его повоева, и възратися съ множеством полона ко граду Плескову. Перебродився Двину, и отъеха за 5 верстъ, и ста шатры на бору чистѣ, а стражи постави на рѣцѣ на Двинѣ Давыда Якуновича, внука Жаврова, с Лувою с Литовникомъ. Двѣ же девяностѣ мужь отпровади с полономъ, а во едином девяносте сам ся оста, жда по собѣ погони.	Несколько дней спустя задумал Довмонт отправиться в поход с мужами-псковичами, с тремя девяносто, и покорил землю Литовскую, и отечество свое завоевал, и полонил княгиню Герденя и детей их, и все княжество его разорил, и направился со множеством пленных к граду Пскову. Перейдя вброд через Двину, отошел на пять верст и поставил шатры в бору чистом, а на реке Двине оставил двух стражей — Давыда Якуновича, внука Жаврова, с Лувою Литовником. Два же девяносто воинов он отправил с добычей, а с одним девяносто остался, ожидая погони.
Герденю же съ своими князи дома не бывшю, и приехаше в домы своя, аже домовѣ их и земля их вся пленена. Ополчився Гордений и Гойтортъ и Люмби и Югайло и прочии князи, в семисотъ погнаша в слѣд Домонта, хотяще его руками яти и лютой смерти продати, а мужи псковичи мечи иссѣчи, и пребродившеся Двину рѣку и сташа на брезѣ. И стражи же, видѣвше рать велику, пригнавше, поведавше Домонту: рать перебродилася Двину. Домонтъ же рече Давыду и Лувѣ: «Помози вама Богъ и святаа Троица, оже еста устерегла рать велику, полезьта доловъ». И рече Давыдъ и Лува: «Не лезова доловъ, хотя животъ свой дати на славѣ и кровь свою пролити с мужи съ псковичи за святую Троицу и за вся церкви святыа. А ты, господине княже, поеди борзо с мужи съ псковичи на поганую Литву». Домонт же рече псковичемъ: «Братьа мужи псковичи, кто старъ, то отець, а кто млад, той братъ! Слышалъ есмь мужество ваше во всѣх странах, се же, братья, нам предлежитъ животъ и смерть. Братья мужи псковичи, потягнѣте за святую Троицу и за святыа церкви, за свое отечьство!»	В то время Гердень и князья его были в отъезде, когда же приехали они домой, то увидели, что дома их и земля разорены. Ополчились тогда Гердень, и Гойторт, и Люмби, и Югайло, и другие князья, с семью сотнями воинов погнались вслед за Довмонтом, желая схватить его и лютой смерти предать, а мужей-псковичей мечами посечь; и, перейдя вброд реку Двину, встали они на берегу. Стражи, увидев войско великое, прискакали и сообщили Довмонту, что рать литовская перешла Двину. Довмонт же сказал Давыду и Луве: «Помоги вам Бог и Святая Троица за то, что устерегли войско великое, ступайте отсюда». И ответил Давыд и Лува: «Не уйдем отсюда, хотим умереть со славой и кровь свою пролить с мужами-псковичами за святую Троицу и за все церкви святые. А ты, господин и князь, выступай быстрее с мужами-псковичами против поганых литовцев». Довмонт же сказал псковичам: «Братья мужи-псковичи! Кто стар — тот мне отец; а кто млад — тот брат. Слышал я о мужестве вашем во всех странах, сейчас же, братья, нам предстоит жизнь или смерть. Братья мужи-псковичи, постоим за Святую Троицу и за святые церкви, за свое отечество!»
Тогда же бѣ приспѣлъ день великого и славнаго воеводы, мученика Христова Леонтиа,[8] и рече Тимофѣй князь: «Святаа Троица, и святый великий воевода Леонтий, и благовѣрный княже Всеволоде,[9] помози намъ в час сий на супротивныя врагы». И ехав, князь Домонтъ с мужи псковичи Божиею силою и святаго Христова мученика Леонтиа одиномъ девяностомъ 7 сот побѣди. Тогда же убиенъ бысть князь великий литовский Гойтортъ, и инѣхъ князей много избиша; а инаа Литва въ Двине истопоша, а инѣхъ Двина изверже 70 их на островъ Гоидовъ, а инии на прочаа островы извержени быша, а инии вниз по Двине поплыша. Тогда же убиенъ бысть Онтонъ един псковитинъ, сынъ Лочков, брат Смолигов, а инии вси без вреда съхранени быша молитвою святого Христова мученика Леонтиа. И възвратишася с радостию великою ко Пскову граду съ многою користию, и бысть радость и веселие велико въ градѣ во Пскове о пособии святыа Троица, и славнаго великого Христова мученика Леонтиа, и благовѣрнаго князя Всеволода, ихъ молитвами на супостатыа побѣда.	Это был день великого и славного воеводы, мученика Христова Леонтия, и произнес князь Тимофей: «Святая Троица, и святой великий воевода Леонтий, и благоверный князь Всеволод, помогите нам в час сей одолеть ненавистных врагов». И выехал князь Довмонт с мужами-псковичами, и Божиею силою и помощью святого Христова мученика Леонтия с одним девяносто семьсот врагов победил. В этой битве был убит великий литовский князь Гойторт, и иных князей многих убили, многие литовцы в Двине утонули, а семьдесят из них выбросила река на остров Гоидов, а иные на другие острова были выброшены, некоторые же вниз по Двине поплыли. Из псковичей же тогда был убит один Онтон, Лочков сын, брат Смоликов, а другие остались невредимыми, благодаря молитве святого Христова мученика Леонтия. И возвратились они с радостью великой к Пскову-граду и с многой добычей, и были радость и веселье всеобщее в граде Пскове о заступничестве Святой Троицы, и славного великого Христова мученика Леонтия, и благоверного князя Всеволода, ибо их молитвами были побеждены супостаты.
И паки же по томъ времени, в лѣто 6775-е, великий князь Дмитрий Олександровичь... съ зятемъ своимъ с Домонтомъ[10] и с мужи с новогородци и со псковичи и иде к Раковору,[11] и бысть сѣча велика[12] с погаными немци на полѣ чистѣ, и помощию святыа Софиа[13] Премудрости божиа и святыа Троици немецкиа полкы побѣдиша февраля 18 суботу сыропусную.[14] И прошед горы непроходимаа, и иде на вируяны,[15] и плени землю их и до моря, и повоева Поморье,[16] и паки возвратився, и исполни землю свою множеством полона. И славна бысть вся земля ею во всехъ странах страхом грозы храборства великого князя Дмитрея, и зятя его Домонта, и мужь ею новогородцовъ и псковичь.	И снова, спустя некоторое время, в год 6775 (1268), великий князь Дмитрий Александрович с зятем своим Довмонтом и с мужами-новгородцами и псковичами пошли к Раковору. И была сеча великая с безбожными немцами на поле чистом, и с помощью святой Софии Премудрости Божьей и Святой Троицы победили они полки немецкие 18 февраля в субботу сыропустную. И Довмонт, пройдя земли непроходимые, пошел на вируян, и завоевал землю их до моря, и Поморье разорил, и возвратился обратно, и пополнил землю свою множеством пленных. И прославилась земля их во всех странах, устрашенных грозою храбрости великого князя Дмитрия, и зятя его Довмонта, и мужей их — новгородцев и псковичей.
И по томъ по неколицех днехъ останок собравше поганое латины,[17] и пришед тайно, и взяша с украины нѣколико псковскых сѣлъ, и възвратишася вскорѣ. И боголюбивы же князь Домонтъ не стерпѣ обидимѣ быти земли и дому святыа Троица от нападениа поганыхъ немець, выехавъ в погоню с малою дружиною в пяти насадах[18] с шестьюдесятью мужь псковичь, Божиею силою 8 сотъ немѣц побѣди на рѣцѣ на Мироповнѣ,[19] а два насада бѣжаше в ыныа островы. Боголюбивый же князь Домонтъ, ехав и зажже островъ, и пожже ихъ под травою, а инии побѣгоша, а власи их зажжени горятъ, а иных иссѣче, а инии истопоша в водѣ пособием святыа Троици, и славнаго великого воина Георгиа,[20] и молитвою благовѣрнаго князя Всеволода, месяца априля в 23 день, на память святого славнаго мученика Христова Георгиа. И възвратишася с радостию великою въ град во Псковъ, и бысть радость и веселие въ граде во Пскове о пособии Святыа Троица и святого воина великого Христова мученика Георгиа.	И через несколько дней собрались оставшиеся в живых поганые латиняне и пришли тайно, и взяли несколько псковских сел по окраинам, и быстро возвратились вспять. Боголюбивый же князь Довмонт не потерпел обиды земле и дому Святой Троицы от нападения поганых немцев, выехав в погоню с малою дружиною в пяти насадах с шестьюдесятью воинами-псковичами, Божьею силою восемьсот немцев победил на реке Мироповне, и два их насада скрылись на островах. Боголюбивый князь Довмонт, подъехав, зажег остров и одних пожег в траве, а другие побежали, и волосы их горели, а иных Довмонт посек, а иные потонули в воде помощью Святой Троицы, и славного великого воина Георгия, и молитвою благоверного князя Всеволода месяца апреля в двадцать третий день на память святого славного мученика Христова Георгия. И возвратились они с радостью великою во град Псков, и были радость и веселие во граде Пскове о заступничестве Святой Троицы и святого воина великого Христова мученика Георгия.
Слышав же местеръ земля Ризскиа[21] мужство Домонтово, ополчився в силѣ тяжцѣ без Бога, и прииде ко Пскову в корабляхъ и в лодьях и на конехъ, и с порокы, хотя плѣнити домъ Святыа Троица, а князя Домонта руками яти, а мужъ псковичь мечи иссѣчи, а иныа люди плесковскыа в работу ввѣсти. Слышав же то Домонтъ, ополчающася люди без ума во множствѣ силы, без Бога, и вниде въ церковь Святыа Троица и, положивъ мечь свой пред олтаремъ Господнимь, пад, моляся много с плачемъ, сице глаголя: «Господи Боже силъ, мы, людие твои и овца пажити твоея, имя твое призываемъ, призри на кроткиа и смиренныа възвыши, и гордыхъ высокиа мысли низложи, да не опустиеть пажить овць твоих».[22] И взем же игуменъ Сидоръ[23] мечь, и всь иерѣйский чинъ, препоясавше мечемъ, и благословивша и отпустиша. Домонт же въ множествѣ ярости мужства своего, не дождавъ полковъ новъгородцких, с малою дружиною с мужи съ псковичи выехавъ, Божиею силою побѣди и изби полки ихъ, самого же местера раниша по лицю. Они же трупьа своя многи учаны[24] накладоша, вѣзоша в землю свою, а останокъ ихъ устрѣмиша на бѣгъ, месяца июня в 8 день, на память святого мученика Федора Стратилата принесению мощей.	Прослышал магистр земли Рижской о мужестве Довмонта, собрал полки и силой страшною, безбожною пришел ко Пскову в кораблях, и в ладьях, и на конях, и с орудиями стенобитными, намереваясь пленить дом Святой Троицы и князя Довмонта схватить, а мужей-псковичей мечами посечь, а остальных людей псковских в плен увести. Услышав о том, что ополчилось на него множество сильных врагов без ума и без Бога, Довмонт вошел в церковь Святой Троицы и, положив меч свой пред алтарем Господним, пал на колени, долго молясь со слезами, говоря так: «Господи Боже сил, мы, люди твои и овцы пажити твоей, имя твое призываем, смилуйся над кроткими, и смиренных возвысь, и надменные мысли гордых смири, да не опустеет пажить овец твоих». И взял игумен Сидор и все священники мечи, препоясав Довмонта мечом и благословив его, отпустили. Довмонт же в ярости мужества своего, не дождавшись полков новгородских, с малою дружиною мужей-псковичей выехав, Божьего силою победил и побил полки врагов, самого же магистра ранил в лицо. Те же, положив трупы убитых во многие учаны, повезли их в землю свою, а оставшиеся в живых обратились в бегство месяца июня в восьмой день, на память перенесения мощей святого мученика Федора Стратилата.
И паки же по временех княжениа его начаша поганая латына силу дѣати на псковичехъ нападениемъ и работою. Боголюбивый же князь Тимофѣй не стерпѣ обидимъ быти, ехавъ с мужи съ псковичи, и плѣни землю и грады их пожже.	И снова во времена княжения Довмонта начали поганые латиняне угрожать псковичам набегами и неволей. Боголюбивый же князь Тимофей не потерпел обиды, выехал с мужами-псковичами и разорил землю их и города сжег.
И потомъ по малѣ времѣни бысть знамение в лунѣ, месяца септября. Тоа же зимы грѣх ради наших изгониша немци изгонною ратью посад у Пскова, в лѣто 6807-е, месяца марта въ 4 день, на память святого мученика Павла и Ульаны, и избиша игумены. Тогда убиенъ бысть Василей, игуменъ святого Спаса,[25] Иосифъ прозвутеръ, Иасаф, игуменъ святѣй Богородици Снятной горѣ,[26] и с ними 17 мнихъ, и черньца, и черници, и убогыа, и жены, и малыа дѣтки, а мужь Богъ ублюдѣ. Въ утрий же день погании немци оступиша град Псков, хотяще его плѣнити. Боголюбивый же князь Тимофей не стерпѣ дождати мужь своихъ болшея рати и выехал с малою дружиною с мужи съ псковичи и с Ываномъ с Дорогомиловичем[27] и сь его дружиною, противо имъ вполчився. Помощью Святыа Троица у святого Петра и Павла на бѣрезѣ[28] удари на нихъ; и бысть сѣча зла, якоже николиже не бывала у Пскова, и раниша самого мендѣря[29] по главѣ, а вельневици,[30] изъимавѣ, посла к великому князю Андрѣеви,[31] а прочии вскорѣ повергъша оружиа и устрѣмишася на бѣгъ страхомъ грозы храборства Домонтова и мужъ его псковичь.	Вскоре после этого, в сентябре месяце, было лунное затмение. В ту же зиму за грехи наши ворвались немцы легкими отрядами в предместья Пскова в год 6807 (1299) 4 марта, на память святого мученика Павла и Ульяны, и перебили игуменов. Тогда был убит Василий, игумен святого Спаса, пресвитер Иосиф, Иоасаф, игумен святой Богородицы на Снетной горе, и с ними семнадцать монахов, и чернецов, и черниц, и убогих, и женщин, и малых детей, а мужей Бог сохранил. Наутро поганые немцы обступили город Псков, собираясь его захватить. Боголюбивый же князь Тимофей в нетерпении не дождался своего основного войска и выехал с малою дружиною мужей-псковичей и с Иваном Дорогомиловичем и его дружиною и приготовился к битве. С помощью Святой Троицы ударил по ним Довмонт у святых Петра и Павла на берегу; и была сеча жестокая, какой никогда не бывало у Пскова, и самого командора ранили в голову, а вельневичан, взяв в плен, послали к великому князю Андрею, а остальные вскоре бросили оружие и побежали, страшась грозы храбрости Довмонта и его мужей-псковичей.
Тогда же бѣаше и моръ золъ на людех.	Тогда же был мор сильный среди людей.
