О ПОБОИЩИ ИЖЕ НА ДОНУ И О ТОМЬ, ЧТО КНЯЗЬ ВЕЛИКИЙ БИЛСЯ СЪ ОРДОЮ	О СРАЖЕНИИ НА ДОНУ И О ТОМ, КАК ВЕЛИКИЙ КНЯЗЬ БИЛСЯ С ОРДОЙ
Прииде ордынский князь Мамай[1] съ единомысленики своими, и съ всѣми прочими князьми ордынскими, и съ всею силою татарскою и половецкою, еще же к тому рати понаимовав бесермены, армени, фрязи, черкасы, и ясы, и буртасы.[2] Такоже с Мамаемь вкупѣ, въ единой мысли и въ единой думѣ, и литовский князь Ягайло Олгердович[3] съ всею силою литовскою, с ляцкою, и с ними же въ единачествѣ Олегъ Иванович, князь рязанский.[4] Съ всѣми сими съвѣтникы поиде на великого князя Дмитриа Ивановича[5] и на брата его князя Володимера Андреевича.[6] Но хотя человеколюбивый Богъ спасти и свободити род христианский молитвами пречистыа его Матере от работы измалтьскиа,[7] от поганаго Мамая, и от сонма нечестиваго Ягайла, и от велерѣчиваго и худаго Олга Рязанскаго, не снабдѣвшему своего христианства. И приидет ему день великий Господень в суд, аду и ехидну!	Пришел ордынский князь Мамай с единомышленниками своими, и со всеми прочими князьями ордынскими, и со всеми силами татарскими и половецкими, наняв еще к тому же войска бесермен, армен, фрягов, Черкасов, и ясов, и буртасов! Также собрался с Мамаем, единомыслен с ним и единодушен, и литовский князь Ягайло Ольгердович со всеми силами литовскими и польскими, и с ними же заодно Олег Иванович, князь рязанский. Со всеми этими сообщниками пошел Мамай на великого князя Дмитрия Ивановича и на брата его князя Владимира Андреевича. Но человеколюбивый Бог хотел спасти и освободить род христианский молитвами пречистой его Матери от порабощения измаилтянского, от поганого Мамая, и от сборища нечестивого Ягайла, и от велеречивого и ничтожного Олега Рязанского, не соблюдшего своей веры христианской. И будет ему, исчадию ада и ехидне, суд в великий Господень день!
Окаанный же Мамай разгордѣвся, мнѣвъ себе аки царя, нача злый съвѣтъ творити, темныа своа князи[8] поганыя звати, и рече имъ: «Пойдемь на рускаго князя и на всю землю Рускую, якоже при Батыи[9] было. Христианство потеряем, а церкви Божиа попалимь и кровь христианскую прольемь, а законы их погубимь». И сего ради нечестивый лютѣ гнѣвашеся о своих друзех и любовницѣхь, о князех, избиеных на рѣцѣ на Вожи.[10] И нача сверѣпо и напрасно силы своя сбирати, съ яростию подвижася и силою многою, хотя пленити христианъ. И тогда двигнушася вся колѣна татарскаа.	Окаянный же Мамай возгордился, возомнив себя царем, начал злой заговор плести, созывать своих поганых темников-князей и сказал им: «Пойдем на русского князя и на всю землю Русскую, как было при Батые. Христианство погубим, а церкви Божий сожжем, и кровь христианскую прольем, а законы их изничтожим». И это потому, что нечестивый люто гневался из-за своих друзей и любимцев, из-за князей, убитых на реке Воже. И начал неистово и поспешно силы свои собирать, в ярости двинувшись и в силе великой, желая пленить христиан. И тогда двинулись все племена татарские.
И нача посылати к Литвѣ, к поганому Ягайлу, и лстивому сътонщику,[11] диаволю съвѣтнику, отлученому Сына Божиа, помраченому тмою грѣховною и не въсхотѣ разумѣти — Олгу Рязанскому, поборнику бесерменскому, лукавому сыну, якоже рече Христос: «От нас изыдоша и на ны быша». И учини собѣ старый злодѣй Мамай съвѣтъ нечестивый с поганою Литвою и съ душегубивымъ Олгомъ: стати имъ у Оки у рѣки на Семень день[12] на благовѣрнаго князя.	И начал Мамай посылать в Литву, к нечестивому Ягайлу, и к хитрому сотонщику, сообщнику дьявола, отлученному от Сына Божия, помраченному тьмою греховной и не хотящему уразуметь — Олегу Рязанскому, помощнику бесерменскому, лживому сыну, как сказал Христос: «От нас вышли и на нас поднялись». И заключил старый злодей Мамай бесчестное соглашение с поганой Литвой и душегубцем Олегом: собраться им у Оки-реки в Семенов день на благоверного князя.
Душегубивый же Олегъ начал зло к злу прикладати: посылаше к Мамаю и къ Ягайлу своего боярина единомысленаго, антихристова предтечю, именемь Епифана Корѣева, веля им быти на тотъ же срок, и тъже съвѣтъ свѣща — стати ему у Оки с треглавными звѣрми сыроядци,[13] а кровь прольати. Враже измѣнниче Олже, лихоимъства открываеши образы, а не вѣси, яко меч Божий острится на тя, якоже пророкъ рече: «Оружие извлекоша грѣшници и напрягоша лукъ стрѣляти въ мракъ правыа сердцемь. И оружиа их внидут въ сердца их, и луци их съкрушатся».[14]	А душегубец Олег начал зло к злу прилагать: послал к Мамаю и к Ягайлу своего боярина-единомышленника, антихристова предтечю, именем Епифана Кореева, веля им прийти в указанный день, и тот же уговор подтвердил — собраться у Оки с трехголовыми зверьми-сыроядцами и кровь пролить. О, враг и изменник Олег, лихоимства являешь примеры, а не ведаешь, что меч Божий угрожает тебе, ибо пророк сказал: «Оружие обнажили грешники и натянули лук, чтоб убивать во мраке праведников. И оружие их вонзится в сердца их, и луки их сокрушатся».
И бысть месяца августа, приидоша от Орды таковыа вѣсти къ христолюбивому князю, оже въздвизается на христианы измаилтьский род. Олгу же, уже отпадшему сана своего от Бога, иже злый съвѣтъ створи с погаными, и посла къ князю Дмитрию вѣсть лестную, что: «Мамай идет съ всѣмь своимъ царствомъ в мою землю Рязанскую на мене и на тебе, а и то ти свѣдомо буди — и литовский идет на тебе Ягайло съ всею силою своею».	И когда наступил август, пришли из Орды вести к христолюбивому князю, что поднимается на христиан измаилтянский род. Олег же, отступивший уже от Бога, так как злой сговор учинил с погаными, послал к князю Дмитрию с лживой вестью: «Мамай идет со всем своим царством в мою землю Рязанскую на меня и на тебя, а знай и то, что идет на тебя и литовский Ягайло со всеми силами своими».
Князь же Дмитрей се слышав, невеселую ту годину, что идуть на него вся царства, творящеи безаконие, а ркуще «еще наша рука высока есть», иде къ соборной церкви матери Божии Богородици,[15] и пролья слезы, и рече: «Господи, ты всемогий, всесилный и крѣпкий въ бранех, въистину еси царь славы, сътворивый небо и землю, помилуй ны пресвятыа Матере молитвами, не остави нас, егда унываемь! Ты бо еси Богъ нашь и мы — людие твои, посли руку твою свыше и помилуй ны, посрами враги нашя и оружиа их притупи! Силен еси, Господи, и кто противится тебѣ! Помяни, Господи, милость свою, иже от вѣка имаши на родѣ христианскомь! О, многоименитаа Дево, госпоже, царице небесных чинов, госпоже присно всеа вселенныа и всего живота человечьскаго кормителнице! И въздвигни, госпоже, руцѣ свои пречистаа, има же носила еси Бога въплощена! Не презри и христианъ сих, избави нас от сыроядець сих и помилуй мя!»	Князь же Дмитрий, услышав, что настало недоброе время, что идут на него все царства, творящие беззаконие, и, промолвив: «Еще в наших руках сила», — пошел к соборной церкви матери Божьей Богородицы и, обливаясь слезами, произнес: «Господи, ты всемогущий, всесильный и твердый в бранях, поистине ты царь славы, сотворивший небо и землю, — помилуй нас молитвами пресвятой Матери, не оставь нас, когда отчаиваемся! Ты ведь Бог наш, и мы — люди твои, протяни руку свою свыше и помилуй нас, посрами врагов наших и оружие их притупи! Могуч ты, Господи, и кто воспротивится тебе! Вспомни, Господи, о милости своей, которую искони оказываешь роду христианскому! О, многоименитая Дева, госпожа, царица чинов небесных, вечная владычица всей вселенной и всей жизни человеческой кормительница! Вознеси, госпожа, руки свои пречистые, в которых носила Бога воплощенного! Не презри нас, христиан, избавь от сыроядцев и помилуй меня!»
Вставъ от молитвы, изыде из церкви и посла по брата своего Володимера, и по всѣх князей руских, и по великиа воеводы. И рече к брату своему Володимеру и всѣмь княземь и воеводамъ: «Пойдемь противу сего окааннаго, и безбожнаго, и нечестиваго, и темнаго сыроядца Мамаа за правовѣрную вѣру христианскую, за святыа церкви, и за вся младенца и старца, и за вся христианы, сущая и не сущаа. И възмемъ с собою скипетръ царя небеснаго — непобѣдимую побѣду, и въсприимемь Аврамлю доблесть».[16] И нарек Бога, и рече: «Господи, в помощь мою вънми, Боже, на помощъ мою потщися! И да постыдяться и посрамляются, и познають, яко имя тебѣ — Господь, яко ты еси единъ вышний по всей земли!»[17]	И, встав с молитвы, вышел из церкви и послал за братом своим Владимиром, и за всеми князьями русскими, и за великими воеводами. И обратился к брату своему Владимиру и ко всем князьям и воеводам: «Пойдем против окаянного, и безбожного, и нечестивого, и темного сыроядца Мамая за правоверную веру христианскую, за святые церкви, и за всех младенцев и старцев, и за всех христиан, живых и усопших. И возьмем с собою скипетр царя небесного — неодолимую победу, и восприимем Авраамову доблесть». И воззвав к Богу, сказал: «Господь, прислушайся к мольбе моей, Боже, на помощь мне поспеши! Пусть устыдятся враги, и посрамлены будут, и узнают, что имя твое — Господь, что ты — один всевышний во всей земле!»
И съвокупився съ всѣми князьми рускими и съ всею силою, и поиде противу их вборзѣ с Москвы, хотя боронити своея отчины. И прииде на Коломну, събра вой своих 100 тысящ и 100, опроче князей и воевод мѣстных. И от начала миру не бывала такова сила рускаа князей руских, якоже при семь князи бѣаше. А всее силы и всех рати числомъ с полтораста тысящ или с двѣстѣ. Еще же к тому приспѣша въ тъй чинъ рагозный издалечя великие князи Олгердовичи поклонитися и послужити: князь Андрей Полоцкий съ пльсковичи, брат его — князь Дмитрий Брянский[18] съ всѣми своими мужи.	И, соединившись со всеми князьями русскими и со всеми силами, вскоре выступил против них из Москвы, чтобы защитить свою отчину. И пришел в Коломну, собрал воинов своих сто тысяч и сто, помимо князей и воевод местных. От начала мира не бывало такой силы русской — князей русских, как при этом князе. А всех сил и всех ратей числом в полтораста тысяч или двести. К тому же еще подоспели в тот ратный час издалека великие князья Ольгердовичи поклониться и послужить: князь Андрей Полоцкий с псковичами и брат его — князь Дмитрий Брянский со всеми своими мужами.
В то же время Мамай ста за Доном, възбуявся, и гордяся, и гнѣваася, съ всѣм своимъ царствомъ, и стоя 3 недели. И прииде князю Дмитрию паки другаа вѣсть: повѣдаша ему Мамаа за Дономъ събравшася и в полѣ стоаща, ждуще к собѣ на помощъ Ягайла с литвою, да егда сберутся вкупѣ, и хотят побѣду створити съ одиного. И нача Мамай слати къ князю Дмитрию выхода просити, како было при Чанибѣ-цари,[19] а не по своему докончаниу. Христолюбивый же князь, не хотя кровопролитьа, и хотѣ ему выход дати по христианской силѣ и по своему докончанию, како с ним докончалъ. Он же не въсхотѣ, высокомысляше, ожидаа своего нечьстиваго съвѣта литовскаго.	В то время Мамай встал за Доном, со всем своим царством, бушуя, и кичась, и гневаясь, и стоял три недели. Пришла к князю Дмитрию еще одна весть: сказали ему, что Мамаево войско за Доном собралось и в поле стоит, поджидая на помощь Ягайла с литовцами, чтобы, когда соединятся, одержать сообща победу. И послал Мамай к князю Дмитрию дани просить не по своему договору, а как было при царе Джанибеке. Христолюбивый же князь, не желая кровопролития, хотел ему выплатить дань посильную для христиан и по своему договору, как было установлено с ним. Тот же не захотел и высокомерничал, ожидая своего нечестивого сообщника литовского.
Олегъ же, отступникь нашь, приединився къ зловѣрному и поганому Мамаю и нечьстивому Ягайлу, нача выход ему давати и силу свою к нему слати на князя Дмитриа. Князь же Дмитрий увѣдавь лесть лукаваго Олга, кровопивца христьянского, новаго Иуду-предателя, на своего владыку бѣсится. И князь же Дмитрий въздохнув из глубины сердца своего и рече: «Господи, съвѣты неправедных разори, а зачинающих рать ты погуби, не азъ почалъ кровъ христианскую проливати, но онъ,[20] Святополъкъ новый![21] Въздай же ему, Господи, седмь седмерицею, яко въ тмѣ ходит и забы благодать твою! Поострю, яко млънию, мечь мой, и приимеет суд рука моа, въздамь месть врагомъ и ненавидящим мя въздамь, и упою стрѣлы моа от крови их, да не ркут невѣрнии “кто есть богъ их?” Отврати, Господи, лице свое от них и покажи им, Господи, вся злаа напослѣдокъ, яко род развращаемь есть, и нѣсть вѣры в них твоеа, Господи! И пролии на них гнѣвъ твой, Господи, на языки, незнающаа тебе, Господи, и имени твоего святаго не призвашя! Кто богъ велей яко Богъ нашь! Ты еси Богъ, творяй чюдеса единъ».[22]	Олег же, отступник наш, присоединившись к зловерному и поганому Мамаю и к нечестивому Ягайлу, стал дань ему платить и войско свое к нему посылать на князя Дмитрия. Князь же Дмитрий узнал о хитрости коварного Олега, кровопийцы христианского, нового Иуды-предателя, неистовствующего на своего повелителя. И, тяжко вздохнув, князь Дмитрий произнес из глубины сердца своего: «Господи, заговор неправедных сокруши и развязавших войну погуби, не я начал кровь христианскую проливать, но он, Святополк новый! Воздай же ему, Господи, семьюжды семь раз, ибо во тьме ходит и забыл благодать твою! Поострю, как молнию, меч мой, и прииму суд в руки свои, воздам месть врагам и ненавидящим меня воздам, и напою стрелы мои кровью их, чтобы не говорили неверные: “Кто бог их?” Отврати, Господи, лицо свое от них и покажи им, Господи, все зло их напоследок, ибо род их развращен и нет веры у них в тебя, Господи! И излей на них гнев твой, Господи, на народы, не ведающие тебя, Господи, и имени твоего святого не призывающие! Какой бог более велик, чем Бог наш! Ты один Бог, творящий чудеса!»
