СЛОВО О ЖИТЬИ И О ПРЕСТАВЛЕНИИ ВЕЛИКАГО КНЯЗЯ ДМИТРИА ИВАНОВИЧА, ЦАРЯ РУСКАГО	СЛОВО О ЖИТИИ И О ПРЕСТАВЛЕНИИ ВЕЛИКОГО КНЯЗЯ ДМИТРИЯ ИВАНОВИЧА, ЦАРЯ РУССКОГО
Сий убо князь Дмитрий родися от благородну и честну родителю — сынь князя Ивана Ивановича и матере великые княгини Александры. Внук же бысть православнаго князя Ивана Даниловича, събрателя Руской земли,[1] корене святого и Богом насаженаго саду, отрасль благоплодна и цвѣт прекрасный царя Володимера, новаго Костянтина, крестившаго землю Рускую,[2].сродник же бысть новою чюдотворцю Бориса и Глѣба.[3] Въспитан же бысть въ благочестьи и въ славѣ, съ всяцѣмь наказаниемь духовнымъ, и от самѣх пеленъ Бога възлюби. Отцю же его, великому князу Ивану, оставльшу житие свѣта сего и приимшему небесное селение, сий же оста млад сый, яко лет 9, с любимым си братомъ Иваном.[4] Потом же и тому преставльшуся, таже и мати его преставися Александра, и пребысть единъ въ области великого княжениа.	Князь сей Дмитрий родился от именитых и высокочтимых родителей: был он сыном князя Ивана Ивановича, а мать его — великая княгиня Александра. Внук же он православного князя Ивана Даниловича, собирателя Русской земли, корня святого и Богом насажденного сада, благоплодная ветвь и цветок прекрасный царя Владимира, нового Константина, крестившего землю Русскую, и сородич он новых чудотворцев Бориса и Глеба. Воспитан же был он в благочестии и в славе, с наставлениями душеполезными, и с младенческих лет возлюбил Бога. Когда же отец его, великий князь Иван, покинул сей мир и удостоился небесной обители, он остался девятилетним ребенком с любимым своим братом Иваном. Потом же и тот умер, также и мать его Александра преставилась, и остался он на великом княжении.
И приимшю ему скипетръ дръжавы земля Рускыа, настолование земнаго царства, отчину свою — великое княжение, по данѣй ему благодати от Бога, чести же и славы, еще же млад сый възрастомъ, но духовных прилежаше дѣлесех, пустошных бесѣд не творяше, и срамных глаголъ не любляше, а злонравных человѣкъ отвращашеся, а съ благыми всегда бесѣдоваше. И божествных Писаний всегда съ умилениемь послушаше, о церквах Божиих велми печашеся. А стражбу земли Руской мужествомъ дръжаше, злобою отрочя обрѣташеся, а умомъ всегда съвръшенъ бываше. Ратным же всегда въ бранех страшен бываше, и многы врагы, въстающая на нь, побѣди. И славный град Москву стѣнами чюдно огради.[5] И въ семь мирѣ славен бысть — «яко кедръ в Ливанѣ умножися и яко финиксъ в древеси процвѣте».[6]	И когда воспринял он скипетр державы земли Русской, престол земного царства, отчину свою — великое княжение, по дарованной ему от Бога благодати, почести и славу, еще юн был он годами, но духовным предавался делам, праздных бесед не вел, и непристойных слов не любил, и злонравных людей избегал, а с добродетельными всегда беседовал. И Священное Писание всегда с умилением он слушал, о церквах Божьих усердно заботился. И на страже земли Русской мужественно стоял, беззлобием отроку уподобляясь, а умом — зрелому мужу. Неприятелю же всегда был страшен он в бранях и многих врагов, на него поднимавшихся, победил. И славный град Москву стенами он на диво всем оградил. И в этом мире прославился — словно кедр в Ливане вознесся и словно финиковая пальма расцвел.
Сему же бывшу лѣт 16, и приведоша ему на брак княгиню Овдотью от земля Суждалскыя,[7] дщерь великого князя Дмитрия Костянтиновича и матере великые княгини Анны. И възрадовася вся земля о съвокуплении брака ею. И по брацѣ цѣломудрено живяста, яко златоперсистый голубь и сладкоглаголиваа ластовица, съ умилением смотряху своего спасениа, въ чистѣи съвѣсти, крѣпостию разума предръжа земное царство и к небесному присягаа, и плотиугодиа не творяху.	Когда же исполнилось ему шестнадцать лет, привели ему в невесты княгиню Авдотью из земли Суздальской, дочь великого князя Дмитрия Константиновича и великой княгини Анны. И обрадовалась вся земля свершению их брака. И после брака жили они целомудренно, словно златогрудый голубь и сладкоголосая ласточка, с благочестием пеклись о спасении своем, с чистой душой и ясным умом держа земное царство и готовя себя к небесному, и плоти своей не угождали.
Аки кормьчий крѣпок противу вѣтром влъны минуя, направляемь Вышняго промышлениемь, и яко пророкь на стражи Божиа смотрениа, тако сматряше своего царствиа. И умножися слава имени его, яко и святого князя Володимера, и въскипѣ земля Рускаа в лѣта княжениа его, яко преже обѣтована Израилю. И страхомь господьства своего огради всю землю; от всток и до запад хвално бысть имя его, от моря и до моря, и от рѣкъ до конець вселеныа превознесеся честь его. Царие земстии, слышаще его, удивишася, и многыа страны ужасошася.	Как кормчий крепкий, идя навстречу ветру, обходит волны, направляемый промыслом Всевышнего, и как пророк стоит на страже Божественного устроения, так и он правил своим царством. И умножилась слава имени его, как некогда слава святого князя Владимира, и расцвела земля Русская в годы княжения его, как прежде земля Израиля обетованная. И могуществом власти своей оградил он всю землю; от востока и до запада прославлено было имя его, от моря и до моря, и от рек до конца вселенной разнеслась слава его. Цари земные, слыша о нем, дивились, и многие страны трепетали.
Врази же его взавидѣша ему, живущии окрестъ его, и навадиша на нь нечьстивому Мамаю, так глаголюще: «Дмитрий, великый князь, себе именует Руской земли царя, и паче честнѣйша тебе славою, супротивно стоит твоему царствию». Он же наваженъ лукавыми съвѣтникы, иже христианскы вѣру дръжаху, а поганых дѣла творяху, и рече Мамай княземъ и рядцамъ своим: «Преиму землю Рускую, и церкви христианскыя разорю, и вѣру их на свою преложу, и велю покланятися своему Махмету. Идеже церкви были, ту ропаты[8] поставлю и баскаки[9] посажаю по всѣм градомъ рускымь, а князи рускыа избию». Аки и преже Агагъ, царь васанескь, похвалися на кивот завѣта Господня, иже в Силомѣ: сице похвалився, самъ погыбе.[10]	Враги же, живущие вокруг земли его, позавидовали ему и наклеветали на него нечестивому Мамаю, так сказав: «Дмитрий, великий князь, называет себя царем Русской земли и считает, что превзошел тебя славой, и противостоит твоему царству». Мамай же, подстрекаемый лукавыми советниками, которые христианской веры держались, а сами творили дела нечестивых, сказал князьям и вельможам своим: «Захвачу землю Русскую, и церкви христианские разорю, и веру их на свою переменю, и повелю поклоняться своему Магомету. А где церкви были, тут ропаты поставлю и баскаков посажу по всем городам русским, а князей русских перебью». Как прежде Агаг, царь васанский, похваляясь, выступил против кивота завета Господня, бывшего в Силоме: похвалившись так, сам и погиб.
И посла преже себе Мамай воеводу поганаго Бегича с великою силою и съ многыми князьми. Се же слышав князь Дмитрий и поиде въ срѣтение ему съ многою силою Рускыа земля. И сѣступися с погаными в Рязанской земли на рѣцѣ Вожи, и поможе Богъ и святаа Богородица Дмитрию, а поганыа агаряны посрамлены быша: овы изсѣчени бышя, а иныа побѣгоша; и възвратися Дмитрий с великою побѣдою. И тако ти заступаше Рускую землю, отчину свою.	И послал Мамай сначала воеводу поганого Бегича с большим войском и со многими князьями. Услышав о том, князь Дмитрий пошел ему навстречу с великими силами земли Русской. И сошлись с погаными в Рязанской земле на реке Воже, и помог Бог и святая Богородица Дмитрию, а поганые агаряне были посрамлены: одни перебиты были, а другие обратились в бегство; и возвратился Дмитрий с великой победой. И так вот защищал он Русскую землю, отчину свою.
И бестудный Мамай срама исплънися,[11] в похвалы мѣсто безчестие прииде ему. И поиде самъ на Рускую землю, похвалився на Дмитриа, исплъни сердце свое злаго безакониа. Слышавше же князь Дмитрий, и въздохнув из глубины сердца к Богу и к пречистѣй его Матери, и рече: «О, пресвятая госпоже Богородице-дево, заступнице и помощнице миру, моли Сына своего за мя грѣшнаго, да достинъ буду славу и живот свой положити за имя Сына твоего и за твое, иноя бо помощница не имамы развѣе тебе, Госпоже. Да не порадуються враждующии мнѣ бес правды, ни ркут погании: “Где есть богъ их,[12] на негоже уповашя?” — да постыдятся вси являющеи злаа рабомъ твоим. Яко азъ рабъ твой есмь и сынь рабы твоея, испроси ми, Госпоже, силу и помощъ от святого жилища твоего и Бога моего на злаго моего супостата и нечьстиваго врага. Постави ми, Госпоже, стлъпъ крѣпости от лица вражиа, и възвеличи имя христианское над погаными агаряны».	И бесстыдный Мамай покрыл себя позором, вместо хвалы бесчестие приобрел. И двинулся он сам, бахвалясь, на Русскую землю, и на Дмитрия, обуреваемый злобными и беззаконными мыслями. Услышав же об этом, князь Дмитрий, преисполнившись скорби, обратился к Богу и к пречистой его Матери и сказал: «О пресвятая госпожа Богородица-дева, заступница миру и помощница, моли Сына своего за меня, грешного, да удостоюсь славу и жизнь свою положить во имя Сына твоего и твое, ибо не имеем другой помощницы, кроме тебя, Госпожа. Да не порадуются неправедные враги мои, да не скажут поганые: “Где же бог их, на которого они уповают?”, да будут посрамлены все творящие зло рабам твоим. Так как я раб твой и сын рабы твоей, испроси мне, Госпожа, силу и помощь от святой обители твоей и от Бога моего против моего супостата и нечестивого врага. Воздвигни мне, Госпожа, крепость силы перед лицом врага и вознеси имя христианское перед погаными агарянами».
И призва велможя своя и вси князи Рускыа земля, сущаа под властию его, и рече к ним: «Лѣпо есть намь, братие, положити главы своя за правовѣрную вѣру христианскую, да не преяти будут гради наши погаными, ни запустѣют святыа Божиа церкви, и не разсѣани будемь по лицу всеа земля, ни поведени будут в полонъ жены и чада нашя, да не томими будемь погаными по вся дни, аще за нас умолит Сына своего и Бога нашего пречистаа Богородица». И отвѣщашя ему князи рускые и велможя его: «Господине рускый царю! Ркли есмя, тобѣ служа, живот свой положити, а нынѣ тебе дѣля кровь свою прольемь, и своею кровию второе крещение приимемь».	И призвал он вельмож своих и всех князей Русской земли, бывших под властью его, и сказал им: «Должно нам, братия, сложить головы свои за правую веру христианскую, да не будут захвачены города наши погаными и не запустеют святые Божий церкви, и не будем рассеяны мы по всей земле, да не будут уведены в полон жены и дети наши, да не будем притесняемы погаными во все времена, если за нас умолит Сына своего и Бога нашего пречистая Богородица». И отвечали ему князья русские и вельможи его: «Господин наш русский царь! Обещали мы, служа тебе, жизнь свою отдать, и ныне ради тебя кровь свою прольем, и своею кровью второе крещение примем».
И въсприимъ Авраамлю доблесть,[13] помолився Богу и помощника имуще святителя Петра,[14] новаго чюдотворца и заступника Рускыа земля, и поиде противу поганаго, аки древний Ярославь, на злочестиваго Мамаа, втораго Святоплъка.[15] И срѣте его в татарскомь полѣ, на рѣцѣ Дону. И сступишяся плъци, аки тучи силнии, и блеснушася оружиа, аки молниа в день дождя. Ратнии же сѣчахуся за рукы емлюще, по удольем же кровь течаше, и Донъ рѣка потече с кровию смѣсившеся, и главы татарьскы акы камение валяшеся, и трупиа поганыхъ акы дубрава посѣчена. Мнози же достовѣрнии видяху аггелы Божиа, помогающа христианомъ. И поможе Богъ князю Дмитрию, и сродници его, святаа мученика Борис и Глѣбь; и окааный Мамай от лица его побѣже. Треклятый же Святоплъкъ в пропасть побѣже, а нечьстивый Мамай без вѣсти погыбе. И възвратися князь Дмитрий с великою побѣдою, якоже преже Моиси, Амалика побѣдив.[16] И бысть тишина в Руской земли. И тако врази его посрамишася. Иныя же страны, слышаще побѣды даныа ему на врагы от Бога, и вси под руцѣ его поклонишася; росколници же и мятежници царства его вси погыбошя.	И восприняв Авраамову доблесть, помолившись Богу и призвав на помощь святителя Петра, нового чудотворца и заступника Русской земли, пошел князь, подобно древнему Ярославу, на поганого, на злочестивого Мамая, второго Святополка. И встретил его в татарском поле на реке Дон. И сошлись полки, как сильные тучи, и заблистало оружие, как молния в дождливый день. Ратники же бились врукопашную, по долинам кровь текла, и вода Дона-реки с кровью смешалась. А головы татарские, словно камни, падали, и трупы поганых лежали подобно посеченной дубраве. Многие же благоверные видели ангелов Божиих, помогавших христианам. И помог Бог князю Дмитрию, и родичи его, святые мученики Борис и Глеб; и побежал окаянный Мамай перед лицом его. Треклятый Святополк на гибель побежал, а нечестивый Мамай безвестно погиб. И возвратился князь Дмитрий с великой победой, как прежде Моисей, Амалика победив. И наступила тишина в Русской земле. И так враги его были посрамлены. Другие же страны, услышав о победах над врагами, дарованных ему Богом, все признали силу его; раскольники же и мятежники царства его все погибли.
Обычай же имяше князь: яко Давидъ богоотець Сауловы дѣти миловаше,[17] а сий неповинныя любляше, повинныа же пращааше. По великому же Иову[18] — яко отець есть миру, око слѣпым, нога хромымъ, стлъпъ и стражь, и мѣрило извѣстно, къ съвѣту правя подвластныа, от вышняго промысла правление приимь... роду человечьскому, всяко смятение мирское исправляше — высокопаривый орелъ, огнь, попаляа нечестие, баня, мыющая скверну, гумно чистотѣ, вѣтръ плевелу, одръ трудившимся по Бозѣ, труба спящимъ, воевода мирный, вѣнець побѣды, плавающимь пристанище, корабль богатству, оружие на врагы, стѣна нерушима, меч ярости, зломыслящимь сѣть, степень неразрушимъ, зерцало житию, с Богомъ все творя и по Бозѣ побарая, высокый умъ, смѣреный смыслъ, вѣтром тишина, пучина разуму. Князя рускыа въ области своей крѣпляше, велможам своим тих и увѣтлив в нарядѣ бываше, никогоже оскръбляше, но всѣх равно любляше, младых словесы наказааше, и всѣмь доволъ подавааше, и к требующимъ руцѣ простираше.	Обычай был у князя: как Давид-богоотец Сауловых детей помиловал, так он безвинных любил, а виновных прощал. Подобно великому Иову, словно отец был людям, око слепым, нога хромым, опора и защита, образец всем. К свету направляя подданных, от вышнего промысла власть получив... над родом человеческим, он всякое заблуждение в людях исправлял — высоко парящий орел, огонь, выжигающий нечестие, баня, смывающая скверну, гумно чистое, ветер плевелу, постель трудившимся во имя Бога, труба, пробуждающая спящих, мирный воевода, венец победы, плавающим пристанище, корабль богатству, оружие на врагов, стена нерушимая, меч ярости, злоумышляющим — сеть, ступень неразрушимая, зеркало житию, с Богом все творящий и за него борющийся, высокий умом, смиренный в помыслах, ветрам тишина, глубина разуму. Князей русских в земле своей сплачивал, в приказаниях вельможам своим спокоен и приветлив бывал, никого не оскорблял, и всех одаривал, нуждающимся же руку помощи подавал.
