*рашити,V-,
1689,Ma,
171,Ma,
18,Ma,
24,Ma,
26,Ma,
7018,Ma,
cъзади,Df,
а,C-,а; и; но; если
а,F-,
а,Ne,
ааликсоломъ,F-,
абадан,F-,
абие,Df,тотчас; сразу; снова
абрь,F-,
абы,Df,
абы,G-,
аввакумъ,Ne,Аввакум
авдономъ,Nb,самодержец
авелевъ,A-,Авелев
авель,Ne,Авель
аверкии,Ne,
аверъ,Ne,Авер
авимелехъ,Ne,Авимелех
авифаникия,Ne,Авифаникия
авраамии,Ne,Авраамий
авраамль,A-,Авраамов
авраамовичь,Ne,сын Авраама
авраамовъ,A-,Авраамов
авраамъ,Ne,Аврам
аврамии,Ne,
авратъ,F-,
авъгустъ,Nb,август
агамемнонъ,Nb,
агараньскыи,A-,агарянский
агарь,Ne,Агарь
агарянинъ,Nb,агарянин; мусульманин
агафонъ,Ne,Агафон
агафья,Ne,Агафья
агляне,Nb,агляне
агньць,Nb,ягнёнок; жертва
агня,Nb,ягнёночек;
агриппина,Ne,Агриппина
адамль,A-,Адамов
адамовъ,A-,Адамов
адамъ,Ne,Адам
аданаи,F-,
адрякъ,Nb,имбирь
адулбъ,Ne,Адулб
адунь,Ne,Адун
адъ,Nb,ад
адъвъ,A-,адский
аепа,Ne,Аепа
аепинъ,A-,Аепин
аеръ,Nb,воздух
аесова,Nb,
аже,Df,
аже,G-,если
азаръ,F-,
азгулуи,Ne,Азгулуй
азъ,Pp,я
азъбукъвьныи,A-,азбучный
акаи,F-,
акберь,F-,
акечаны,F-,
акимъ,Ne,
акланъ,Ne,Аклан
ако,Df,как
ако,G-,
акраганьскыи,A-,
аксамитьныи,A-,аксамитный
аксина,Ne,
аксинья,Ne,Аксинья
актеву,Ne,
акулъ,F-,
акши,F-,
акъ,F-,
акъберъ,F-,
акъже,Df,как
акы,Df,как
акы,Dq,как будто
акы,G-,так как
акыиже,Pr,
аладинъ,Ne,Алладин
алакудосу,F-,
алакъ,Ne,
алафа,Nb,награда
алача,Nb,шёлковая или бумажная полосатая ткань
алвадъ,Ne,Алвад
алданъ,Ne,Алдан
алеевъ,A-,Алеев
алекса,Ne,
александра,Ne,
александриискыи,A-,Александрийский
александрия,Ne,Александрия
александровичь,Ne,
александръ,Ne,Александр
алексии,Ne,Алексей
али,C-,или
али,Df,или
али,G-,если
алилуя,I-,аллилуйя
алилуя,Nb,аллилуйя
алиль,Ne,Адиль
алимпии,Ne,
алимулъ,F-,
алмазъ,Nb,
алмазьникъ,Nb,шлифовщик драгоценных камней
алманакъ,Nb,гадание по движению планет и знакам зодиака
алтунопа,Ne,Алтунопа
алтынъ,Nb,монета стоимостью в три копейки (денежная единица)
алудинъ,F-,
алфавитъ,Nb,алфавит
алъбанасъ,Nb,албанец
алъбрахтъ,Ne,
алъвания,Ne,Албания
алъкание,Nb,голодание; пост
алъкати,V-,голодать; поститься
алъкота,Nb,
алъчь,Nb,голод
алъчьныи,A-,
аль,Df,разве; неужели
аль,F-,
альадьюлю,F-,
альазизу,F-,
альакаму,F-,
альалиму,F-,
альбариюу,F-,
альбасуту,F-,
альвасирю,F-,
альвахаду,F-,
алькабизу,F-,
алькафару,F-,
алькахару,F-,
альлятуфу,F-,
альмавифу,F-,
альмелику,F-,
альмугамину,F-,
альмузилю,F-,
альмумину,F-,
альмусавирю,F-,
альмутаканъбиру,F-,
альррафию,F-,
альрязаку,F-,
альсемию,F-,
альфатагу,F-,
альхалику,F-,
альхафизу,F-,
альчебару,F-,
алядинандъ,F-,
аляндъ,Ne,Аленд
амазоне,Nb,амазонки
аманатъ,Nb,заложник
амаръ,Ne,Амар
амасия,Ne,Амасия
амбаръ,Nb,амбар
амиля,Ne,Амиля
аминъ,I-,аминь
аминъ,Nb,аминь
аминъдовъ,A-,Аминодов
аммонъ,Nb,благовонное растение
амо,Dq,куда
аможе,Dq,
амоновъ,A-,Аманна
амосъ,Ne,Амос
амуратовъ,A-,Амуратов
амуратъ,Ne,Амурат
амусаить,Ne,Абу Саид
амфилохии,Ne,
амьмория,Ne,Морея; Пелопоннес
амьчукъ,F-,
анания,Ne,
анастасии,Ne,Анастасий
анастасия,Ne,Анастасия
анастасъ,Ne,Анастас
анатолии,Ne,Анатолий
анафема,Nb,анафема
анафора,Nb,
ангеловидьныи,A-,
ангелъ,Nb,ангел
ангельскы,Df,
ангельскыи,A-,ангельский
андрианъ,Ne,Андриан
андроневъ,Ne,*андроневъ монастырь: Андроников монастырь
андрониковъ,A-,
андроникъ,Ne,Андроник
андрѣевичь,Ne,Андреевич
андрѣевъ,A-,Андреев
андрѣи,Ne,Андрей
андрѣянъ,Ne,
анна,Ne,Анна
ано,Df,но; однако
антиминсъ,Nb,антиминс
антиохиискыи,A-,Антиохийский
антиохия,Ne,Антиохия
антиоховъ,A-,Антиохов
антиохъ,Nb,
антиохъ,Ne,Антиох
антипасха,Nb,антипасха; Фомина неделя
антихристовъ,A-,антихристовый
антихристъ,Nb,антихрист
антонии,Ne,Антоний
антоновъ,A-,
антонъ,Ne,Антон
анфилохии,Ne,Амфилохий
анфимъ,Nb,
анфимъ,Ne,Анфим
аньбалъ,Ne,
аньгляне,Nb,англы
аньдриакия,Ne,Адриатика
аньдриатиньскыи,A-,Адриатический
аньдрихъ,Ne,Ольдржих
аньнии,Ne,Ианний
аньнинъ,A-,
апокалипсисъ,Nb,апокалипсис (книга)
аполинарии,Ne,Аполлинарий
аполонии,Ne,
апостолъ,Nb,апостол
апостольскыи,A-,апостольский
априль,Nb,апрель
арабаньскыи,A-,Араванский
аравия,Ne,Аравия
арака,Nb,арак (алкогольный напиток)
аранъ,Ne,Аран
арбанашь,Nb,албанец
ареопагитъ,Ne,Арепагит
арии,Ne,Арий
аркадии,Ne,
аркадия,Ne,Аркадия
аркадъ,Ne,
аркажь,A-,
аркуда,Nb,медведь
арменинъ,Nb,армянин
армения,Ne,Армения
армячныи,A-,армячный
ароматьныи,A-,ароматный
аронъ,Ne,Аарон
аронь,A-,Ароня
аросто,F-,
арсении,Ne,
артемонъ,Ne,Артемон
арханъгелъ,Nb,архангел
архидуксъ,Nb,великий князь
архидьяконъ,Nb,архидьякон
архиепископлии,A-,архиепископский
архиепископъ,Nb,архиепископ
архиепископьство,Nb,
архиереи,Nb,архиерей
архиереискыи,A-,архиерейский
архимандрития,Nb,
архимандритъ,Nb,архимандрит
архистратигъ,Nb,архистратиг (возглавляющий ангельское воинство)
арцицинъ,Ne,Эрзинджан
аршинъ,Nb,аршин (единица измерения)
аръсланапа,Ne,Арсланапа
асадукъ,Ne,Асадук
асалому,F-,
асанъ,Ne,Асанб
асатъ,Ne,Асат
асафъ,Ne,
асень,F-,
асинъ,Ne,
асинь,Ne,Асинь
асиръ,Ne,Асир
асия,Ne,Азия
асколдъ,Ne,Аскольд
асмудъ,Ne,Асмунд
астраханъ,Ne,Астрахань
асупъ,Ne,Асуп
асуриискыи,A-,ассирийский
асуритисиу,Ne,Асуритисиоу
асурия,Ne,Ассирия
асуриянинъ,Nb,ассириец
асуръ,Ne,Ашшур
ати,G-,
атласъ,Nb,атлас
атле,F-,
атъ,Df,да будет; пусть
атъ,G-,
атыръ,F-,
атырьсень,F-,
ать,Df,
афанасева,Ne,Афанасьева
афанасевъ,A-,Афанасьев
афанасии,Ne,Афанасий
афатаде,F-,
афетовъ,A-,Иафетов
афетъ,Ne,Иафет
афины,Ne,Афины
афонасии,Ne,Афонасий
африкия,Ne,Африка
ахалимъ,F-,
ахамду,F-,
ахикъ,Nb,сердолик
ахмуловъ,A-,
ациже,Dq,если же
аче,Df,если
аче,G-,если
ачукъ,F-,
ачьче,F-,
аще,Df,если; разве; ли
аще,G-,если; хотя; когда; даже если; ли
аѳонасии,Ne,Афонасий
ба,F-,
баба,Nb,пеликан
баба,Nb,женщина; бабушка
бабинъ,A-,
бабити,V-,заниматься повивальным делом
бабогури,Nb,белый агат
багримъ,Nb,Курбан-байрам
багровыи,A-,
багрямъ,Nb,Курбан-байрам
багубарсовъ,A-,Багубарсов
багъряница,Nb,багряница
багъряныи,A-,красный
базаръ,Nb,базар; ярмарка
базлукъ,Nb,скоба с шипами для хождения по льду
базы,F-,
баидана,Nb,
баикаловъ,A-,байкальский
бака,Ne,Баку
